distribution,mode,ncut,T,eps,eta,v_el,nu_tilde,va,tr_c,w,z_star_raw,z_star_max,z_star_used,z_star_clipped,chi_be,i_ab,skr_raw,skr,status
uniform,fixed,150,0.2,0.001,0.6,0.001,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.15746095567609733,-0.29735478816940175,0.0,clipped
mb,fixed,150,0.2,0.001,0.6,0.001,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.20550709707623585,-0.44135540734027523,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.6,0.001,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.15976042598100593,-0.30587860181428983,0.0,clipped
binomial,fixed,45,0.2,0.001,0.6,0.002,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.15738930898183756,-0.29742285024391796,0.0,clipped
uniform,fixed,150,0.2,0.001,0.6,0.002,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.15738930946721336,-0.2974228520678416,0.0,clipped
mb,fixed,150,0.2,0.001,0.6,0.002,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.20541510082470302,-0.4414428037792314,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.6,0.002,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.15968779031441258,-0.3059476056975535,0.0,clipped
binomial,fixed,45,0.2,0.001,0.6,0.005,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.15717476140521758,-0.29762667044170693,0.0,clipped
uniform,fixed,150,0.2,0.001,0.6,0.005,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.15717476188996718,-0.2976266722662254,0.0,clipped
mb,fixed,150,0.2,0.001,0.6,0.005,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.20513960642939827,-0.4417045234547709,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.6,0.005,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.15947027946659378,-0.3061542410029814,0.0,clipped
binomial,fixed,45,0.2,0.001,0.6,0.01,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.1568184802798145,-0.29796513751083986,0.0,clipped
uniform,fixed,150,0.2,0.001,0.6,0.01,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.1568184807635238,-0.2979651393363466,0.0,clipped
mb,fixed,150,0.2,0.001,0.6,0.01,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.2046820903306302,-0.4421391637486005,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.6,0.01,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.15910907649873862,-0.30649738382244374,0.0,clipped
binomial,fixed,45,0.2,0.001,0.6,0.015,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.15646381230482548,-0.29830207208707943,0.0,clipped
uniform,fixed,150,0.2,0.001,0.6,0.015,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.15646381278749888,-0.29830207391357033,0.0,clipped
mb,fixed,150,0.2,0.001,0.6,0.015,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.20422661385582644,-0.44257186639966417,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.6,0.015,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.15874950774208488,-0.3068389741412648,0.0,clipped
binomial,fixed,45,0.2,0.001,0.6,0.02,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.15611074653844922,-0.29863748456513683,0.0,clipped
uniform,fixed,150,0.2,0.001,0.6,0.02,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.15611074702009164,-0.2986374863926072,0.0,clipped
mb,fixed,150,0.2,0.001,0.6,0.02,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.20377316337369167,-0.44300264435769215,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.6,0.02,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.1583915621199406,-0.3071790224823019,0.0,clipped
binomial,fixed,45,0.2,0.001,0.75,0.0,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.1733211780476018,-0.28228757463144194,0.0,clipped
uniform,fixed,150,0.2,0.001,0.75,0.0,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.17332117857922305,-0.2822875764114323,0.0,clipped
mb,fixed,150,0.2,0.001,0.75,0.0,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.22584042495996717,-0.4220387458507304,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.75,0.0,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.17583846227526967,-0.29060446733473927,0.0,clipped
binomial,fixed,45,0.2,0.001,0.75,0.001,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.17325171474075768,-0.2823535647729438,0.0,clipped
uniform,fixed,150,0.2,0.001,0.75,0.001,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.1732517152721784,-0.28235356655312477,0.0,clipped
mb,fixed,150,0.2,0.001,0.75,0.001,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.2257515077762048,-0.42212321717530465,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.75,0.001,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.17576805028947773,-0.2906713587212416,0.0,clipped
binomial,fixed,45,0.2,0.001,0.75,0.002,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.17318230715714866,-0.2824195019773724,0.0,clipped
uniform,fixed,150,0.2,0.001,0.75,0.002,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.17318230768836881,-0.28241950375774383,0.0,clipped
mb,fixed,150,0.2,0.001,0.75,0.002,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.22566266072391572,-0.4222076218749793,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.75,0.002,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.17569769474170127,-0.29073819649162924,0.0,clipped
binomial,fixed,45,0.2,0.001,0.75,0.005,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.17297441807522146,-0.28261699660520323,0.0,clipped
uniform,fixed,150,0.2,0.001,0.75,0.005,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.1729744186058416,-0.28261699838614474,0.0,clipped
mb,fixed,150,0.2,0.001,0.75,0.005,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.22539653952546912,-0.42246043701350355,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.75,0.005,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.17548696604788677,-0.29093838875075306,0.0,clipped
binomial,fixed,45,0.2,0.001,0.75,0.01,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.17262904449474362,-0.2829451015066572,0.0,clipped
uniform,fixed,150,0.2,0.001,0.75,0.01,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.17262904502436643,-0.28294510328854616,0.0,clipped
mb,fixed,150,0.2,0.001,0.75,0.01,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.22495439909328452,-0.42288047042407895,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.75,0.01,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.17513687400141104,-0.291270976194905,0.0,clipped
binomial,fixed,45,0.2,0.001,0.75,0.015,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.1722850489984533,-0.283271897228133,0.0,clipped
uniform,fixed,150,0.2,0.001,0.75,0.015,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.17228504952708262,-0.2832718990109657,0.0,clipped
mb,fixed,150,0.2,0.001,0.75,0.015,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.22451399337302874,-0.42329885585832194,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.75,0.015,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.17478817772809432,-0.29160223765455584,0.0,clipped
binomial,fixed,45,0.2,0.001,0.75,0.02,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.1719424233449581,-0.2835973915989535,0.0,clipped
uniform,fixed,150,0.2,0.001,0.75,0.02,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.17194242387259748,-0.2835973933827266,0.0,clipped
mb,fixed,150,0.2,0.001,0.75,0.02,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.22407531215523033,-0.4237156030152305,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.75,0.02,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.17444086888725915,-0.2919321810533493,0.0,clipped
binomial,fixed,45,0.2,0.001,0.9,0.0,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18573354533058725,-0.2704958257126058,0.0,clipped
uniform,fixed,150,0.2,0.001,0.9,0.0,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18573354589788543,-0.27049582745870304,0.0,clipped
mb,fixed,150,0.2,0.001,0.9,0.0,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24170983376277178,-0.40696280748806607,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.9,0.0,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.1884196074341548,-0.2786523794337984,0.0,clipped
binomial,fixed,45,0.2,0.001,0.9,0.001,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18566705665156752,-0.27055898995767447,0.0,clipped
uniform,fixed,150,0.2,0.001,0.9,0.001,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18566705721867552,-0.2705589917039525,0.0,clipped
mb,fixed,150,0.2,0.001,0.9,0.001,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.2416249280093643,-0.4070434679538032,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.9,0.001,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.18835221858674941,-0.27871639883883353,0.0,clipped
binomial,fixed,45,0.2,0.001,0.9,0.002,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18560061562420607,-0.2706221089336679,0.0,clipped
uniform,fixed,150,0.2,0.001,0.9,0.002,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18560061619112417,-0.2706221106801263,0.0,clipped
mb,fixed,150,0.2,0.001,0.9,0.002,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24154008202415833,-0.40712407163974884,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.9,0.002,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.18828487799413898,-0.2787803724018134,0.0,clipped
binomial,fixed,45,0.2,0.001,0.9,0.005,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18540157793964826,-0.2708111947339978,0.0,clipped
uniform,fixed,150,0.2,0.001,0.9,0.005,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18540157850599634,-0.2708111964809977,0.0,clipped
mb,fixed,150,0.2,0.001,0.9,0.005,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24128590204585432,-0.40736554261913765,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.9,0.005,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.18808314522660152,-0.27897201853097403,0.0,clipped
binomial,fixed,45,0.2,0.001,0.9,0.01,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18507079672695037,-0.2711254368860608,0.0,clipped
uniform,fixed,150,0.2,0.001,0.9,0.01,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18507079729235165,-0.27112543863396016,0.0,clipped
mb,fixed,150,0.2,0.001,0.9,0.01,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24086345822841496,-0.4077668642457051,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.9,0.01,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.18774788421528246,-0.2792905164917271,0.0,clipped
binomial,fixed,45,0.2,0.001,0.9,0.015,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18474119533754702,-0.27143855820599394,0.0,clipped
uniform,fixed,150,0.2,0.001,0.9,0.015,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18474119590200425,-0.2714385599547902,0.0,clipped
mb,fixed,150,0.2,0.001,0.9,0.015,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.2404424944729007,-0.4081667798134436,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.9,0.015,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.18741381797010898,-0.27960787942464194,0.0,clipped
binomial,fixed,45,0.2,0.001,0.9,0.02,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.1844127674618667,-0.2717505646878903,0.0,clipped
uniform,fixed,150,0.2,0.001,0.9,0.02,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18441276802538314,-0.2717505664375802,0.0,clipped
mb,fixed,150,0.2,0.001,0.9,0.02,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24002300299683327,-0.4085652967157076,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.9,0.02,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.18708094010686954,-0.2799241133947194,0.0,clipped
binomial,fixed,45,0.2,0.001,0.95,0.0,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18930154783443964,-0.26710622333394596,0.0,clipped
uniform,fixed,150,0.2,0.001,0.95,0.0,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18930154841193697,-0.2671062250703541,0.0,clipped
mb,fixed,150,0.2,0.001,0.95,0.0,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24626456972510022,-0.40263580832385404,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.95,0.0,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.19203585433366205,-0.2752169448792665,0.0,clipped
binomial,fixed,45,0.2,0.001,0.95,0.001,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18923611091487777,-0.26716838840752977,0.0,clipped
uniform,fixed,150,0.2,0.001,0.95,0.001,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18923611149218833,-0.2671683901441153,0.0,clipped
mb,fixed,150,0.2,0.001,0.95,0.001,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24618106420729113,-0.4027151385657727,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.95,0.001,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.19196953370334827,-0.2752799494780646,0.0,clipped
binomial,fixed,45,0.2,0.001,0.95,0.002,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18917071928434875,-0.26723051045653234,0.0,clipped
uniform,fixed,150,0.2,0.001,0.95,0.002,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18917071986147246,-0.2672305121932954,0.0,clipped
mb,fixed,150,0.2,0.001,0.95,0.002,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24609761543903977,-0.40279441489561146,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.95,0.002,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.1919032589331026,-0.275342910509798,0.0,clipped
binomial,fixed,45,0.2,0.001,0.95,0.005,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18897481565660743,-0.2674166189028866,0.0,clipped
uniform,fixed,150,0.2,0.001,0.95,0.005,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18897481623317192,-0.2674166206401809,0.0,clipped
mb,fixed,150,0.2,0.001,0.95,0.005,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24584760905233238,-0.40303192096298346,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.95,0.005,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.1917047093068924,-0.27553153265469765,0.0,clipped
binomial,fixed,45,0.2,0.001,0.95,0.01,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18864921101084778,-0.26772594331635824,0.0,clipped
uniform,fixed,150,0.2,0.001,0.95,0.01,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18864921158648246,-0.2677259450545359,0.0,clipped
mb,fixed,150,0.2,0.001,0.95,0.01,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24543206133734707,-0.40342669129221953,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.95,0.01,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.19137470603288725,-0.2758450357650026,0.0,clipped
binomial,fixed,45,0.2,0.001,0.95,0.015,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18832472806240186,-0.2680342021173819,0.0,clipped
uniform,fixed,150,0.2,0.001,0.95,0.015,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.18832472863710922,-0.2680342038564405,0.0,clipped
mb,fixed,150,0.2,0.001,0.95,0.015,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24501791939299075,-0.403820126139358,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.95,0.015,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.19104583860825683,-0.27615745981840145,0.0,clipped
binomial,fixed,45,0.2,0.001,0.95,0.02,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.18800136101675557,-0.26834140081074587,0.0,clipped
uniform,fixed,150,0.2,0.001,0.95,0.02,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.1880013615905392,-0.268341402550682,0.0,clipped
mb,fixed,150,0.2,0.001,0.95,0.02,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24460517608088783,-0.4042122322858558,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.95,0.02,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.19071810117029836,-0.276468810384462,0.0,clipped
binomial,fixed,45,0.2,0.001,0.99,0.0,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.19198391055792247,-0.2645579787466373,0.0,clipped
uniform,fixed,150,0.2,0.001,0.99,0.0,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.1919839111430703,-0.26455798047577744,0.0,clipped
mb,fixed,150,0.2,0.001,0.99,0.0,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24968669361234003,-0.3993847906309762,0.0,clipped
mb,tuned_va,150,0.2,0.001,0.99,0.0,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,2.2190003878261217,2.0645835362157814,2.0645835341511978,True,0.45765100649624546,0.1947544068164518,-0.27263432002061627,0.0,clipped
binomial,fixed,45,0.2,0.001,0.99,0.001,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,2.190638889132857,2.0495365297983636,2.049536527748827,True,0.4469426937766636,0.1919193221779667,-0.26461933770759527,0.0,clipped
uniform,fixed,150,0.2,0.001,0.99,0.001,,1.9999999999999998,2.4315340814046555,0.029743947883528115,2.1713809114912257,2.0495365329751993,2.049536530925663,True,0.44694269606169423,0.19191932276293072,-0.2646193394369101,0.0,clipped
mb,fixed,150,0.2,0.001,0.99,0.001,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,2.7860969381666134,2.365707654310279,2.365707651944571,True,0.6365871495626992,0.24960431319530793,-0.3994630520271567,0.0,clipped
