distribution,mode,ncut,T,eps,eta,v_el,nu_tilde,va,tr_c,w,z_star_raw,z_star_max,z_star_used,z_star_clipped,chi_be,i_ab,skr_raw,skr,status
uniform,fixed,150,0.05,0.0,0.6,0.02,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.038994131615863487,-0.11228846303447738,0.0,physical
mb,fixed,150,0.05,0.0,0.6,0.02,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.05153927798552902,-0.18503419002630478,0.0,physical
mb,tuned_va,150,0.05,0.0,0.6,0.02,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.039587520933104824,-0.11775402693689507,0.0,physical
binomial,fixed,45,0.05,0.0,0.75,0.0,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04328409758999436,-0.11061335318794997,0.0,physical
uniform,fixed,150,0.05,0.0,0.75,0.0,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04328409772880009,-0.10821299522718761,0.0,physical
mb,fixed,150,0.05,0.0,0.75,0.0,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.05718228785618181,-0.17967333064918461,0.0,physical
mb,tuned_va,150,0.05,0.0,0.75,0.0,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04394178059190491,-0.113617480261035,0.0,physical
binomial,fixed,45,0.05,0.0,0.75,0.001,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04326678827868769,-0.1106297970336913,0.0,physical
uniform,fixed,150,0.05,0.0,0.75,0.001,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04326678841743851,-0.10822943907298112,0.0,physical
mb,fixed,150,0.05,0.0,0.75,0.001,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.05715952985990754,-0.17969495074564518,0.0,physical
mb,tuned_va,150,0.05,0.0,0.75,0.001,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04392421225630254,-0.11363417017985725,0.0,physical
binomial,fixed,45,0.05,0.0,0.75,0.002,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04324949280687107,-0.1106462277319171,0.0,physical
uniform,fixed,150,0.05,0.0,0.75,0.002,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04324949294556728,-0.10824586977125879,0.0,physical
mb,fixed,150,0.05,0.0,0.75,0.002,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.057136789973717364,-0.17971655363752587,0.0,physical
mb,tuned_va,150,0.05,0.0,0.75,0.002,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04390665796414018,-0.1136508467574115,0.0,physical
binomial,fixed,45,0.05,0.0,0.75,0.005,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04319768926256996,-0.11069544109900314,0.0,physical
uniform,fixed,150,0.05,0.0,0.75,0.005,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.043197689401102336,-0.10829508313850048,0.0,physical
mb,fixed,150,0.05,0.0,0.75,0.005,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.057068678759708225,-0.17978125929083455,0.0,physical
mb,tuned_va,150,0.05,0.0,0.75,0.005,0.13122448979591836,2.030854304763907,2.4809695228750623,5.339213276387021e-06,1.1095233006507716,1.8271878612668724,1.1095233006507716,False,0.15536217182334466,0.04385407918009481,-0.1137007966022546,0.0,physical
binomial,fixed,45,0.05,0.0,0.75,0.01,,1.9999999934896104,2.449414721888183,8.486109086731915e-05,1.0954115646461438,1.8165902102185878,1.0954115646461438,False,0.1517332458984446,0.04311162526844251,-0.11077720189342423,0.0,physical
uniform,fixed,150,0.05,0.0,0.75,0.01,,1.9999999999999998,2.4315340814046555,0.029743947883528115,1.0874150991256635,1.8165902124584952,1.0874150991256635,False,0.1493328880695477,0.04311162540670302,-0.10837684393317984,0.0,physical
mb,fixed,150,0.05,0.0,0.75,0.01,0.1,2.6550162256253156,3.1151139191044,5.3037823195646036e-05,1.393121296154644,2.034753693895963,1.393121296154644,False,0.23399650411255735,0.056955520261053896,-0.17988875986455616,0.0,physical
