mode,distribution,T,eps,eta,v_el,nu_tilde,va,z_star_raw,z_star,z_star_max,z_star_clipped,chi_be,i_ab,skr_raw,skr,status
fixed_va,mb,0.05,0.0,0.8,0.005,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.04252032765641467,-0.10187000790197642,0.0,physical
fixed,binomial,0.05,0.0,0.8,0.01,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.044216996373696894,-0.10967736044601357,0.0,physical
fixed,uniform,0.05,0.0,0.8,0.01,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.044224000256683264,-0.1073200878256986,0.0,physical
fixed,mb,0.05,0.0,0.8,0.01,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.05841792715114679,-0.1784994733189679,0.0,physical
fixed_va,mb,0.05,0.0,0.8,0.01,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.04243880815309957,-0.10194745143012578,0.0,physical
fixed,binomial,0.05,0.0,0.8,0.02,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.0440482025253996,-0.10983771460189601,0.0,physical
fixed,uniform,0.05,0.0,0.8,0.02,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.04405518007793556,-0.10748046699550892,0.0,physical
fixed,mb,0.05,0.0,0.8,0.02,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.05819600700279727,-0.17871029745989994,0.0,physical
fixed_va,mb,0.05,0.0,0.8,0.02,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.042276703361197814,-0.10210145098243245,0.0,physical
fixed,binomial,0.05,0.0,0.95,0.0,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.04725744904972633,-0.10678893040378562,0.0,physical
fixed,uniform,0.05,0.0,0.95,0.0,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.047264926691081066,-0.1044312077130207,0.0,physical
fixed,mb,0.05,0.0,0.95,0.0,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.06241393642341383,-0.1747032645103142,0.0,physical
fixed_va,mb,0.05,0.0,0.95,0.0,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.04535890069751275,-0.09917336351293325,0.0,physical
fixed,binomial,0.05,0.0,0.95,0.002,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.04722487426252745,-0.10681987645162455,0.0,physical
fixed,uniform,0.05,0.0,0.95,0.002,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.04723234683342216,-0.10446215857779664,0.0,physical
fixed,mb,0.05,0.0,0.95,0.002,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.06237113801703605,-0.1747439229963731,0.0,physical
fixed_va,mb,0.05,0.0,0.95,0.002,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.04532761413347857,-0.09920308574876573,0.0,physical
fixed,binomial,0.05,0.0,0.95,0.005,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.04717609620459406,-0.10686621560666126,0.0,physical
fixed,uniform,0.05,0.0,0.95,0.005,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.04718356118267902,-0.10450850494600264,0.0,physical
fixed,mb,0.05,0.0,0.95,0.005,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.062307050365236025,-0.17480480626558312,0.0,physical
fixed_va,mb,0.05,0.0,0.95,0.005,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.04528076513575371,-0.09924759229660435,0.0,physical
fixed,binomial,0.05,0.0,0.95,0.01,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.04709502299784928,-0.1069432351530688,0.0,physical
fixed,uniform,0.05,0.0,0.95,0.01,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.047102475355482065,-0.10458553648183974,0.0,physical
fixed,mb,0.05,0.0,0.95,0.01,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.062200529830051206,-0.1749060007740087,0.0,physical
fixed_va,mb,0.05,0.0,0.95,0.01,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.04520289832679882,-0.09932156576511147,0.0,physical
fixed,binomial,0.05,0.0,0.95,0.02,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.046933709751477516,-0.10709648273712198,0.0,physical
fixed,uniform,0.05,0.0,0.95,0.02,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.04694113699579355,-0.10473880792354383,0.0,physical
fixed,mb,0.05,0.0,0.95,0.02,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.061988577853100475,-0.1751073551521119,0.0,physical
fixed_va,mb,0.05,0.0,0.95,0.02,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.04504796543949994,-0.09946875200804542,0.0,physical
fixed,binomial,0.05,0.0,0.99,0.0,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.04792528665921846,-0.10615448467476808,0.0,physical
fixed,uniform,0.05,0.0,0.99,0.0,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.047932868228245544,-0.10379666325271443,0.0,physical
fixed,mb,0.05,0.0,0.99,0.0,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.06329130849118714,-0.17386976104592958,0.0,physical
fixed_va,mb,0.05,0.0,0.99,0.0,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.046000333734575426,-0.0985640021277237,0.0,physical
fixed,binomial,0.05,0.0,0.99,0.002,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.04789313761786638,-0.10618502626405256,0.0,physical
fixed,uniform,0.05,0.0,0.99,0.002,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.04790071418502081,-0.10382720959377793,0.0,physical
fixed,mb,0.05,0.0,0.99,0.002,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.06324907558760354,-0.173909882304334,0.0,physical
fixed_va,mb,0.05,0.0,0.99,0.002,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.045969455514251044,-0.09859333643703187,0.0,physical
fixed,binomial,0.05,0.0,0.99,0.005,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.04784499485477186,-0.10623076188899236,0.0,physical
fixed,uniform,0.05,0.0,0.99,0.005,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.04785256393147901,-0.10387295233464264,0.0,physical
fixed,mb,0.05,0.0,0.99,0.005,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.06318583182252593,-0.1739699638811577,0.0,physical
fixed_va,mb,0.05,0.0,0.99,0.005,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.04592321583965601,-0.09863726412789717,0.0,physical
fixed,binomial,0.05,0.0,0.99,0.01,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.04776497165922184,-0.10630678392476486,0.0,physical
fixed,uniform,0.05,0.0,0.99,0.01,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.047772528284709195,-0.10394898619907397,0.0,physical
fixed,mb,0.05,0.0,0.99,0.01,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.06308070618428414,-0.17406983323748743,0.0,physical
fixed_va,mb,0.05,0.0,0.99,0.01,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.04584635610442129,-0.09871028087637014,0.0,physical
fixed,binomial,0.05,0.0,0.99,0.02,,1.9996783754650813,1.09522446360879,1.09522446360879,1.816479555212078,False,0.15168350700102562,0.04760572572066311,-0.10645806756639567,0.0,physical
fixed,uniform,0.05,0.0,0.99,0.02,,1.9999999999999998,1.0874150991256635,1.0874150991256635,1.8165902124584952,False,0.1493328880695477,0.04761325756620235,-0.10410029338165547,0.0,physical
fixed,mb,0.05,0.0,0.99,0.02,0.1,2.6550162256253156,1.393121296154644,1.393121296154644,2.034753693895963,False,0.23399650411255735,0.06287150101174581,-0.17426857815139885,0.0,physical
fixed_va,mb,0.05,0.0,0.99,0.02,0.13897435897435897,1.918072890931891,1.0580235739656298,1.0580235739656298,1.7882747876724305,False,0.14226431917557036,0.045693405944585576,-0.09885558352821407,0.0,physical
fixed,binomial,0.05,0.002,0.6,0.0,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.03934135214619393,-0.11419831380901993,0.0,physical
fixed,uniform,0.05,0.002,0.6,0.0,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.03934759422656881,-0.11121351555919029,0.0,physical
fixed,mb,0.05,0.002,0.6,0.0,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.05200442194868777,-0.18453431686613933,0.0,physical
fixed_va,mb,0.05,0.002,0.6,0.0,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.037756681667564664,-0.10637708684999911,0.0,physical
fixed,binomial,0.05,0.002,0.6,0.002,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.0393056162373579,-0.11423226292241415,0.0,physical
fixed,uniform,0.05,0.002,0.6,0.002,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.039311852724609055,-0.11124746998605206,0.0,physical
fixed,mb,0.05,0.002,0.6,0.002,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.05195738906604681,-0.18457899810464826,0.0,physical
fixed_va,mb,0.05,0.002,0.6,0.002,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.03772236646173819,-0.10640968629553427,0.0,physical
fixed,binomial,0.05,0.002,0.6,0.005,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.03925213394429539,-0.11428307110082353,0.0,physical
fixed,uniform,0.05,0.002,0.6,0.005,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.039258362060629375,-0.11129828611683276,0.0,physical
fixed,mb,0.05,0.002,0.6,0.005,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.05188699905545822,-0.18464586861470741,0.0,physical
fixed_va,mb,0.05,0.002,0.6,0.005,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.03767101045322347,-0.10645847450362325,0.0,physical
fixed,binomial,0.05,0.002,0.6,0.01,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.03916331950913334,-0.11436744481422748,0.0,physical
fixed,uniform,0.05,0.002,0.6,0.01,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.03916953372376438,-0.11138267303685451,0.0,physical
fixed,mb,0.05,0.002,0.6,0.01,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.05177010529220948,-0.18475691768979371,0.0,physical
fixed_va,mb,0.05,0.002,0.6,0.01,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.03758572716254649,-0.10653949362976638,0.0,physical
fixed,binomial,0.05,0.002,0.6,0.02,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.03898689102400442,-0.11453505187509996,0.0,physical
fixed,uniform,0.05,0.002,0.6,0.02,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.038993077620581115,-0.11155030633487861,0.0,physical
fixed,mb,0.05,0.002,0.6,0.02,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.05153789091215305,-0.18497752135084733,0.0,physical
fixed_va,mb,0.05,0.002,0.6,0.02,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.03741631385987348,-0.10670043626730574,0.0,physical
fixed,binomial,0.05,0.002,0.8,0.0,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.044385723012138646,-0.10940616148637244,0.0,physical
fixed,uniform,0.05,0.002,0.8,0.0,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.044392753212013115,-0.10642061452301821,0.0,physical
fixed,mb,0.05,0.002,0.8,0.0,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.05863975076955617,-0.17823075448631434,0.0,physical
fixed_va,mb,0.05,0.002,0.8,0.0,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.04260084914968579,-0.10177512774198405,0.0,physical
fixed,binomial,0.05,0.002,0.8,0.002,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.04435160198040063,-0.10943857646652355,0.0,physical
fixed,uniform,0.05,0.002,0.8,0.002,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.044358626858545754,-0.10645303455881219,0.0,physical
fixed,mb,0.05,0.002,0.8,0.002,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.05859489276918077,-0.17827336958667098,0.0,physical
fixed_va,mb,0.05,0.002,0.8,0.002,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.0425680800726823,-0.10180625836513735,0.0,physical
fixed,binomial,0.05,0.002,0.8,0.005,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.044300518690336466,-0.10948710559208452,0.0,physical
fixed,uniform,0.05,0.002,0.8,0.005,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.044307535600977714,-0.10650157125350183,0.0,physical
fixed,mb,0.05,0.002,0.8,0.005,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.058527734321102816,-0.17833717011234504,0.0,physical
fixed_va,mb,0.05,0.002,0.8,0.005,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.042519020878929656,-0.10185286459920237,0.0,physical
fixed,binomial,0.05,0.002,0.8,0.01,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.04421564088948353,-0.1095677395028948,0.0,physical
fixed,uniform,0.05,0.002,0.8,0.01,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.04422264456103802,-0.10658221774144455,0.0,physical
fixed,mb,0.05,0.002,0.8,0.01,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.058416145073382574,-0.17844317989767927,0.0,physical
fixed_va,mb,0.05,0.002,0.8,0.01,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.042437506381774334,-0.10193030337149991,0.0,physical
fixed,binomial,0.05,0.002,0.8,0.02,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.04404685737092255,-0.10972808384552774,0.0,physical
fixed,uniform,0.05,0.002,0.8,0.02,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.04405383471361294,-0.10674258709649836,0.0,physical
fixed,mb,0.05,0.002,0.8,0.02,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.0581942384405868,-0.17865399119883527,0.0,physical
fixed_va,mb,0.05,0.002,0.8,0.02,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.042275411516268256,-0.10208429349373069,0.0,physical
fixed,binomial,0.05,0.002,0.95,0.0,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.04725590073067479,-0.10667949265376311,0.0,physical
fixed,uniform,0.05,0.002,0.95,0.0,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.04726337813102698,-0.10369352084995503,0.0,physical
fixed,mb,0.05,0.002,0.95,0.0,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.06241190217023729,-0.1746472106556673,0.0,physical
fixed_va,mb,0.05,0.002,0.95,0.0,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.045357413608634836,-0.09915639150598245,0.0,physical
fixed,binomial,0.05,0.002,0.95,0.002,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.04722332807742369,-0.10671043667435165,0.0,physical
fixed,uniform,0.05,0.002,0.95,0.002,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.04723080040764251,-0.10372446968717028,0.0,physical
fixed,mb,0.05,0.002,0.95,0.002,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.06236910655314302,-0.17468786649190685,0.0,physical
fixed_va,mb,0.05,0.002,0.95,0.002,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.04532612909548446,-0.0991861117934753,0.0,physical
fixed,binomial,0.05,0.002,0.95,0.005,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.04717455321214815,-0.10675677279636342,0.0,physical
fixed,uniform,0.05,0.002,0.95,0.005,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.04718201795004626,-0.10377081302188673,0.0,physical
fixed,mb,0.05,0.002,0.95,0.005,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.06230502307452216,-0.17474874579659666,0.0,physical
fixed_va,mb,0.05,0.002,0.95,0.005,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.045279283166138835,-0.09923061542635364,0.0,physical
fixed,binomial,0.05,0.002,0.95,0.01,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.04709348530456657,-0.10683378730856591,0.0,physical
fixed,uniform,0.05,0.002,0.95,0.01,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.04710093742282397,-0.1038478395227479,0.0,physical
fixed,mb,0.05,0.002,0.95,0.01,0.1,2.6550162256253156,1.3930183031226508,1.3930183031226508,2.03484350662301,False,0.2339385177173927,0.06219850946611105,-0.1748499337245872,0.0,physical
fixed_va,mb,0.05,0.002,0.95,0.01,0.13897435897435897,1.918072890931891,1.0579992077016331,1.0579992077016331,1.7883563748632345,False,0.14224593443418554,0.045201421450056296,-0.09930458405663206,0.0,physical
fixed,binomial,0.05,0.002,0.95,0.02,,1.9996783754650813,1.0948964523302938,1.0948964523302938,1.8165621217951826,False,0.15157259834790415,0.046932182574944886,-0.10698702490170652,0.0,physical
fixed,uniform,0.05,0.002,0.95,0.02,,1.9999999999999998,1.0849760850673387,1.0849760850673387,1.816672782864322,False,0.14859373007443066,0.046939609581495796,-0.10400110097200965,0.0,physical
