distribution,symbol_distribution,scenario,number_of_samples,mean_T,mean_SNR,H_X,mean_I_AB_gaussian,std_I_AB_gaussian,mean_I_AB_discrete,std_I_AB_discrete,mean_absolute_difference,maximum_absolute_difference,RMSE,mean_relative_difference_percent,correlation_coefficient,percent_discrete_le_gaussian,percent_satisfying_mi_bounds
Uniform,Uniform,T_eff,1,0.062127736865966635,0.06212580699807174,8.0,0.0869546610408917,0.0,0.08594730190812783,0.0,0.0010073591327638687,0.0010073591327638687,0.0010073591327638687,1.1584877920346828,0.0,100.0,100.0
Uniform,Uniform,instantaneous fading,12,0.06212773686596664,0.062125239706564146,8.0,0.08623153409034133,0.04560755751211036,0.0852383575340141,0.045092249599057804,0.0009931765563272255,0.0018858186487638595,0.001118921764389012,1.1594422475328325,0.9999999893030591,100.0,100.0
MB,MB,T_eff,1,0.062127736865966635,0.06206520496458797,6.408923689874861,0.0868723424050383,0.0,0.0863596386654466,0.0,0.0005127037395916967,0.0005127037395916967,0.0005127037395916967,0.5901806321754731,0.0,100.0,100.0
MB,MB,instantaneous fading,12,0.06212773686596664,0.0620646382264578,6.408923689874861,0.08615054036186455,0.04556576386711093,0.08564613447250095,0.04530551770141392,0.0005044058893636078,0.0009530396972742827,0.0005676037756237955,0.5903738174270975,0.9999999949916891,100.0,100.0
Rayleigh-fading channel (Uniform 256-QAM symbols),Uniform,instantaneous Rayleigh fading,12,0.06212773686596664,0.062125239706564146,8.0,0.08623153409034133,0.04560755751211036,0.0852383575340141,0.045092249599057804,0.0009931765563272255,0.0018858186487638595,0.001118921764389012,1.1594422475328325,0.9999999893030591,100.0,100.0
