case_id,case_type,pair,x,y,scheme,mean_delta_K,ci95_low,ci95_high,P_delta_K_gt_0,mean_delta_I_AB,mean_delta_chi_BE,gain_source,independent_test_confirmed,ncut,repetitions,MB_I_AB,learned_I_AB,MB_chi_BE,learned_chi_BE,MB_K_raw,learned_K_raw,MB_entropy,learned_entropy,MB_K_p05,learned_K_p05,Delta_K_p05,MB_outage,learned_outage,Delta_outage_MB_minus_learned,learned_minimum_distance,learned_peak_energy,learned_geometry_drift,checkpoint_phase,checkpoint_epoch
0,best,V_a,40.0,0.25,PS+GS,-0.0003227853750564141,-0.0015622751872397256,0.0009167044371268975,0.4,0.00018180439872091946,0.0004954995538412471,No positive gain,False,150,10,0.4970807249252295,0.49726252932395043,0.2544287656065503,0.25492426516039146,0.2177979230724177,0.21747513769736124,4.380495360181544,6.408923689874859,0.046716869599759465,0.046085661345267134,-0.0006312082544923311,0.0,0.0,0.0,0.3074940962901775,11.208270851105542,0.00014766733072390403,geometry_warmup,70
1,best,V_a,22.5,0.2,PS+GS,-0.0008180028156783162,-0.0019418695549897947,0.0003058639236331622,0.4,-0.0006224708801041395,0.00022665547957938237,No positive gain,False,150,10,0.266405925692076,0.26578345481197185,0.1614979157077983,0.16172457118737768,0.09158771369967386,0.09076971088399555,4.380495360181544,6.408923689874859,0.01488500356023915,0.01590431275845588,0.001019309198216729,0.0,0.0,0.0,0.3074940962901775,11.208270851105542,0.00014766733072390403,geometry_warmup,70
2,best,V_a,40.0,0.1,PS+GS,-0.0008780618260455578,-0.0017584967854425938,2.373133351478364e-06,0.3,-0.0007984210023839672,0.00011956187378078659,No positive gain,False,150,10,0.1461307013553789,0.14533228035299492,0.09296707559074055,0.09308663746452134,0.045857090696869385,0.044979028870823834,4.380495360181544,6.408923689874859,0.002541392362845685,0.002454550439387769,-8.684192345791587e-05,0.00625,0.0,0.00625,0.3074940962901775,11.208270851105542,0.00014766733072390403,geometry_warmup,70
