scheme,checkpoint_phase,checkpoint_epoch,max_state_pair_L1,mean_KL_to_MB_fixed_nats,max_KL_to_MB_fixed_nats,mean_KL_to_MB_global_nats,logit_jacobian_log10T_L2,logit_jacobian_epsilon_L2,adaptive_pmf_detected,epoch0_MB_initialization_only
PS,ps,0,0.0,-1.242021178235754e-16,-1.242021178235754e-16,1.6757689608148318,0.0,0.0,False,True
PS+GS,geometry_warmup,70,0.0,-1.242021178235754e-16,-1.242021178235754e-16,1.6757689608148318,0.0,0.0,False,False
