case_id,case_type,pair,x,y,repetition,scheme,I_AB,chi_BE,beta_I_AB,K_raw_mean,K_raw_median,K_raw_p05,outage_probability,entropy,finite,channel_seed,awgn_seed,channel_hash,noise_hash
0,best,V_a,40.0,0.25,0,MB-global-opt,0.46063243047951075,0.2341180898327689,0.4376008089555352,0.2034827191227663,0.2557759105436567,0.007040044425832268,0.0,4.380495360181545,True,910000,910001,0ff4d6fecadb791c,d99af032dc550173
0,best,V_a,40.0,0.25,0,PS+GS,0.4602775406098407,0.23458308456506843,0.43726366357934865,0.20268057901428022,0.2497382062158141,0.007186064991903672,0.0,6.408923689874859,True,910000,910001,0ff4d6fecadb791c,d99af032dc550173
0,best,V_a,40.0,0.25,1,MB-global-opt,0.5618064015274085,0.28228684384818215,0.5337160814510381,0.25142923760285585,0.27277838875908295,0.1426307785690401,0.0,4.380495360181545,True,910001,910002,02c99f95ee075161,94920a73257413ee
0,best,V_a,40.0,0.25,1,PS+GS,0.5612611321852292,0.2828513334256415,0.5331980755759678,0.25034674215032626,0.26906172285569374,0.13388692723330903,0.0,6.408923689874859,True,910001,910002,02c99f95ee075161,94920a73257413ee
0,best,V_a,40.0,0.25,2,MB-global-opt,0.49167907037657543,0.2568717505820851,0.4670951168577467,0.21022336627566157,0.22360590397010918,0.03224065614391706,0.0,4.380495360181545,True,910002,910003,48cea6c6904228ec,c4843b1b77f9c165
0,best,V_a,40.0,0.25,2,PS+GS,0.4902054696402384,0.25734851883792814,0.4656951961582264,0.20834667732029832,0.2249627636014354,0.0357943158483525,0.0,6.408923689874859,True,910002,910003,48cea6c6904228ec,c4843b1b77f9c165
0,best,V_a,40.0,0.25,3,MB-global-opt,0.5019325902207648,0.25991733667437944,0.47683596070972656,0.21691862403534712,0.21960778695997885,0.048601450042254926,0.0,4.380495360181545,True,910003,910004,f816659dfd2399e9,c685427b006a8b12
0,best,V_a,40.0,0.25,3,PS+GS,0.5053067864347418,0.2604213034027659,0.4800414471130048,0.21962014371023875,0.2298290786753489,0.04342240974240113,0.0,6.408923689874859,True,910003,910004,f816659dfd2399e9,c685427b006a8b12
0,best,V_a,40.0,0.25,4,MB-global-opt,0.5294271958092882,0.2683899846470504,0.5029558360188238,0.2345658513717734,0.27201423887862813,0.06648496728993114,0.0,4.380495360181545,True,910004,910005,5db28cbedf491ae5,0120ead2a367a6b4
0,best,V_a,40.0,0.25,4,PS+GS,0.5308801229947256,0.2689239086346168,0.5043361168449894,0.23541220821037256,0.2851940223028142,0.06773092116186544,0.0,6.408923689874859,True,910004,910005,5db28cbedf491ae5,0120ead2a367a6b4
0,best,V_a,40.0,0.25,5,MB-global-opt,0.4475424601225415,0.2302446177960042,0.42516533711641447,0.19492071932041027,0.23543088388649708,0.02378699200365502,0.0,4.380495360181545,True,910005,910006,7d7470a893adda1d,090075018a49f7f0
