pair,x,y,winner,best_learned,K_MB_global,K_best_learned,Delta_K_learned_vs_MB_global,Delta_I_AB,Delta_chi_BE,gain_source,MB_outage,learned_outage,Delta_outage,learned_K_p05,MB_K_p05,exploratory_ncut,repetitions
T_epsilon,0.0001,0.0,PS+GS,PS+GS,3.4552537605133286e-05,3.693816108897297e-05,2.3856234838396826e-06,2.546742721006495e-06,3.3782101116486274e-08,MI-driven,0.0,0.0,0.0,3.1530927763584095e-05,2.089359457826696e-05,64,3
T_epsilon,0.0006687403049764221,0.0,PS+GS,PS+GS,0.00024041039426541487,0.00024586140401626765,5.45100975085278e-06,5.953330228495647e-06,2.0465396621816012e-07,Mixed/none,0.0,0.0,0.0,0.00019097535651025897,0.00012182613770856273,64,3
T_epsilon,0.00447213595499958,0.0,MB-global-opt,PS+GS,0.0016767498882764664,0.001632879058676136,-4.387082960033038e-05,-4.488681837414889e-05,1.2283521448885892e-06,No positive gain,0.0,0.0,0.0,0.0013574074362621461,0.0010061981504694295,64,3
T_epsilon,0.029906975624424414,0.0,PS+GS,PS+GS,0.009951810561428385,0.011072954179715358,0.0011211436182869735,0.0011878920121480493,7.353793253672691e-06,Mixed/none,0.041666666666666664,0.0,0.041666666666666664,0.008427653008071011,0.003534441133445992,64,3
T_epsilon,0.20000000000000004,0.0,MB-global-opt,PS+GS,0.08372302576354947,0.08292022968240755,-0.000802796081141921,-0.0007957623484855514,4.682185008064721e-05,No positive gain,0.0,0.0,0.0,0.06586451301187014,0.05129466630896066,64,3
T_epsilon,0.0001,0.0075,PS+GS,PS+GS,2.50575422129103e-05,2.700823774534622e-05,1.9506955324359197e-06,2.4801921043223483e-06,4.054869666703098e-07,Mixed/none,0.0,0.0,0.0,1.906194633962096e-05,1.0084110757820523e-05,64,3
T_epsilon,0.0006687403049764221,0.0075,PS+GS,PS+GS,0.0001630836880690082,0.0001809838932302391,1.7900205161230914e-05,2.1310411464470214e-05,2.344685730015783e-06,Mixed/none,0.0,0.0,0.0,0.00012536901811460268,6.491066838236818e-05,64,3
T_epsilon,0.00447213595499958,0.0075,PS+GS,PS+GS,0.0013977066791466333,0.0014005872655603099,2.880586413676542e-06,1.6975464414555226e-05,1.3246104780151313e-05,Mixed/none,0.0,0.0,0.0,0.0011256978079227126,0.0006932185415008807,64,3
T_epsilon,0.029906975624424414,0.0075,MB-global-opt,PS+GS,0.010117368157226816,0.00946104869014972,-0.0006563194670770964,-0.0006139658313964319,7.305192725048926e-05,No positive gain,0.0,0.0,0.0,0.007512428913749396,0.006088729830824899,64,3
T_epsilon,0.20000000000000004,0.0075,MB-global-opt,PS+GS,0.07679163271798266,0.07622022833621463,-0.0005714043817680314,-0.0001659055352320471,0.0004137941232975617,No positive gain,0.0,0.0,0.0,0.06289261021156911,0.05200032403506461,64,3
