pair,scheme,x,y,dK_dx,dK_dy,exploratory_only
T_epsilon,MB-global-opt,0.0001,0.0,0.3599127146972891,-0.0013981155586847065,True
T_epsilon,MB-global-opt,0.0006687403049764221,0.0,0.3639953848660635,-0.013806795429169719,True
T_epsilon,MB-global-opt,0.00447213595499958,0.0,0.3708428769210668,-0.040999051934100056,True
T_epsilon,MB-global-opt,0.029906975624424414,0.0,0.33944029400083436,0.07741465575543216,True
T_epsilon,MB-global-opt,0.20000000000000004,0.0,0.5279817002042874,-0.47616109243265736,True
T_epsilon,MB-global-opt,0.0001,0.0075,0.23203065330112807,-0.0011338832125747567,True
T_epsilon,MB-global-opt,0.0006687403049764221,0.0075,0.25334428724162106,-0.0068136595565387245,True
T_epsilon,MB-global-opt,0.00447213595499958,0.0075,0.32697989354621937,-0.033412470500522075,True
T_epsilon,MB-global-opt,0.029906975624424414,0.0075,0.3492188651469375,-0.033265963542516756,True
T_epsilon,MB-global-opt,0.20000000000000004,0.0075,0.43475525496201023,-1.372210386385157,True
T_epsilon,MB-global-opt,0.0001,0.015,0.204273491054367,-0.0006852921512881216,True
T_epsilon,MB-global-opt,0.0006687403049764221,0.015,0.22003690314505328,-0.004414347029239659,True
T_epsilon,MB-global-opt,0.00447213595499958,0.015,0.2795984535229392,-0.038203174453261934,True
T_epsilon,MB-global-opt,0.029906975624424414,0.015,0.32415558194886523,-0.31067871801195374,True
T_epsilon,MB-global-opt,0.20000000000000004,0.015,0.30711132692727133,-0.9974605892420917,True
T_epsilon,MB-global-opt,0.0001,0.0225,0.13822114642573038,-0.0009214434143930045,True
T_epsilon,MB-global-opt,0.0006687403049764221,0.0225,0.15045304096187884,-0.007471496534021436,True
T_epsilon,MB-global-opt,0.00447213595499958,0.0225,0.19015352465968563,-0.040678753489325904,True
T_epsilon,MB-global-opt,0.029906975624424414,0.0225,0.20155308611901046,-0.29456486376131885,True
T_epsilon,MB-global-opt,0.20000000000000004,0.0225,0.4612905160716335,-0.6505692184728735,True
T_epsilon,MB-global-opt,0.0001,0.03,0.026086071242071067,-0.002026695717066091,True
T_epsilon,MB-global-opt,0.0006687403049764221,0.03,0.05272112603340481,-0.011391284725552122,True
T_epsilon,MB-global-opt,0.00447213595499958,0.03,0.14619344267709034,-0.028461922222396116,True
T_epsilon,MB-global-opt,0.029906975624424414,0.03,0.18982123851875718,0.18180773438087605,True
T_epsilon,MB-global-opt,0.20000000000000004,0.03,0.3786557312604987,-1.602335365173067,True
T_epsilon,best learned,0.0001,0.0,0.36769051062836194,-0.0014073765097080385,True
T_epsilon,best learned,0.0006687403049764221,0.0,0.36699715296515084,-0.010579989967223454,True
T_epsilon,best learned,0.00447213595499958,0.0,0.36552023266017225,-0.027354067290149678,True
T_epsilon,best learned,0.029906975624424414,0.0,0.37781449258373123,-0.27341976859847195,True
T_epsilon,best learned,0.20000000000000004,0.0,0.4669852958432073,-0.37072340470478693,True
T_epsilon,best learned,0.0001,0.0075,0.2642359133615525,-0.0012406030485924275,True
T_epsilon,best learned,0.0006687403049764221,0.0075,0.2772261709592561,-0.00672067957571749,True
T_epsilon,best learned,0.00447213595499958,0.0075,0.3201732021812603,-0.0345904108740706,True
T_epsilon,best learned,0.029906975624424414,0.0075,0.32673798395562637,-0.15642169528569788,True
T_epsilon,best learned,0.20000000000000004,0.0075,0.4582345908003687,-1.4159436209466576,True
T_epsilon,best learned,0.0001,0.015,0.21865533499978435,-0.0010267253917339851,True
T_epsilon,best learned,0.0006687403049764221,0.015,0.22696841950332655,-0.004887030522896888,True
T_epsilon,best learned,0.00447213595499958,0.015,0.2605579375123954,-0.04151020959409274,True
T_epsilon,best learned,0.029906975624424414,0.015,0.3008630029219302,-0.26068502132902144,True
T_epsilon,best learned,0.20000000000000004,0.015,0.321789769726185,-1.2870664772775935,True
T_epsilon,best learned,0.0001,0.0225,0.16796860521022633,-0.0009398778532548278,True
T_epsilon,best learned,0.0006687403049764221,0.0225,0.16986951766180095,-0.006571821332749621,True
T_epsilon,best learned,0.00447213595499958,0.0225,0.17771167784212277,-0.03744661139911035,True
T_epsilon,best learned,0.029906975624424414,0.0225,0.20252115136313076,-0.22639966730903938,True
T_epsilon,best learned,0.20000000000000004,0.0225,0.4014243425264097,-0.6436905686074741,True
T_epsilon,best learned,0.0001,0.03,0.06663545691396776,-0.001027164628897785,True
T_epsilon,best learned,0.0006687403049764221,0.03,0.08191368742616514,-0.009749390666590328,True
T_epsilon,best learned,0.00447213595499958,0.03,0.14013656039831174,-0.022716161153022163,True
T_epsilon,best learned,0.029906975624424414,0.03,0.19913800381006833,0.1676957661303463,True
T_epsilon,best learned,0.20000000000000004,0.03,0.34991547171866033,-0.6599132548472344,True
L_Cn2,MB-global-opt,20.0,1e-16,-0.0028291128498615314,-30967346155993.508,True
L_Cn2,MB-global-opt,40.0,1e-16,-0.001007216062062563,-2904276752191.3774,True
L_Cn2,MB-global-opt,60.0,1e-16,-5.161945283716758e-05,-424608256601.8343,True
L_Cn2,MB-global-opt,80.0,1e-16,-3.6735996221890404e-06,-19192992653.61405,True
L_Cn2,MB-global-opt,100.0,1e-16,2.921676155945435e-06,-3661815019.2716303,True
L_Cn2,MB-global-opt,20.0,3.1622776601683793e-16,-0.002402636962866137,-28100761240482.086,True
L_Cn2,MB-global-opt,40.0,3.1622776601683793e-16,-0.00084944096475202,-2123501312995.5405,True
L_Cn2,MB-global-opt,60.0,3.1622776601683793e-16,-3.811925964414948e-05,-269831329512.34454,True
L_Cn2,MB-global-opt,80.0,3.1622776601683793e-16,-1.8127275781017192e-06,-13780402732.727089,True
L_Cn2,MB-global-opt,100.0,3.1622776601683793e-16,1.3529244523699986e-06,-2291892202.77178,True
L_Cn2,MB-global-opt,20.0,1e-15,-0.0012543434243044284,-18958301238639.39,True
L_Cn2,MB-global-opt,40.0,1e-15,-0.00044698655967609244,-723796064366.3334,True
L_Cn2,MB-global-opt,60.0,1e-15,-2.3011917240761216e-05,-23102472712.23187,True
L_Cn2,MB-global-opt,80.0,1e-15,-1.385683338068118e-06,-4065553171.564326,True
L_Cn2,MB-global-opt,100.0,1e-15,1.2743642249913678e-06,-101899630.71795103,True
L_Cn2,MB-global-opt,20.0,3.1622776601683794e-15,-0.0005866438754093769,-3305145168456.5396,True
L_Cn2,MB-global-opt,40.0,3.1622776601683794e-15,-0.00021111088810175701,-169319634163.9923,True
L_Cn2,MB-global-opt,60.0,3.1622776601683794e-15,-1.214597625582084e-05,-13358593097.091772,True
L_Cn2,MB-global-opt,80.0,3.1622776601683794e-15,-4.809967950634985e-07,-296366513.81480616,True
L_Cn2,MB-global-opt,100.0,3.1622776601683794e-15,4.5212574219878156e-07,-19870465.02823923,True
L_Cn2,MB-global-opt,20.0,1e-14,-0.0006810706430016892,3494280691401.529,True
L_Cn2,MB-global-opt,40.0,1e-14,-0.00022772039525230576,33679539660.919098,True
L_Cn2,MB-global-opt,60.0,1e-14,-5.432228539907491e-07,8166165007.347,True
L_Cn2,MB-global-opt,80.0,1e-14,-3.7194691334396776e-08,406193697.2756757,True
L_Cn2,MB-global-opt,100.0,1e-14,-2.923541326832477e-08,19839277.905054163,True
L_Cn2,best learned,20.0,1e-16,-0.0027686614143949506,-33694156478172.246,True
L_Cn2,best learned,40.0,1e-16,-0.0009906795350404464,-3810986498689.4204,True
L_Cn2,best learned,60.0,1e-16,-5.4258601446384024e-05,-456843604087.77985,True
L_Cn2,best learned,80.0,1e-16,-3.6249022153409895e-06,-27197425701.00437,True
L_Cn2,best learned,100.0,1e-16,2.7825084131249958e-06,-3690643820.3376894,True
L_Cn2,best learned,20.0,3.1622776601683793e-16,-0.002325913268326813,-29311017792122.348,True
L_Cn2,best learned,40.0,3.1622776601683793e-16,-0.0008223883640913681,-2676070022598.4116,True
L_Cn2,best learned,60.0,3.1622776601683793e-16,-3.68484246867981e-05,-283923444435.625,True
L_Cn2,best learned,80.0,3.1622776601683793e-16,-1.6389662282270673e-06,-18437781275.076538,True
L_Cn2,best learned,100.0,3.1622776601683793e-16,1.224976115219341e-06,-2319338597.4034557,True
L_Cn2,best learned,20.0,1e-15,-0.0012382696708836663,-18003675201556.754,True
L_Cn2,best learned,40.0,1e-15,-0.0004399861036881346,-715023031135.7799,True
L_Cn2,best learned,60.0,1e-15,-2.1856343304857275e-05,-12666970561.166676,True
L_Cn2,best learned,80.0,1e-15,-1.4618427090285395e-06,-3574547128.4933486,True
L_Cn2,best learned,100.0,1e-15,1.3512049116060536e-06,-120442938.51709569,True
L_Cn2,best learned,20.0,3.1622776601683794e-15,-0.0006028955439102616,-3100656156725.456,True
L_Cn2,best learned,40.0,3.1622776601683794e-15,-0.00021603185574646384,-158372578903.93185,True
L_Cn2,best learned,60.0,3.1622776601683794e-15,-1.1701248222626046e-05,-15329409863.452663,True
L_Cn2,best learned,80.0,3.1622776601683794e-15,-4.101091859176619e-07,-277755579.27129406,True
L_Cn2,best learned,100.0,3.1622776601683794e-15,3.7464200362139855e-07,-17741519.398466,True
L_Cn2,best learned,20.0,1e-14,-0.0007779994137539216,3614475904183.792,True
L_Cn2,best learned,40.0,1e-14,-0.0002603258698307903,30464356070.36705,True
L_Cn2,best learned,60.0,1e-14,-7.657602476741447e-07,10917946600.620016,True
L_Cn2,best learned,80.0,1e-14,-3.3001399556698e-08,312580813.0392227,True
L_Cn2,best learned,100.0,1e-14,-1.4158946422815351e-08,18364827.138676196,True
V_a,MB-global-opt,5.0,0.1,0.0011036959235060401,0.0022771819356852694,True
V_a,MB-global-opt,13.75,0.1,0.0016515432435239169,0.31603655835184297,True
V_a,MB-global-opt,22.5,0.1,0.001262594767022135,0.3258715084363192,True
V_a,MB-global-opt,31.25,0.1,0.0007406112984686621,-0.4471384332973056,True
V_a,MB-global-opt,40.0,0.1,0.001022388634383157,1.1636900470545424,True
V_a,MB-global-opt,5.0,0.15,0.0037025633904691096,0.00571752336741841,True
V_a,MB-global-opt,13.75,0.15,0.0028991673480690972,0.36509417196520444,True
V_a,MB-global-opt,22.5,0.15,0.0014537268807376744,0.5554600700484105,True
V_a,MB-global-opt,31.25,0.15,0.0023581105263825496,1.2620616432152305,True
V_a,MB-global-opt,40.0,0.15,0.006254362709935131,0.849890990969909,True
V_a,MB-global-opt,5.0,0.2,0.006176633338992622,0.007776063690070296,True
V_a,MB-global-opt,13.75,0.2,0.004792929224558157,0.2790446193701618,True
V_a,MB-global-opt,22.5,0.2,0.006388123174165144,0.8452922322803327,True
V_a,MB-global-opt,31.25,0.2,0.0024230737037343676,1.2063130913104239,True
V_a,MB-global-opt,40.0,0.2,-0.010081117250775627,0.9637321566444935,True
V_a,MB-global-opt,5.0,0.25,0.005117180842641132,0.002036369281621173,True
V_a,MB-global-opt,13.75,0.25,0.007684974025727739,0.3435406906526678,True
V_a,MB-global-opt,22.5,0.25,0.0067524038632534615,0.7087682765795568,True
V_a,MB-global-opt,31.25,0.25,0.0030349100941777546,0.6096963513843097,True
V_a,MB-global-opt,40.0,0.25,3.2856064061503876e-05,1.2275290075523062,True
V_a,MB-global-opt,5.0,0.3,0.009943978357199772,-0.010119758748847709,True
V_a,MB-global-opt,13.75,0.3,0.008831397266260645,0.6936895520211257,True
V_a,MB-global-opt,22.5,0.3,0.007909012664060239,0.08564460232625137,True
V_a,MB-global-opt,31.25,0.3,0.005387420737864363,1.2371600518542287,True
V_a,MB-global-opt,40.0,0.3,0.0010764249989343097,1.2136413219341282,True
V_a,best learned,5.0,0.1,0.0011788311177909994,0.002710185615636387,True
V_a,best learned,13.75,0.1,0.0015654304740139826,0.34655070338140254,True
V_a,best learned,22.5,0.1,0.001235827799738238,0.35571989330032006,True
V_a,best learned,31.25,0.1,0.0009154861241598233,-0.38503790356464673,True
V_a,best learned,40.0,0.1,0.0013206074777774666,0.9730329129315811,True
V_a,best learned,5.0,0.15,0.003711023097201687,0.0057583304883052615,True
V_a,best learned,13.75,0.15,0.0029145385173955933,0.3411453167111915,True
V_a,best learned,22.5,0.15,0.0015226961809594332,0.5971242531707491,True
V_a,best learned,31.25,0.15,0.0020993454690896238,1.2735417905120774,True
V_a,best learned,40.0,0.15,0.005239844138416232,0.8085127749903482,True
V_a,best learned,5.0,0.2,0.005465585530414433,0.0076554608533122015,True
V_a,best learned,13.75,0.2,0.004944664317913662,0.2783700337675908,True
V_a,best learned,22.5,0.2,0.006563807650029017,0.8342860040379121,True
V_a,best learned,31.25,0.2,0.002123420534557532,1.1598168321531626,True
V_a,best learned,40.0,0.2,-0.01051656157311692,1.1164491200381845,True
V_a,best learned,5.0,0.25,0.0051751816599017696,0.0028493627404670993,True
V_a,best learned,13.75,0.25,0.007638141621307594,0.34243929590842814,True
V_a,best learned,22.5,0.25,0.0065595350288769885,0.6744993722647404,True
V_a,best learned,31.25,0.25,0.0037117061319483224,0.5889395731254943,True
V_a,best learned,40.0,0.25,0.002636221484358027,1.233709349938846,True
V_a,best learned,5.0,0.3,0.009389641091257693,-0.007508949342568121,True
V_a,best learned,13.75,0.3,0.00878266437233808,0.590722999407093,True
V_a,best learned,22.5,0.3,0.007972380662697964,0.12200696685449941,True
V_a,best learned,31.25,0.3,0.005318906121266706,1.33321466586471,True
V_a,best learned,40.0,0.3,0.001025547738764801,0.6878369817032617,True
W0_Cn2,MB-global-opt,0.03,1e-16,0.6760712196345383,96160293124.46582,True
W0_Cn2,MB-global-opt,0.0525,1e-16,0.543147665821835,19528236234720.14,True
