ncut,scheme,I_AB,chi_BE,beta_I_AB,K_raw_mean,K_raw_median,K_raw_p05,outage_probability,entropy,finite,channel_seed,awgn_seed,channel_hash,noise_hash,abs_delta_K_vs_ncut150
120,MB-fixed,0.10877021030990075,0.07349975712447562,0.10333169979440571,0.029831942669930084,0.031554841655179265,0.009708423971793827,0.0,6.408923689874861,True,9820000,9820001,82d67e28cec17ffb,5604c533cba4f0fd,3.164135620181696e-15
120,MB-global-opt,0.10858671245048479,0.07336977093387159,0.10315737682796054,0.02978760589408895,0.03132123971952799,0.009114833438812088,0.0,4.380495360181545,True,9820000,9820001,82d67e28cec17ffb,5604c533cba4f0fd,5.88418203051333e-15
120,PS,0.10877021030990186,0.07349975712448223,0.10333169979440676,0.029831942669924533,0.031554841655173006,0.009708423971793126,0.0,6.408923689874859,True,9820000,9820001,82d67e28cec17ffb,5604c533cba4f0fd,2.3592239273284576e-15
120,GS,0.10922302114181603,0.08919394159846863,0.10376187008472522,0.014567928486256591,0.015237578827418927,0.004103909922230077,0.0,8.0,True,9820000,9820001,82d67e28cec17ffb,5604c533cba4f0fd,3.885780586188048e-16
120,PS+GS,0.10877010195542913,0.0734577261911531,0.10333159685765766,0.02987387066650457,0.03160077963808999,0.00972263386799175,0.0,6.408923689874859,True,9820000,9820001,82d67e28cec17ffb,5604c533cba4f0fd,1.4432899320127035e-15
150,MB-fixed,0.10877021030990075,0.07349975712447246,0.10333169979440571,0.029831942669933248,0.03155484165518315,0.009708423971795603,0.0,6.408923689874861,True,9820000,9820001,82d67e28cec17ffb,5604c533cba4f0fd,0.0
150,MB-global-opt,0.10858671245048479,0.07336977093387748,0.10315737682796054,0.029787605894083066,0.03132123971952144,0.009114833438808758,0.0,4.380495360181545,True,9820000,9820001,82d67e28cec17ffb,5604c533cba4f0fd,0.0
150,PS,0.10877021030990186,0.07349975712447987,0.10333169979440676,0.029831942669926892,0.031554841655175116,0.009708423971794292,0.0,6.408923689874859,True,9820000,9820001,82d67e28cec17ffb,5604c533cba4f0fd,0.0
150,GS,0.10922302114181603,0.08919394159846902,0.10376187008472522,0.014567928486256203,0.015237578827417927,0.0041039099222296115,0.0,8.0,True,9820000,9820001,82d67e28cec17ffb,5604c533cba4f0fd,0.0
150,PS+GS,0.10877010195542913,0.07345772619115165,0.10333159685765766,0.029873870666506014,0.03160077963809044,0.009722633867993446,0.0,6.408923689874859,True,9820000,9820001,82d67e28cec17ffb,5604c533cba4f0fd,0.0
