case_id,case_type,pair,x,y,scheme,mean_delta_K,ci95_low,ci95_high,P_delta_K_gt_0,mean_delta_I_AB,mean_delta_chi_BE,gain_source,independent_test_confirmed,ncut,repetitions
0,best,V_a,40.0,0.25,PS+GS,-0.0003227853750564141,-0.0015622751872397256,0.0009167044371268975,0.4,0.00018180439872091946,0.0004954995538412471,No positive gain,False,150,10
1,best,V_a,22.5,0.2,PS+GS,-0.0008180028156783162,-0.0019418695549897947,0.0003058639236331622,0.4,-0.0006224708801041395,0.00022665547957938237,No positive gain,False,150,10
2,best,V_a,40.0,0.1,PS+GS,-0.0008780618260455578,-0.0017584967854425938,2.373133351478364e-06,0.3,-0.0007984210023839672,0.00011956187378078659,No positive gain,False,150,10
3,failure,V_a,31.25,0.25,PS+GS,0.000164770491862401,-0.0009951362870273734,0.0013246772707521753,0.6,0.000588267419061167,0.0003940835562457112,Mixed/none,False,150,10
4,failure,V_a,40.0,0.15,PS+GS,-0.0005246705235458261,-0.002033921377574358,0.0009845803304827055,0.3,-0.0003354110665130056,0.00020603001035846835,No positive gain,False,150,10
5,failure,T_epsilon,0.20000000000000004,0.0225,PS+GS,-0.0011608619909753196,-0.0021056774650100273,-0.00021604651694061218,0.2,-0.0006078062443014565,0.0005834460588889367,No positive gain,False,150,10
