m,distribution,alpha0,ncut,va_theory,va_numeric,tr_tau,c_value,w_value,min_eig,max_eig,rank,neg_eig_mass,tau_hermitian_error,alt_w_left,alt_w_sandwich
4,binomial,2.8284271247461903,40,2.0000000000000004,2.000000000000001,1.0,2.4358868566602463,0.03177684558063663,0.0,0.3040172812754289,16,0.0,0.0,-1.457167719820518e-16,0.005703275455777423
4,uniform,2.8284271247461903,40,3.333333333333334,3.333333333333335,1.0,3.7575359359466174,0.08574186681837406,0.0,0.14888981147825966,16,0.0,0.0,-2.914335439641036e-16,0.004873946221704938
8,binomial,2.8284271247461903,40,2.0000000000000004,1.999999999892984,0.9999999999973577,2.449043258897291,0.0006404995949593332,2.0790950559932377e-15,0.32248254318853625,36,0.0,0.0,1.225074198918266e-10,0.0060141751365373535
8,uniform,2.8284271247461903,40,6.000000000000001,5.999999972722077,0.9999999993264829,6.456960746246757,0.03367696620362503,6.486013015355302e-15,0.08590236514614744,37,0.0,0.0,2.729186281396484e-08,0.0023623015198155845
16,binomial,2.8284271247461903,40,2.0000000000000004,1.9999998802695131,0.9999999970950537,2.449414559740171,8.499418557482885e-05,8.447429060156665e-10,0.3283355599704007,40,0.0,0.0,1.1878134452201819e-07,0.006023696938093885
16,uniform,2.8284271247461903,40,11.333333333333336,11.291570148948693,0.9990030544878228,11.749520344320933,0.05523853782012128,9.112410560218774e-06,0.04601942360549956,40,0.0,0.0,0.03967422507612216,0.0010200659936159726
