Model,runs,I_AB_mean,I_AB_std,I_AB_ci95_low,I_AB_ci95_high,chi_BE_mean,chi_BE_std,chi_BE_ci95_low,chi_BE_ci95_high,raw_K_mean,raw_K_std,raw_K_ci95_low,raw_K_ci95_high
Uniform fixed QAM,1,0.10285365493994014,0.0,0.10285365493994014,0.10285365493994014,0.07650671614662574,0.0,0.07650671614662574,0.07650671614662574,0.021204256046317385,0.0,0.021204256046317385,0.021204256046317385
MB fixed QAM,1,0.11327695892224643,0.0,0.11327695892224643,0.11327695892224643,0.06210463313161663,0.0,0.06210463313161663,0.06210463313161663,0.045508477844517475,0.0,0.045508477844517475,0.045508477844517475
Learned PS fixed QAM,1,0.11162718027389218,0.0,0.11162718027389218,0.11162718027389218,0.06279331633383989,0.0,0.06279331633383989,0.06279331633383989,0.04325250492635768,0.0,0.04325250492635768,0.04325250492635768
Learned GS uniform probabilities,1,0.10285366357607906,0.0,0.10285366357607906,0.10285366357607906,0.07648624569304796,0.0,0.07648624569304796,0.07648624569304796,0.021224734704227144,0.0,0.021224734704227144,0.021224734704227144
Learned joint PS+GS,1,0.10949398379093456,0.0,0.10949398379093456,0.10949398379093456,0.06367224649088898,0.0,0.06367224649088898,0.06367224649088898,0.040347038110498834,0.0,0.040347038110498834,0.040347038110498834
