Model,H_X,I_AB_discrete,chi_BE,beta_times_I_AB,raw_SKR,clipped_SKR,w,Z,Tr_C,mean_transmittance,SKR_outage_probability,average_energy,peak_energy,minimum_pairwise_distance,trainable_parameters,training_time_seconds,Delta_I_AB_vs_PS,Delta_chi_BE_vs_PS,Delta_raw_K_vs_PS
Uniform fixed QAM,8.0,0.10285365493994014,0.07650671614662574,0.09771097219294313,0.021204256046317385,0.021204256046317385,0.0265433403979071,0.7139357878037208,1.40199957887296,0.06516621137071377,0.0,0.9999999999999994,2.6470588235294104,0.1533929977694731,0,0.0,-0.008773525333952037,0.013713399812785854,-0.022048248880040297
MB fixed QAM,6.408923689874861,0.11327695892224643,0.06210463313161663,0.1076131109761341,0.045508477844517475,0.045508477844517475,3.538223971387477e-05,0.721955555640587,1.4141975446013517,0.06516621137071377,0.0,0.9999999999999978,11.299365973906344,0.3169208239559887,0,0.0,0.0016497786483542498,-0.0006886832022232614,0.002255972918159793
Learned PS fixed QAM,6.340866491336854,0.11162718027389218,0.06279331633383989,0.10604582126019757,0.04325250492635768,0.04325250492635768,0.0004669746460332254,0.7216670007739207,1.4139825613892723,0.06516621137071377,0.0,0.999999999999998,11.642143557164388,0.3175950236175592,33536,0.0,0.0,0.0,0.0
Learned GS uniform probabilities,8.0,0.10285366357607906,0.07648624569304796,0.0977109803972751,0.021224734704227144,0.021224734704227144,0.026495199799717806,0.7139490050227136,1.402022161785327,0.06516621137071377,0.0,0.9999999999999994,2.648127994752808,0.153027195917851,512,0.0,-0.008773516697813122,0.013692929359208073,-0.022027770222130538
Learned joint PS+GS,6.284305442996404,0.10949398379093456,0.06367224649088898,0.10401928460138782,0.040347038110498834,0.040347038110498834,0.0013131484262663454,0.7212704725064587,1.4135329852563738,0.06516621137071377,0.0,0.999999999999998,11.542504125824795,0.3141425748156674,34048,0.0,-0.002133196482957622,0.0008789301570490959,-0.002905466815858848
