3.283353862536859680e-01,1.029266869785100034e-17,-1.530395663580144500e-17,5.079556268713488293e-18,-2.129163794579783098e-04,-3.110421338075019349e-18,4.275652371581855920e-18,4.169886278286162392e-19,5.574233778435106061e-07,8.614239396717414490e-19,-3.656936681722274464e-19,-2.256458219328353318e-20,-1.486004295388128530e-08,-6.026589475513885081e-20,7.540117181955040257e-21,-4.806684490758377269e-20,-1.961736998962748108e-08,1.210317092068368981e-20,-1.210152559090265059e-20,2.724624704819370601e-22,-1.819649133861025558e-08,3.693302864530616479e-22,6.910206311575750879e-22,7.445010936980252768e-22,-1.080568357119467363e-08
1.029266869785100034e-17,2.221612239293218050e-01,-3.529256664574788845e-18,-2.779065719967910755e-18,2.399422612126954875e-18,-3.262431949093260787e-04,-7.820905207029847332e-18,2.914625075119365601e-18,2.865285762329185765e-19,1.185371054488616188e-06,1.103580121511047638e-18,5.377870189733476028e-19,-1.304310545667960860e-20,2.645349656155769905e-08,-6.617823449764821821e-20,5.284924578416936826e-20,-2.325125324417046021e-20,3.105544637268637624e-08,-2.015133717588042192e-21,-9.869696490089952224e-21,1.223497241490586568e-20,1.378787085329101927e-08,-3.190692500009892442e-21,9.202443758311303340e-22,3.591354021707832916e-23
-1.530395663580144500e-17,-3.529256664574788845e-18,1.497991766738363262e-01,-1.591601561866210445e-17,5.733231004223276184e-18,5.415807705079636725e-18,-3.859482043356863906e-04,-2.581866020493163166e-18,3.712796785352457153e-19,3.074503736963305663e-19,1.770067173215775115e-06,4.847869664991335779e-19,-5.446533895047027605e-19,-3.510141164943470096e-19,-5.695433142885088657e-08,-2.745291740311767461e-19,3.496959007464267383e-20,5.533734182845445866e-20,-1.787647640504676496e-08,4.812920049554901120e-20,-3.518622622943620182e-20,-1.469154762027640493e-20,2.845141452261489882e-09,-4.655036873971884461e-21,2.356165080817426757e-21
5.079556268713488293e-18,-2.779065719967910755e-18,-1.591601561866210445e-17,1.006451931764719282e-01,4.405598740954649029e-18,-1.253254430928043079e-17,6.389942312862598332e-19,-4.012231655213196091e-04,1.995926191417502256e-19,-6.816414517915592026e-19,-1.845163657210979037e-20,2.448135915119104540e-06,9.128707583708642217e-19,-2.189319976516124820e-19,-2.956962804369267169e-19,9.911723074532709460e-09,-1.608203314231824385e-19,5.969240060556085359e-20,-5.850568174672680569e-20,-5.243842716771203543e-09,4.388046861748433433e-20,8.602318295820779659e-21,1.333974872055081829e-20,-5.886079295771762271e-09,-7.131364073722217341e-21
-2.129163794579783098e-04,2.399422612126954875e-18,5.733231004223276184e-18,4.405598740954649029e-18,6.737037816070551299e-02,1.421331948117173620e-17,4.835010768059833966e-18,-1.226898670639071672e-18,-3.849307270267911078e-04,-3.270005688981624596e-18,7.726127732856288892e-20,-5.924657978316595169e-19,2.798426466276225323e-06,7.157554373150169021e-19,3.742515577171225708e-19,-1.980513550883412651e-19,-2.258913962826946932e-08,-1.251997378602792747e-19,6.790011517555646564e-20,-3.730240017713595176e-20,9.273412843089001739e-09,-6.266844048012695244e-21,-1.373242892316427218e-20,1.040167905700989769e-22,-2.148579075313658775e-09
-3.110421338075019349e-18,-3.262431949093260787e-04,5.415807705079636725e-18,-1.253254430928043079e-17,1.421331948117173620e-17,4.492481992290130871e-02,-7.422308130376422431e-18,4.289898113631175586e-18,-6.968368552891457958e-20,-3.488620078504192298e-04,2.371825806464773981e-19,-2.718649678160560796e-19,-4.882771143663804572e-19,3.155250904043566171e-06,1.763215874419640788e-19,3.197667231500886523e-19,-2.789723471722652190e-20,-4.765609171175871435e-08,-1.250536190946141526e-19,6.023551009272147629e-20,-4.187677509752489265e-20,2.981326733536294513e-09,9.319431393692419465e-22,2.961181422024725487e-21,-1.722121436306629962e-20
4.275652371581855920e-18,-7.820905207029847332e-18,-3.859482043356863906e-04,6.389942312862598332e-19,4.835010768059833966e-18,-7.422308130376422431e-18,2.983933809878557344e-02,3.309550628016264490e-18,-1.176279213517913497e-18,6.140096857221461000e-19,-3.032928587100788289e-04,8.982946716178990841e-19,1.599016053625703932e-19,-5.448887977117987842e-19,3.297446178931571053e-06,-2.350041441840244818e-19,1.141731283579434898e-19,-1.047301693196039162e-20,-3.978795782568084959e-08,-1.375234288412068043e-19,3.474581491621732083e-20,-2.281691662260287557e-20,-3.303510159187215421e-09,1.979837611679545489e-20,2.615737384366949936e-21
4.169886278286162392e-19,2.914625075119365601e-18,-2.581866020493163166e-18,-4.012231655213196091e-04,-1.226898670639071672e-18,4.289898113631175586e-18,3.309550628016264490e-18,1.973913004436412752e-02,-4.721745642606376566e-20,8.586255982051149525e-19,-3.153436061942299538e-19,-2.549150792530909958e-04,-6.960483776240403273e-19,9.305441699127475558e-19,-6.059039749767916320e-20,3.256198669804491131e-06,1.377900836938445433e-19,-2.411083514199783340e-19,-6.383553557220803108e-20,-3.869218634321569853e-08,-6.305808129275392750e-20,3.215281094860644756e-20,-2.980151268275218629e-21,-1.571302811224477579e-09,-2.371365724481796971e-21
5.574233778435106061e-07,2.865285762329185765e-19,3.712796785352457153e-19,1.995926191417502256e-19,-3.849307270267911078e-04,-6.968368552891457958e-20,-1.176279213517913497e-18,-4.721745642606376566e-20,1.300279621963454195e-02,-1.008870517560001222e-18,3.750496890884213027e-19,1.056734256568665035e-18,-2.084801484244686888e-04,-2.740483815409814833e-19,-1.112773285735572027e-19,-3.471785148784402069e-19,3.122231016161376088e-06,2.160188843887252050e-19,3.338637495853425007e-21,-5.768457554694857072e-20,-4.856063229055039534e-08,1.427746382224049985e-20,-7.320972392116933532e-20,1.242854344656440897e-21,1.866054518234577842e-09
8.614239396717414490e-19,1.185371054488616188e-06,3.074503736963305663e-19,-6.816414517915592026e-19,-3.270005688981624596e-18,-3.488620078504192298e-04,6.140096857221461000e-19,8.586255982051149525e-19,-1.008870517560001222e-18,8.528364348603925324e-03,2.715557494423329219e-19,-2.549372298698181012e-19,4.816559722324684308e-19,-1.666543718356328888e-04,1.109112517694440340e-18,-5.182516606084243640e-19,-2.788482153176582244e-20,2.907305955714317068e-06,5.531298107804780863e-20,2.771559623442537304e-20,-1.935183486962680593e-20,-5.490498586736578074e-08,1.968792715240827099e-20,-1.812327250021644612e-20,4.639909198118974030e-22
