Model,runs,I_AB_mean,I_AB_std,I_AB_ci95_low,I_AB_ci95_high,Delta_I_AB_vs_PS_mean,Delta_I_AB_vs_PS_std,Delta_I_AB_vs_PS_ci95_low,Delta_I_AB_vs_PS_ci95_high,chi_BE_mean,chi_BE_std,chi_BE_ci95_low,chi_BE_ci95_high,Delta_chi_BE_vs_PS_mean,Delta_chi_BE_vs_PS_std,Delta_chi_BE_vs_PS_ci95_low,Delta_chi_BE_vs_PS_ci95_high,raw_K_mean,raw_K_std,raw_K_ci95_low,raw_K_ci95_high,Delta_raw_K_vs_PS_mean,Delta_raw_K_vs_PS_std,Delta_raw_K_vs_PS_ci95_low,Delta_raw_K_vs_PS_ci95_high
Uniform fixed QAM,5,0.09241904561786393,0.0039631839398991025,0.0889451617286596,0.09589292950706826,4.4865635583446474e-05,5.388492954460134e-05,-2.3665876629635566e-06,9.209785882985651e-05,0.0767688118489185,0.0032426848460796473,0.07392647326070502,0.07961115043713198,0.014439731206414638,0.0005953041433112348,0.013917924117976009,0.014961538294853267,0.011029281488052236,0.0005261554931465803,0.01056808586388325,0.011490477112221223,-0.014397108852610363,0.0006029732984685097,-0.014925638251935562,-0.013868579453285164
MB fixed QAM,5,0.09237417998227973,0.003969523374882791,0.08889473933331091,0.09585362063124855,-7.549516567451064e-16,6.47960436968506e-17,-8.117478932297547e-16,-6.981554202604581e-16,0.062329080642498716,0.0026474162993511256,0.06000851794094342,0.06464964334405401,-5.1486592766991635e-15,2.1650016171246698e-16,-5.3384300355608425e-15,-4.9588885178374844e-15,0.025426390340667036,0.0011252386325779696,0.024440075191912564,0.02641270548942151,4.4381165409390634e-15,2.336847018246698e-16,4.233282868535025e-15,4.642950213343102e-15
Learned PS fixed QAM,5,0.09237417998228048,0.003969523374882779,0.08889473933331167,0.09585362063124929,0.0,0.0,0.0,0.0,0.062329080642503844,0.0026474162993513385,0.06000851794094836,0.06464964334405933,0.0,0.0,0.0,0.0,0.025426390340662595,0.001125238632577746,0.024440075191908318,0.026412705489416873,0.0,0.0,0.0,0.0
Learned GS uniform probabilities,5,0.09241925415054006,0.0039632081771948085,0.08894534901640934,0.09589315928467078,4.5074168259573445e-05,5.389457563776562e-05,-2.166510160289372e-06,9.231484667943626e-05,0.07571237313839312,0.0031997926982955996,0.07290763117537291,0.07851711510141332,0.013383292495889274,0.0005524069768833511,0.012899086431679193,0.013867498560099355,0.012085918304619915,0.0005686744301815318,0.011587453188902785,0.012584383420337046,-0.013340472036042685,0.0005602376386888302,-0.013831541977958264,-0.012849402094127107
Learned joint PS+GS,5,0.092374160703888,0.0039694929612477175,0.08889474671364572,0.09585357469413028,-1.9278392493493612e-08,3.4330253774904977e-08,-4.937018669469208e-08,1.0813401707704853e-08,0.06229337926213285,0.0026459025670353743,0.059974143405453796,0.06461261511881192,-3.570138037099768e-05,1.513818339251926e-06,-3.7028300650161713e-05,-3.437446009183365e-05,0.02546207340656073,0.0011267204002921416,0.024474459431138643,0.02644968738198282,3.5683065898133023e-05,1.485165473047817e-06,3.438126096354937e-05,3.698487083271668e-05
