initialization,raw_skr,i_ab,chi_be,peak_energy,minimum_pairwise_distance,weighted_mean_abs,weighted_mean_energy,maximum_symbol_energy,maximum_pairwise_distance,probability_entropy,minimum_probability,maximum_probability,checkpoint,selected
ps,0.029644591895697767,0.10612478902231273,0.07117395767549932,11.299365973906337,0.31692082395599147,1.3877787807814457e-17,0.9999999999999974,11.299365973906337,6.72290591155531,6.408923689874862,4.142913770202081e-07,0.030297311449261916,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\checkpoints\joint_epoch0_ps.pt,True
gs,0.014032605068389915,0.105708645429546,0.08639060808967877,2.7032463045988204,0.13468848130451705,6.938893903907228e-18,0.9999999999999998,2.7032463045988204,3.288310389606686,8.0,0.00390625,0.00390625,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\checkpoints\joint_epoch0_gs.pt,False
combined,0.029411009427464253,0.10612463476951144,0.07140739360357161,12.009465899999642,0.2838896070610018,3.469446951953614e-17,0.9999999999999974,12.009465899999642,6.930935261564528,6.408923689874862,4.142913770202081e-07,0.030297311449261916,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\checkpoints\joint_epoch0_combined.pt,False
ps_preserving,0.029644591895697767,0.10612478902231273,0.07117395767549932,11.299365973906337,0.31692082395599147,1.3877787807814457e-17,0.9999999999999974,11.299365973906337,6.72290591155531,6.408923689874862,4.142913770202081e-07,0.030297311449261916,E:\py learn\adversarial_attack_DRL\2024_dvcvqkd\experiments\joint_seed2026\checkpoints\joint_epoch0_ps_preserving.pt,False
