H_km,T,s2I,Asci_dB,GM
160.0,1.0,3.5778335849556697e-10,0.00031960665763198994,0.7325399172731601
180.0,0.8427967578367861,3.5778335849556697e-10,0.00031960665763198994,0.40420614973607716
200.0,0.6826653738477967,3.5778335849556697e-10,0.00031960665763198994,0.24896784694206975
220.0,0.5641862593783443,3.5778335849556697e-10,0.00031960665763198994,0.170875503474538
240.0,0.474073176283192,3.5778335849556697e-10,0.00031960665763198994,0.12441649845136638
260.0,0.40394400819396253,3.5778335849556697e-10,0.00031960665763198994,0.09424958880754508
280.0,0.3482986601264268,3.5778335849556697e-10,0.00031960665763198994,0.07351876097485838
300.0,0.303406832821243,3.5778335849556697e-10,0.00031960665763198994,0.05867949562393643
320.0,0.2666661616592956,3.5778335849556697e-10,0.00031960665763198994,0.04772013715781209
340.0,0.23621639233487773,3.5778335849556697e-10,0.00031960665763198994,0.03942102903965461
360.0,0.2106991894591965,3.5778335849556697e-10,0.00031960665763198994,0.03300498756673498
380.0,0.18910398167528988,3.5778335849556697e-10,0.00031960665763198994,0.0279570396535474
400.0,0.17066634346194917,3.5778335849556697e-10,0.00031960665763198994,0.023924963867801297
420.0,0.15479940450063417,3.5778335849556697e-10,0.00031960665763198994,0.020661416650949005
440.0,0.14104656484458614,3.5778335849556697e-10,0.00031960665763198994,0.017988772163821637
460.0,0.12904827482945117,3.5778335849556697e-10,0.00031960665763198994,0.015776983550472107
480.0,0.11851829407079803,3.5778335849556697e-10,0.00031960665763198994,0.013929215711486753
500.0,0.10922645981564746,3.5778335849556697e-10,0.00031960665763198994,0.012372276842363694
520.0,0.10098600204849065,3.5778335849556697e-10,0.00031960665763198994,0.011050100881018737
540.0,0.09364408420408729,3.5778335849556697e-10,0.00031960665763198994,0.009919219420388897
560.0,0.08707466503160674,3.5778335849556697e-10,0.00031960665763198994,0.008945560112893047
580.0,0.08117305277619459,3.5778335849556697e-10,0.00031960665763198994,0.008102147129857462
600.0,0.07585170820531074,3.5778335849556697e-10,0.00031960665763198994,0.007367425944870734
620.0,0.07103697958874054,3.5778335849556697e-10,0.00031960665763198994,0.006724027124828474
640.0,0.0666665404148239,3.5778335849556697e-10,0.00031960665763198994,0.0061578432872501365
660.0,0.06268736215314934,3.5778335849556697e-10,0.00031960665763198994,0.005657332400546722
680.0,0.05905409808371945,3.5778335849556697e-10,0.00031960665763198994,0.0052129866522833135
700.0,0.0557277856202283,3.5778335849556697e-10,0.00031960665763198994,0.0048169237761194195
720.0,0.05267479736479911,3.5778335849556697e-10,0.00031960665763198994,0.004462569885129664
740.0,0.04986598786324301,3.5778335849556697e-10,0.00031960665763198994,0.004144411335853845
760.0,0.047275995418822506,3.5778335849556697e-10,0.00031960665763198994,0.003857799131800649
780.0,0.044882667577106954,3.5778335849556697e-10,0.00031960665763198994,0.0035987936480507132
800.0,0.0426665858654873,3.5778335849556697e-10,0.00031960665763198994,0.0033640405415631125
820.0,0.0406106706631646,3.5778335849556697e-10,0.00031960665763198994,0.0031506709588825232
840.0,0.03869985112515855,3.5778335849556697e-10,0.00031960665763198994,0.0029562208057139355
860.0,0.03692078820161151,3.5778335849556697e-10,0.00031960665763198994,0.002778565068361119
880.0,0.03526164121114651,3.5778335849556697e-10,0.00031960665763198994,0.0026158640947472334
900.0,0.03371187031347144,3.5778335849556697e-10,0.00031960665763198994,0.0024665194334819035
920.0,0.0322620687073628,3.5778335849556697e-10,0.00031960665763198994,0.0023291373544890026
940.0,0.03090381954947018,3.5778335849556697e-10,0.00031960665763198994,0.0022024985758891807
960.0,0.029629573517699508,3.5778335849556697e-10,0.00031960665763198994,0.0020855330304715425
980.0,0.02843254368378996,3.5778335849556697e-10,0.00031960665763198994,0.0019772987443708034
1000.0,0.027306614953911866,3.5778335849556697e-10,0.00031960665763198994,0.0018769640864656698
1020.0,0.02624626581498642,3.5778335849556697e-10,0.00031960665763198994,0.0017837927931566924
1040.0,0.02524650051212267,3.5778335849556697e-10,0.00031960665763198994,0.0016971312877098674
1060.0,0.024302790097821162,3.5778335849556697e-10,0.00031960665763198994,0.0016163979048290367
1080.0,0.02341102105102184,3.5778335849556697e-10,0.00031960665763198994,0.0015410737025685559
1100.0,0.022567450375133774,3.5778335849556697e-10,0.00031960665763198994,0.0014706946025792103
1120.0,0.02176866625790168,3.5778335849556697e-10,0.00031960665763198994,0.0014048446452006313
1140.0,0.02101155351947666,3.5778335849556697e-10,0.00031960665763198994,0.0013431501839206092
