H_km,T,s2I,Asci_dB,SKR
160.0,1.0,3.5778335849556697e-10,0.00031960665763198994,0.08199374393632652
180.0,0.8427967578367861,3.5778335849556697e-10,0.00031960665763198994,0.05625236853702917
200.0,0.6826653738477967,3.5778335849556697e-10,0.00031960665763198994,0.03798300998980557
220.0,0.5641862593783443,3.5778335849556697e-10,0.00031960665763198994,0.027269897729028908
240.0,0.474073176283192,3.5778335849556697e-10,0.00031960665763198994,0.020334652404411444
260.0,0.40394400819396253,3.5778335849556697e-10,0.00031960665763198994,0.015575537305936846
280.0,0.3482986601264268,3.5778335849556697e-10,0.00031960665763198994,0.01217419665524988
300.0,0.303406832821243,3.5778335849556697e-10,0.00031960665763198994,0.00966741257211913
320.0,0.2666661616592956,3.5778335849556697e-10,0.00031960665763198994,0.007774411069816474
340.0,0.23621639233487773,3.5778335849556697e-10,0.00031960665763198994,0.006316204443324078
360.0,0.2106991894591965,3.5778335849556697e-10,0.00031960665763198994,0.005174113616724159
380.0,0.18910398167528988,3.5778335849556697e-10,0.00031960665763198994,0.004266898022379787
400.0,0.17066634346194917,3.5778335849556697e-10,0.00031960665763198994,0.003537449056895632
420.0,0.15479940450063417,3.5778335849556697e-10,0.00031960665763198994,0.0029447062577124747
440.0,0.14104656484458614,3.5778335849556697e-10,0.00031960665763198994,0.0024585676336999762
460.0,0.12904827482945117,3.5778335849556697e-10,0.00031960665763198994,0.0020565867791904405
480.0,0.11851829407079803,3.5778335849556697e-10,0.00031960665763198994,0.001721773002700825
500.0,0.10922645981564746,3.5778335849556697e-10,0.00031960665763198994,0.0014410924820525035
520.0,0.10098600204849065,3.5778335849556697e-10,0.00031960665763198994,0.0012044264088580461
540.0,0.09364408420408729,3.5778335849556697e-10,0.00031960665763198994,0.0010038337750490761
560.0,0.08707466503160674,3.5778335849556697e-10,0.00031960665763198994,0.0008330213234698132
580.0,0.08117305277619459,3.5778335849556697e-10,0.00031960665763198994,0.0006869569113965683
600.0,0.07585170820531074,3.5778335849556697e-10,0.00031960665763198994,0.0005615837665814867
620.0,0.07103697958874054,3.5778335849556697e-10,0.00031960665763198994,0.00045360676846657906
640.0,0.0666665404148239,3.5778335849556697e-10,0.00031960665763198994,0.0003603308382972587
660.0,0.06268736215314934,3.5778335849556697e-10,0.00031960665763198994,0.00027953749371902384
680.0,0.05905409808371945,3.5778335849556697e-10,0.00031960665763198994,0.00020938967219962142
700.0,0.0557277856202283,3.5778335849556697e-10,0.00031960665763198994,0.00014835771294446562
720.0,0.05267479736479911,3.5778335849556697e-10,0.00031960665763198994,9.516132929703047e-05
740.0,0.04986598786324301,3.5778335849556697e-10,0.00031960665763198994,4.872377509844948e-05
760.0,0.047275995418822506,3.5778335849556697e-10,0.00031960665763198994,8.13538825107478e-06
780.0,0.044882667577106954,3.5778335849556697e-10,0.00031960665763198994,-2.7375597852473746e-05
800.0,0.0426665858654873,3.5778335849556697e-10,0.00031960665763198994,-5.846656825656861e-05
820.0,0.0406106706631646,3.5778335849556697e-10,0.00031960665763198994,-8.569957903003557e-05
840.0,0.03869985112515855,3.5778335849556697e-10,0.00031960665763198994,-0.00010955687948431547
860.0,0.03692078820161151,3.5778335849556697e-10,0.00031960665763198994,-0.00013045362354212244
880.0,0.03526164121114651,3.5778335849556697e-10,0.00031960665763198994,-0.0001487483301166933
900.0,0.03371187031347144,3.5778335849556697e-10,0.00031960665763198994,-0.00016475153100936005
920.0,0.0322620687073628,3.5778335849556697e-10,0.00031960665763198994,-0.0001787329516793959
940.0,0.03090381954947018,3.5778335849556697e-10,0.00031960665763198994,-0.00019092749871359345
960.0,0.029629573517699508,3.5778335849556697e-10,0.00031960665763198994,-0.00020154027201824826
980.0,0.02843254368378996,3.5778335849556697e-10,0.00031960665763198994,-0.00021075077648873963
1000.0,0.027306614953911866,3.5778335849556697e-10,0.00031960665763198994,-0.00021871647368437632
1020.0,0.02624626581498642,3.5778335849556697e-10,0.00031960665763198994,-0.00022557578725458573
1040.0,0.02524650051212267,3.5778335849556697e-10,0.00031960665763198994,-0.0002314506544119103
1060.0,0.024302790097821162,3.5778335849556697e-10,0.00031960665763198994,-0.00023644869886714753
1080.0,0.02341102105102184,3.5778335849556697e-10,0.00031960665763198994,-0.00024066508688188291
1100.0,0.022567450375133774,3.5778335849556697e-10,0.00031960665763198994,-0.0002441841172247912
1120.0,0.02176866625790168,3.5778335849556697e-10,0.00031960665763198994,-0.00024708058692632807
1140.0,0.02101155351947666,3.5778335849556697e-10,0.00031960665763198994,-0.00024942096753629347
1160.0,0.02029326319404864,3.5778335849556697e-10,0.00031960665763198994,-0.0002512644207556857
1180.0,0.019611185689393747,3.5778335849556697e-10,0.00031960665763198994,-0.0002526636774797218
1200.0,0.01896292705132769,3.5778335849556697e-10,0.00031960665763198994,-0.00025366580045879184
1220.0,0.01834628792926086,3.5778335849556697e-10,0.00031960665763198994,-0.00025431284738657587
1240.0,0.017759244897185132,3.5778335849556697e-10,0.00031960665763198994,-0.0002546424487870347
1260.0,0.017199933833403794,3.5778335849556697e-10,0.00031960665763198994,-0.0002546883125364224
1280.0,0.016666635103705977,3.5778335849556697e-10,0.00031960665763198994,-0.00025448066539135753
1300.0,0.016157760327758498,3.5778335849556697e-10,0.00031960665763198994,-0.0002540466399802233
1320.0,0.015671840538287348,3.5778335849556697e-10,0.00031960665763198994,-0.00025341061476406466
1340.0,0.015207515568006157,3.5778335849556697e-10,0.00031960665763198994,-0.0002525945130941237
1360.0,0.014763524520929857,3.5778335849556697e-10,0.00031960665763198994,-0.00025161806684061453
1380.0,0.014338697203272355,3.5778335849556697e-10,0.00031960665763198994,-0.0002504990491324806
1400.0,0.013931946405057072,3.5778335849556697e-10,0.00031960665763198994,-0.0002492534801799536
1420.0,0.013542260937270323,3.5778335849556697e-10,0.00031960665763198994,-0.00024789580953836314
1440.0,0.013168699341199788,3.5778335849556697e-10,0.00031960665763198994,-0.0002464390778291049
1460.0,0.012810384196806097,3.5778335849556697e-10,0.00031960665763198994,-0.0002448950603663553
1480.0,0.01246649696581075,3.5778335849556697e-10,0.00031960665763198994,-0.00024327439491522067
1500.0,0.01213627331284972,3.5778335849556697e-10,0.00031960665763198994,-0.00024158669554800397
1520.0,0.011818998854705623,3.5778335849556697e-10,0.00031960665763198994,-0.00023984065414044868
1540.0,0.011514005293435598,3.5778335849556697e-10,0.00031960665763198994,-0.00023804413105802313
1560.0,0.011220666894276737,3.5778335849556697e-10,0.00031960665763198994,-0.0002362042362517667
1580.0,0.010938397273638786,3.5778335849556697e-10,0.00031960665763198994,-0.00023432740182214402
1600.0,0.010666646466371816,3.5778335849556697e-10,0.00031960665763198994,-0.00023241944710469592
1620.0,0.01040489824489859,3.5778335849556697e-10,0.00031960665763198994,-0.00023048563705571103
1640.0,0.010152667665791149,3.5778335849556697e-10,0.00031960665763198994,-0.00022853073468462348
1660.0,0.00990949882200315,3.5778335849556697e-10,0.00031960665763198994,-0.0002265590482392729
1680.0,0.009674962781289636,3.5778335849556697e-10,0.00031960665763198994,-0.00022457447363926405
1700.0,0.00944865569339511,3.5778335849556697e-10,0.00031960665763198994,-0.00022258053274760688
1720.0,0.009230197050402875,3.5778335849556697e-10,0.00031960665763198994,-0.00022058040785132775
1740.0,0.009019228086243855,3.5778335849556697e-10,0.00031960665763198994,-0.00021857697282611486
1760.0,0.008815410302786627,3.5778335849556697e-10,0.00031960665763198994,-0.00021657282126222722
1780.0,0.00861842411119551,3.5778335849556697e-10,0.00031960665763198994,-0.00021457029191502674
1800.0,0.008427967578367853,3.5778335849556697e-10,0.00031960665763198994,-0.00021257149174398683
1820.0,0.008243755269264538,3.5778335849556697e-10,0.00031960665763198994,-0.00021057831675579662
1840.0,0.008065517176840693,3.5778335849556697e-10,0.00031960665763198994,-0.00020859247093471425
1860.0,0.007892997732082284,3.5778335849556697e-10,0.00031960665763198994,-0.00020661548338993772
1880.0,0.007725954887367543,3.5778335849556697e-10,0.00031960665763198994,-0.00020464872392303912
1900.0,0.007564159267011601,3.5778335849556697e-10,0.00031960665763198994,-0.00020269341718256247
1920.0,0.007407393379424874,3.5778335849556697e-10,0.00031960665763198994,-0.00020075065552316545
1940.0,0.007255450885830546,3.5778335849556697e-10,0.00031960665763198994,-0.00019882141070287455
1960.0,0.007108135920947485,3.5778335849556697e-10,0.00031960665763198994,-0.00019690654453267
1980.0,0.00696526246146104,3.5778335849556697e-10,0.00031960665763198994,-0.00019500681858482575
2000.0,0.006826653738477972,3.5778335849556697e-10,0.00031960665763198994,-0.00019312290300266635
2020.0,0.0066921416904989345,3.5778335849556697e-10,0.00031960665763198994,-0.00019125538459524084
2040.0,0.006561566453746603,3.5778335849556697e-10,0.00031960665763198994,-0.00018940477415084044
2060.0,0.00643477588696198,3.5778335849556697e-10,0.00031960665763198994,-0.00018757151317883415
2080.0,0.0063116251280306655,3.5778335849556697e-10,0.00031960665763198994,-0.00018575598001594677
2100.0,0.006191976180025365,3.5778335849556697e-10,0.00031960665763198994,-0.00018395849542159753
2120.0,0.006075697524455292,3.5778335849556697e-10,0.00031960665763198994,-0.00018217932771820303
2140.0,0.005962663759697763,3.5778335849556697e-10,0.00031960665763198994,-0.00018041869741628825
2160.0,0.005852755262755458,3.5778335849556697e-10,0.00031960665763198994,-0.00017867678155517454
2180.0,0.005745857872635272,3.5778335849556697e-10,0.00031960665763198994,-0.0001769537175644292
2200.0,0.005641862593783439,3.5778335849556697e-10,0.00031960665763198994,-0.00017524960688024152
2220.0,0.0055406653181381115,3.5778335849556697e-10,0.00031960665763198994,-0.00017356451819670513
2240.0,0.005442166564475416,3.5778335849556697e-10,0.00031960665763198994,-0.00017189849049225247
2260.0,0.005346271233830343,3.5778335849556697e-10,0.00031960665763198994,-0.00017025153577558856
2280.0,0.0052528883798691655,3.5778335849556697e-10,0.00031960665763198994,-0.00016862364159512394
2300.0,0.005161930993178047,3.5778335849556697e-10,0.00031960665763198994,-0.000167014773355756
