L_m,L_km,T_eff,SKR_GM,SKR_2PSK,SKR_4PSK,SKR_8PSK,SKR_16QAM,SKR_64QAM,SKR_256QAM
10000.0,10.0,0.34694875466720376,0.1014330524553122,0.0,0.02788153182059662,0.03237071699197705,0.0,0.0,0.0
10254.237288135593,10.254237288135593,0.3368366245422131,0.09697216032061196,0.0,0.026748311490587928,0.0311241026622769,0.0,0.0,0.0
10508.474576271186,10.508474576271187,0.32692904306697734,0.09265517689297864,0.0,0.02565249820906687,0.02991688255052183,0.0,0.0,0.0
10762.71186440678,10.76271186440678,0.3160313658522908,0.0879676244874667,0.0,0.024463757896842034,0.028605223536011512,0.0,0.0,0.0
11016.949152542373,11.016949152542372,0.3071009341012939,0.08417343391502613,0.0,0.023502589885306138,0.02754300808756638,0.0,0.0,0.0
11271.186440677966,11.271186440677965,0.296932597074331,0.07990468714841636,0.0,0.02242247577674672,0.026347464977182378,0.0,0.0,0.0
11525.42372881356,11.525423728813559,0.28798620698897043,0.07619391335868941,0.0,0.02148479721403619,0.025307876164502474,0.0,0.0,0.0
11779.661016949152,11.779661016949152,0.2795408040441039,0.07272939190407518,0.0,0.020610538917283122,0.024337091538094803,0.0,0.0,0.0
12033.898305084746,12.033898305084746,0.26956339827306636,0.06868432341703601,0.0,0.019591431859792965,0.023203517571775273,0.0,0.0,0.0
12288.135593220339,12.288135593220339,0.26147875978574403,0.06544456381098518,0.0,0.01877665166535856,0.02229562175916646,0.0,0.0,0.0
12542.372881355932,12.542372881355933,0.25354300140047886,0.06229740336456019,0.0,0.017986528687747888,0.02141376171423691,0.0,0.0,0.0
12796.610169491525,12.796610169491526,0.24503861823038278,0.05896088837229663,0.0,0.017150500140620847,0.0204790315455683,0.0,0.0,0.0
13050.847457627118,13.050847457627118,0.23566411865716272,0.055326274039775414,0.0,0.01624190765371117,0.01946114088005279,0.0,0.0,0.0
13305.084745762711,13.305084745762711,0.22731107411224288,0.05212589050423963,0.0,0.01544391582779392,0.018565292348955875,0.0,0.0,0.0
13559.322033898305,13.559322033898304,0.2198052669374949,0.049280820167212414,0.0,0.014736307479246487,0.017769353756141,0.0,0.0,0.0
13813.559322033898,13.813559322033898,0.21242758504420586,0.046512652510532465,0.0,0.014049604579708781,0.016995439435629298,0.0,0.0,0.0
14067.796610169491,14.067796610169491,0.20532761226884563,0.04387523783551578,0.0,0.013397125448658918,0.016258647742065924,0.0,0.0,0.0
14322.033898305086,14.322033898305087,0.19847329500502126,0.04135382338961083,0.0,0.01277512686062919,0.015554877420046014,0.0,0.0,0.0
14576.271186440677,14.576271186440678,0.1902096500566541,0.03834637156440879,0.0,0.012035732143385415,0.014716378315783034,0.0,0.0,0.0
14830.508474576272,14.830508474576272,0.183483314653835,0.035924622462145506,0.0,0.01144250661636767,0.014042042098693294,0.0,0.0,0.0
15084.745762711864,15.084745762711863,0.17713909033118985,0.033662082097308005,0.0,0.010890199367560242,0.013412847081960229,0.0,0.0,0.0
15338.983050847459,15.338983050847459,0.17049136637010645,0.03131391869706718,0.0,0.010319127528939986,0.012760787154850954,0.0,0.0,0.0
15593.22033898305,15.59322033898305,0.16452326284824398,0.029225610127510432,0.0,0.009813241336602142,0.012181805414868963,0.0,0.0,0.0
15847.457627118645,15.847457627118645,0.15801390542104754,0.026969361223378036,0.0,0.00926896657219161,0.01155736587611441,0.0,0.0,0.0
16101.694915254237,16.101694915254235,0.15200877997381973,0.024907834679731317,0.0,0.008773933125255845,0.010987948525093334,0.0,0.0,0.0
16355.932203389832,16.35593220338983,0.1466096857053464,0.023070786795087922,0.0,0.008334788655848129,0.010481556930088141,0.0,0.0,0.0
16610.169491525423,16.610169491525422,0.14096548390920952,0.021167068967590685,0.0,0.007881848373713009,0.009957922801996658,0.0,0.0,0.0
16864.406779661018,16.864406779661017,0.1353476044025673,0.019289312451609086,0.0,0.0074374015239559235,0.009442691318059006,0.0,0.0,0.0
