pass,nu,I_AB,chi_BE,beta_I_AB,K_raw_mean,K_raw_median,K_raw_p05,outage_probability,entropy,finite,points,ncut,awgn_samples
coarse,0.7,0.018486356541000455,0.014472439416480187,0.017562038713950436,0.003089599297470247,0.00014795528826805349,-5.0073752209034445e-06,0.1875,3.6088212521944905,True,48,64,32
coarse,0.71,0.018488343694372845,0.014519003432548763,0.0175639265096542,0.0030449230771054394,0.00014507058836658036,-6.267983685093182e-06,0.1875,3.588368598845384,True,48,64,32
coarse,0.72,0.01849028965581171,0.014567089467836764,0.017565775173021124,0.002998685705184361,0.0001420592733706205,-6.75763157719778e-06,0.22916666666666666,3.5682040339366137,True,48,64,32
coarse,0.73,0.018492194791837842,0.014616691556354366,0.017567585052245954,0.0029508934958915847,0.0001348924490369829,-7.2607088894860505e-06,0.25,3.5483198916460226,True,48,64,32
coarse,0.74,0.018494059506815992,0.014667802091472743,0.01756935653147519,0.0029015544400024496,0.00012006146423630952,-7.777179131825963e-06,0.25,3.528708846624087,True,48,64,32
coarse,0.75,0.018495884233666195,0.014720411871843553,0.017571090021982885,0.0028506781501393325,8.933527978892685e-05,-8.652452804511811e-06,0.2708333333333333,3.5093638970364553,True,48,64,32
coarse,0.76,0.018497669433531788,0.014774510157095883,0.017572785961855193,0.0027982758047593154,7.394634677266871e-05,-1.133948253148941e-05,0.2708333333333333,3.490278348680537,True,48,64,32
coarse,0.77,0.01849941559266713,0.01483008473364974,0.01757444481303377,0.0027443600793840305,5.166596173886704e-05,-1.449296407076583e-05,0.2916666666666667,3.4714458000725337,True,48,64,32
coarse,0.78,0.018501123219524424,0.014887121990623309,0.017576067058548202,0.0026889450679248943,5.049382750715867e-05,-5.6876240038302056e-05,0.3333333333333333,3.452860128424839,True,48,64,32
coarse,0.79,0.018502792842006344,0.014945607005523776,0.017577653199906024,0.00263204619438225,3.0036570447178313e-05,-7.04418073829238e-05,0.3541666666666667,3.434515476438497,True,48,64,32
coarse,0.8,0.018504425004920805,0.015005523639054533,0.017579203754674762,0.00257368011562023,2.8167910982324057e-05,-7.71590132369726e-05,0.375,3.4164062398427255,True,48,64,32
full-cutoff-finalist,0.34,0.01941866304765368,0.015047739516341047,0.018447729895270992,0.0033999903789299468,0.0001735370174119398,3.7583786183570346e-06,0.0,4.650584517896503,True,24,150,64
full-cutoff-finalist,0.35,0.01941414439756391,0.015051172899423398,0.018443437177685713,0.0033922642782623167,0.00017278645520619752,3.68949752172831e-06,0.0,4.6087643427564595,True,24,150,64
full-cutoff-finalist,0.33,0.01942291812231019,0.015044873714705318,0.018451772216194685,0.0034068985014893624,0.00017421265412842485,3.825060373670029e-06,0.0,4.693653238773344,True,24,150,64
full-cutoff-finalist,0.36,0.019409375624643066,0.015055237236008656,0.01843890684341091,0.0033836696074022563,0.0001719499779619715,3.444132707173239e-06,0.0,4.5681223586130075,True,24,150,64
full-cutoff-finalist,0.32,0.0194268971070111,0.015042513044590625,0.018455552251660547,0.003413039207069921,0.00017482463519420395,3.889731105159996e-06,0.0,4.7380473561634675,True,24,150,64
