T,epsilon,SNR_dB,scheme,baseline,mean_delta_K,std_delta_K,ci95_low,ci95_high,P_delta_gt_0,mean_delta_I_AB,mean_delta_chi_BE,mean_delta_outage,gain_source,repetitions
0.1,0.03,-6.9962095796561385,PS+GS,MB-global-opt,0.004762034401138833,0.005749498348921048,-0.009520511270885205,0.01904458007316287,0.6666666666666666,0.005752485683225099,0.0007028269979250101,0.0,Mixed/none,3
0.1,0.03,-6.9962095796561385,PS,MB-global-opt,0.004603634690708208,0.005748478576250198,-0.00967637772556679,0.018883647106983207,0.6666666666666666,0.005752048564079774,0.0008608114451675863,0.0,Mixed/none,3
0.06812920690579609,0.015,-8.658585253667717,PS+GS,MB-global-opt,0.0015881909330737742,0.004114231708488006,-0.00863212720873362,0.011808509074881169,0.6666666666666666,0.0020899855268433263,0.0003972953174273819,0.0,Mixed/none,3
0.06812920690579609,0.015,-8.658585253667717,PS,MB-global-opt,0.0014981194376029923,0.00411319347198246,-0.008719619581747289,0.011715858456953275,0.6666666666666666,0.0020898891293811652,0.00048727523530911476,0.0,Mixed/none,3
0.03162277660168379,0.0,-11.989700043360187,PS+GS,MB-global-opt,0.001318955025421592,0.001982779967660616,-0.003606543466286205,0.006244453517129389,0.6666666666666666,0.0013994771140103761,1.0548232888263342e-05,0.0,Mixed/none,3
0.03162277660168379,0.0,-11.989700043360187,PS,MB-global-opt,0.0013144863216194406,0.00198254776155468,-0.0036104353381437096,0.00623940798138259,0.6666666666666666,0.001399567164347341,1.5102484510531866e-05,0.0,Mixed/none,3
0.046415888336127774,0.025,-10.3255524165146,PS+GS,MB-global-opt,0.0012650667517318595,0.0003758670878550487,0.0003313611441969293,0.00219877235926679,1.0,0.0016868582761713213,0.00033744861063089715,0.0,Mixed/none,3
0.1,0.025,-6.995125334283129,PS+GS,MB-global-opt,0.001263006179135893,0.004620806955725818,-0.010215714638158601,0.012741726996430386,0.6666666666666666,0.0020271039800734414,0.0006627426019338856,0.0,Mixed/none,3
0.1,0.0,-6.9897000433601875,PS+GS,MB-global-opt,0.001254513609462345,0.003286828597815189,-0.006910421262328642,0.009419448481253333,0.3333333333333333,0.0013541065118237345,3.188757677019538e-05,0.0,Mixed/none,3
0.1,0.0,-6.9897000433601875,PS,MB-global-opt,0.0012406903787511765,0.0032867736212248374,-0.006924107923618456,0.009405488681120809,0.3333333333333333,0.001353943485900011,4.555593285382464e-05,0.0,Mixed/none,3
0.046415888336127774,0.025,-10.3255524165146,PS,MB-global-opt,0.0011891977460554148,0.0003753615240107334,0.0002567480287318302,0.0021216474633789996,1.0,0.00168702783924779,0.00041347870122998565,0.0,Mixed/none,3
0.1,0.025,-6.995125334283129,PS,MB-global-opt,0.001113537652071404,0.004620291536907944,-0.010363902793900278,0.012590978098043085,0.6666666666666666,0.002026843687353619,0.0008119638509145322,0.0,Mixed/none,3
0.03162277660168379,0.01,-11.990386668948128,PS+GS,MB-global-opt,0.0009649232413452627,0.00025373305472938646,0.00033461539138219436,0.001595231091308331,1.0,0.001198730431960134,0.00017387066901686232,0.0,Mixed/none,3
0.06812920690579609,0.0025,-8.656736546011881,PS+GS,MB-global-opt,0.0009376243755879985,0.0013557490928433808,-0.0024302430735738075,0.004305491824749805,0.6666666666666666,0.001209213548271748,0.00021112849527016309,0.0,Mixed/none,3
0.06812920690579609,0.0225,-8.659694100638724,PS+GS,MB-global-opt,0.0009336467160636954,0.0019847836750533786,-0.003996829260741715,0.005864122692869105,0.6666666666666666,0.001462817663970976,0.00045603006470873453,0.0,Mixed/none,3
0.03162277660168379,0.01,-11.990386668948128,PS,MB-global-opt,0.000925388698440314,0.00025365555644011765,0.000295273364900212,0.001555504031980416,1.0,0.0011988205367459888,0.00021349081146837534,0.0,Mixed/none,3
0.06812920690579609,0.0025,-8.656736546011881,PS,MB-global-opt,0.0008882019545355252,0.0013551258115830993,-0.002478117178142607,0.004254521087213657,0.6666666666666666,0.0012092314737876346,0.00026056794556272855,0.0,Mixed/none,3
0.046415888336127774,0.005,-10.323537301560863,PS+GS,MB-global-opt,0.00084320734909162,0.0017032804904213229,-0.0033879759508001505,0.00507439064898339,0.3333333333333333,0.0010885878701184144,0.0001909511275208775,0.0,Mixed/none,3
0.06812920690579609,0.0225,-8.659694100638724,PS,MB-global-opt,0.0008307429979289663,0.0019849621958725233,-0.004100176449175609,0.005761662445033542,0.6666666666666666,0.0014627306398746025,0.0005588511099519078,0.0,Mixed/none,3
0.03162277660168379,0.0175,-11.990901566908294,PS+GS,MB-global-opt,0.0008067369209978359,0.001427915819029788,-0.002740402614214963,0.004353876456210635,0.6666666666666666,0.0010729622869852424,0.00021257725163814634,0.0,Mixed/none,3
0.046415888336127774,0.005,-10.323537301560863,PS,MB-global-opt,0.0007990235905985058,0.00170337303306726,-0.0034323895979699796,0.0050304367791669915,0.3333333333333333,0.0010884157674725021,0.00023497138850037125,0.0,Mixed/none,3
0.03162277660168379,0.0175,-11.990901566908294,PS,MB-global-opt,0.0007587937481862983,0.0014279334846784137,-0.002788389670930453,0.00430597716730305,0.6666666666666666,0.0010731154982733433,0.00026066597517337975,0.0,Mixed/none,3
0.021544346900318822,0.01,-13.656834514379712,PS+GS,MB-global-opt,0.0007238994140434038,0.0008688027105701879,-0.0014343261633281614,0.002882124991414969,0.6666666666666666,0.000891988722659498,0.00012348987248311794,0.0,Mixed/none,3
0.021544346900318822,0.01,-13.656834514379712,PS,MB-global-opt,0.0006957519299640192,0.0008687781302607087,-0.0014624125865338035,0.0028539164464618416,0.6666666666666666,0.0008919897873663393,0.00015163836803400166,0.0,Mixed/none,3
0.06812920690579609,0.03,-8.660802664569578,PS+GS,MB-global-opt,0.0006948407313527352,0.005829942279371734,-0.013787538741982797,0.015177220204688268,0.3333333333333333,0.0012597748805154296,0.0005019454051369276,0.0,Mixed/none,3
0.021544346900318822,0.0125,-13.656951457594914,PS+GS,MB-global-opt,0.0006909496206588388,0.0014855073611824954,-0.002999255236291586,0.004381154477609264,0.6666666666666666,0.0008683867775826452,0.00013401781804467383,0.0,Mixed/none,3
0.03162277660168379,0.0275,-11.991588002574982,PS+GS,MB-global-opt,0.0006879391442806091,0.002625727377963991,-0.005834729256014221,0.00721060754457544,0.6666666666666666,0.0009866097718266669,0.0002493401389547234,0.3333333333333333,Mixed/none,3
0.021544346900318822,0.0125,-13.656951457594914,PS,MB-global-opt,0.0006605321506237757,0.0014855376729720393,-0.0030297480049861648,0.004350812306233716,0.6666666666666666,0.0008684233989114295,0.00016447007834208272,0.0,Mixed/none,3
0.03162277660168379,0.0275,-11.991588002574982,PS,MB-global-opt,0.0006318026924201058,0.0026255934423206596,-0.005890532993292183,0.007154138378132394,0.6666666666666666,0.0009866173979998412,0.0003054838356797429,0.3333333333333333,Mixed/none,3
0.021544346900318822,0.005,-13.656600618502033,PS+GS,MB-global-opt,0.0006119473114501924,0.0007312955207737812,-0.001204691470115542,0.002428586093015927,0.6666666666666666,0.0007447777592733592,9.559155985949808e-05,0.0,Mixed/none,3
0.021544346900318822,0.005,-13.656600618502033,PS,MB-global-opt,0.0005899003969506237,0.0007313787176738884,-0.0012269450571721651,0.0024067458510734128,0.6666666666666666,0.000744785040685573,0.00011764539170067145,0.0,Mixed/none,3
0.06812920690579609,0.03,-8.660802664569578,PS,MB-global-opt,0.0005821845517903814,0.005829977054131129,-0.01390028130683638,0.015064650410417144,0.3333333333333333,0.0012599985774830458,0.0006148140968185167,0.0,Mixed/none,3
0.01,0.0,-16.989700043360187,PS+GS,MB-global-opt,0.0005370062865958312,0.0006696562243742664,-0.0011265119942600096,0.002200524567451672,0.6666666666666666,0.0005690123319297413,3.555428737422872e-06,0.0,Mixed/none,3
0.01,0.0,-16.989700043360187,PS,MB-global-opt,0.0005354720455361962,0.0006696752294478318,-0.0011280934465396023,0.002199037537611995,0.6666666666666666,0.0005690232299283929,5.10002289577649e-06,0.0,Mixed/none,3
0.03162277660168379,0.03,-11.99175959454043,PS+GS,MB-global-opt,0.0005210975587895151,0.0007217828507999559,-0.0012719104405550978,0.002314105558134128,0.6666666666666666,0.0008190759225425263,0.0002570245676258853,0.0,Mixed/none,3
0.01,0.01,-16.98991718517264,PS+GS,MB-global-opt,0.0005133460532158607,0.0004934942469962666,-0.0007125616162642054,0.0017392537226959266,1.0,0.0006058310306456723,6.219342589752763e-05,0.0,Mixed/none,3
0.01,0.01,-16.98991718517264,PS,MB-global-opt,0.0004992087259880167,0.0004934815488524923,-0.0007266673995542308,0.0017250848515302643,1.0,0.0006058802883887419,7.637754798128782e-05,0.0,Mixed/none,3
0.03162277660168379,0.03,-11.99175959454043,PS,MB-global-opt,0.00046326415242453856,0.0007218844135994471,-0.001329996142900398,0.0022565244477494753,0.6666666666666666,0.0008190707329983246,0.00031485304392386837,0.0,Mixed/none,3
0.01467799267622069,0.0125,-15.32343176912159,PS+GS,MB-global-opt,0.0004066951327988735,0.0001274768448749013,9.002509507410867e-05,0.0007233651705236383,1.0,0.0005283700096185839,9.525637633878148e-05,0.0,Mixed/none,3
0.01467799267622069,0.0125,-15.32343176912159,PS,MB-global-opt,0.00038503159410592974,0.00012745755032149452,6.840948670891353e-05,0.000701653701502946,1.0,0.0005283562160955194,0.00011690681118481372,0.0,Mixed/none,3
0.021544346900318822,0.0175,-13.657185334578896,PS+GS,MB-global-opt,0.00034127460531457415,0.0006001120612711865,-0.0011494863973469307,0.001832035607976079,0.6666666666666666,0.0005186965515987888,0.00015148711870427434,0.0,Mixed/none,3
0.046415888336127774,0.0025,-10.323285346436181,PS+GS,MB-global-opt,0.00033567814037900834,0.002179663113267816,-0.005078905198133605,0.005750261478891622,0.6666666666666666,0.0005097357405918027,0.00014857081318320198,0.0,Mixed/none,3
0.01467799267622069,0.0075,-15.323272416535838,PS+GS,MB-global-opt,0.0003284126218658784,0.0008839064463837798,-0.0018673327152280796,0.0025241579589598364,0.3333333333333333,0.0004285850621365365,7.874318716383222e-05,0.0,Mixed/none,3
0.01467799267622069,0.0075,-15.323272416535838,PS,MB-global-opt,0.00031041236750478304,0.0008839020680566164,-0.0018853220932215542,0.0025061468282311203,0.3333333333333333,0.0004286230453095878,9.677952553932556e-05,0.0,Mixed/none,3
0.021544346900318822,0.0175,-13.657185334578896,PS,MB-global-opt,0.00030697362261678657,0.0006001442891335626,-0.0011838674384930152,0.0017978146837265884,0.6666666666666666,0.000518672720187278,0.00018576546156112705,0.0,Mixed/none,3
0.046415888336127774,0.0025,-10.323285346436181,PS,MB-global-opt,0.0003010419966747747,0.002179998645777781,-0.00511437485079935,0.0057164588441489,0.6666666666666666,0.0005099173079274877,0.00018337944585633537,0.0,Mixed/none,3
