case_id,case_type,T,epsilon,SNR_dB,scheme,baseline,mean_delta_K,std_delta_K,ci95_low,ci95_high,P_delta_gt_0,mean_delta_I_AB,mean_delta_chi_BE,mean_delta_outage,gain_source,repetitions,K_MB_discovery,K_joint_discovery,key_extension_discovery
0,best_overall,0.1,0.03,-6.9962095796561385,PS+GS,MB-global-opt,0.004762034401138833,0.005749498348921048,-0.009520511270885205,0.01904458007316287,0.6666666666666666,0.005752485683225099,0.0007028269979250101,0.0,Mixed/none,3,0.015886762754634225,0.020648797155773058,False
1,best_overall,0.06812920690579609,0.015,-8.658585253667717,PS+GS,MB-global-opt,0.0015881909330737742,0.004114231708488006,-0.00863212720873362,0.011808509074881169,0.6666666666666666,0.0020899855268433263,0.0003972953174273819,0.0,Mixed/none,3,0.014778212082825126,0.0163664030158989,False
2,best_overall,0.03162277660168379,0.0,-11.989700043360187,PS+GS,MB-global-opt,0.001318955025421592,0.001982779967660616,-0.003606543466286205,0.006244453517129389,0.6666666666666666,0.0013994771140103761,1.0548232888263342e-05,0.0,Mixed/none,3,0.010612672755653028,0.01193162778107462,False
3,near_threshold,3.1622776602e-05,0.03,-41.98970210335588,PS+GS,MB-global-opt,4.757219706608136e-07,4.847814799972927e-07,-7.285419857436759e-07,1.6799859270653032e-06,0.6666666666666666,1.0323495001074434e-06,5.050100544412572e-07,0.0,Mixed/none,3,-3.5119722425018215e-07,1.2452474641063143e-07,True
4,near_threshold,1.4677992676e-05,0.025,-45.323034173580155,PS+GS,MB-global-opt,4.625977919836546e-07,5.176891101082021e-07,-8.234132493826625e-07,1.7486088333499718e-06,0.6666666666666666,7.280462961389844e-07,2.2904618934838084e-07,0.3333333333333333,Mixed/none,3,-1.956993509318515e-07,2.668984410518031e-07,True
5,near_threshold,1.2115276586e-05,0.025,-46.156367367829006,PS+GS,MB-global-opt,3.0066443499343596e-07,4.536495271108565e-07,-8.262634632063814e-07,1.4275923331932532e-06,0.6666666666666666,5.180774680368927e-07,1.9150915964161186e-07,0.0,Mixed/none,3,-8.628604201518677e-10,2.998015745732841e-07,True
6,failure,0.004641588833613,0.025,-20.32328534643597,PS+GS,MB-global-opt,-0.00010495934924583678,0.00019582836707144734,-0.0005914239809124772,0.0003815052824208037,0.3333333333333333,-6.381796894228131e-05,4.4332278750669474e-05,0.0,No positive gain,3,0.0010383203291915773,0.0009333609799457406,False
7,failure,0.004641588833613,0.03,-20.323335738630295,PS+GS,MB-global-opt,-8.977142719969582e-05,0.00021175475512478462,-0.0006157994000411111,0.00043625654564171946,0.3333333333333333,-4.448523480367802e-05,4.7510454136201474e-05,0.0,No positive gain,3,0.000560380364546908,0.00047060893734721224,False
8,failure,0.002154434690032,0.01,-23.65641349272952,PS+GS,MB-global-opt,-8.207804429470524e-05,4.418152204618156e-05,-0.0001918310293707934,2.7674940781382897e-05,0.0,-6.999475714023855e-05,1.558302501147857e-05,0.0,No positive gain,3,0.000675606049382038,0.0005935280050873327,False
