SNR_band,SNR_dB,T,epsilon,delta_K,K_MB,K_joint
very low,-40.32303362867056,4.641588833612782e-05,0.0025,-1.6552155542489313e-06,1.66244777095e-05,1.496926215525107e-05
very low,-38.65636707987858,6.812920690579608e-05,0.0025,1.620983868718299e-06,2.016402055676399e-05,2.1785004425482288e-05
very low,-36.98970058622826,0.0001,0.0025,2.000612914473028e-06,3.0163953123185644e-05,3.216456603765867e-05
very low,-35.32303417351485,0.0001467799267622069,0.0025,1.4119539467987146e-07,5.1253524165847003e-05,5.1394719560526875e-05
low,-33.65636787960057,0.00021544346900318823,0.0025,-6.0418503326312856e-06,8.688958430685583e-05,8.084773397422454e-05
low,-31.98970176005952,0.00031622776601683794,0.0025,-2.2089089717346492e-07,0.00010643461576971266,0.0001062137248725392
low,-30.323035896463317,0.00046415888336127773,0.0025,-3.5940697022947645e-07,0.00015399701460346485,0.00015363760763323537
low,-28.656370408542607,0.0006812920690579609,0.0025,9.765639033284146e-06,0.00021832875042548193,0.00022809438945876607
low,-26.98970547203782,0.001,0.0025,-2.4064120443364123e-05,0.00037045840012173885,0.00034639427967837473
low,-25.323041344900243,0.0014677992676220691,0.0025,7.989811687133218e-06,0.00046412337504007076,0.000472113186727204
medium,-23.65637840574983,0.002154434690031882,0.0025,9.119177276891224e-06,0.0007264848940710185,0.0007356040713479097
medium,-21.989717210322986,0.0031622776601683794,0.0025,-0.00010255041240173264,0.0012767163662240398,0.0011741659538223072
medium,-20.323058574325646,0.004641588833612777,0.0025,-5.1184549673891815e-05,0.0016098931910616618,0.00155870864138777
medium,-18.65640369504264,0.006812920690579608,0.0025,0.00011772012849641574,0.0021757591248549256,0.0022934792533513414
medium,-16.989754329831136,0.01,0.0025,-0.0001317514623174823,0.003297842927967471,0.003166091465649989
medium,-15.323113058102857,0.01467799267622069,0.0025,-0.0006433624106686681,0.006111300393856743,0.005467937983188075
high,-13.656483665839216,0.021544346900318822,0.0025,0.00014686165283347725,0.007755563967695062,0.00790242562052854
high,-11.98987170993461,0.03162277660168379,0.0025,-0.0017775935588850433,0.013671826570758923,0.01189423301187388
high,-10.323285346436181,0.046415888336127774,0.0025,0.000335678140379006,0.016139452978188803,0.01647513111856781
saturation/highest,-8.656736546011881,0.06812920690579609,0.0025,0.0009376243755879997,0.0238711089987448,0.0248087333743328
saturation/highest,-6.9902428775361365,0.1,0.0025,-0.0010438147822402558,0.03988573240223178,0.03884191761999153
very low,-46.98970015193381,1e-05,0.005,-6.771432427813792e-07,3.711343148834108e-06,3.0341999060527286e-06
