case_id,case_type,T,epsilon,SNR_dB,physical_realization,MB_fixed_nu,MB_global_nu,MB_oracle_nu,MB_fixed_I_AB,MB_global_I_AB,MB_oracle_I_AB,Joint_I_AB,MB_fixed_chi_BE,MB_global_chi_BE,MB_oracle_chi_BE,Joint_chi_BE,MB_fixed_K_raw,MB_global_K_raw,MB_oracle_K_raw,Joint_K_raw,MB_global_K_positive,Joint_K_positive,MB_global_entropy,Joint_entropy,MB_global_outage,Joint_outage,Delta_K_vs_fixed,CI95_low_vs_fixed,CI95_high_vs_fixed,Delta_K_vs_global,CI95_low_vs_global,CI95_high_vs_global,Delta_K_vs_oracle,CI95_low_vs_oracle,CI95_high_vs_oracle,gain_source_vs_global,joint_minimum_distance,joint_peak_energy,joint_geometry_drift,checkpoint_phase,checkpoint_epoch,training_seed_count,outperform_allowed
0,best_overall,0.1,0.03,-6.9962095796561385,direct conditional T; inverse mapping to L/Cn2/visibility/W0/aperture is non-unique,0.1,0.32,0.15,0.13740901388927443,0.1375349727212524,0.13747459631643313,0.13740900082341678,0.10885544238422873,0.10799463093903161,0.10806672300744014,0.10869745793698393,0.02168312081058197,0.022663593146158154,0.022534143493171326,0.021841092845262006,0.022663593146158154,0.021841092845262006,4.738047356163468,6.408923689874859,0.0,0.0,0.00015797203468003728,0.00015778749756250503,0.00015815657179756953,-0.0008225003008961479,-0.0015784129437473185,-6.658765804497735e-05,-0.0006930506479093212,-0.0008899883025193203,-0.0004961129932993221,No positive gain,0.3074940962901775,11.208270851105542,0.00014766733072390403,geometry_warmup,70,1,False
1,best_overall,0.06812920690579609,0.015,-8.658585253667717,direct conditional T; inverse mapping to L/Cn2/visibility/W0/aperture is non-unique,0.1,0.32,0.23,0.09473256058156627,0.09451195592726344,0.09458494461762479,0.0947325987350979,0.07097453225988226,0.07048725702455805,0.07045526305671834,0.07088455234200008,0.01902140029260569,0.01929910110634222,0.019400434330025203,0.01911141645634291,0.01929910110634222,0.01911141645634291,4.738047356163468,6.408923689874859,0.0,0.0,9.001616373721933e-05,8.99241519553695e-05,9.010817551906915e-05,-0.00018768464999931178,-0.0006798062271806116,0.00030443692718198803,-0.00028901787368229294,-0.0006356296681835787,5.759392081899293e-05,No positive gain,0.3074940962901775,11.208270851105542,0.00014766733072390403,geometry_warmup,70,1,False
2,best_overall,0.03162277660168379,0.0,-11.989700043360187,direct conditional T; inverse mapping to L/Cn2/visibility/W0/aperture is non-unique,0.1,0.32,0.5,0.044909398911821705,0.04499384399067363,0.04509092653268345,0.04490937985829131,0.030731486570848787,0.03071638408634536,0.0307432328180286,0.030726932319230293,0.011932442395381835,0.012027767704794587,0.012093147388020678,0.011936978546146448,0.012027767704794587,0.011936978546146448,4.738047356163468,6.408923689874859,0.0,0.0,4.536150764614111e-06,4.516118100028037e-06,4.556183429200186e-06,-9.078915864813922e-05,-0.0003917028964066562,0.0002101245791103778,-0.00015616884187423034,-0.0006144416477834749,0.0003021039640350143,No positive gain,0.3074940962901775,11.208270851105542,0.00014766733072390403,geometry_warmup,70,1,False
