T,epsilon,SNR_dB,scheme,mean_I_AB,mean_chi_BE,mean_K_raw,std_K_raw,ci95_low,ci95_high,mean_K_positive,mean_entropy,outage_probability,repetitions
1.3335214322e-05,0.0,-45.739700043240745,PS+GS,1.8958880242910443e-05,1.3341770952912668e-05,4.669165277852253e-06,1.7641192021615662e-07,4.230933774046438e-06,5.107396781658067e-06,4.669165277852253e-06,6.408923689874858,0.0,3
1.3990503141e-05,0.0,-45.53136671014262,GS,2.010144029836643e-05,1.890898971779187e-05,1.8737856565624093e-07,1.744777290085654e-07,-2.4604814082911967e-07,6.208052721416016e-07,1.8737856565624093e-07,8.0,0.0,3
1.3990503141e-05,0.0,-45.53136671014262,MB-fixed,2.0106169853188287e-05,1.4000464255481404e-05,5.100397105047468e-06,5.58012841003341e-07,3.7142163630873055e-06,6.4865778470076306e-06,5.100397105047468e-06,6.408923689874861,0.0,3
1.3990503141e-05,0.0,-45.53136671014262,MB-global-opt,2.0036568084099333e-05,1.3990371639183152e-05,5.044368040711213e-06,6.694458910490881e-07,3.3813722568004793e-06,6.707363824621948e-06,5.044368040711213e-06,4.7380473561634675,0.0,3
1.3990503141e-05,0.0,-45.53136671014262,PS,2.010616985555676e-05,1.4000464255481404e-05,5.10039710729752e-06,5.580128407235527e-07,3.71421636603239e-06,6.486577848562649e-06,5.10039710729752e-06,6.408923689874858,0.0,3
1.3990503141e-05,0.0,-45.53136671014262,PS+GS,2.0106179030439837e-05,1.3997358588424547e-05,5.103511490493299e-06,5.58013563611238e-07,3.7173289534756084e-06,6.489694027510989e-06,5.103511490493299e-06,6.408923689874858,0.0,3
1.4677992676e-05,0.0,-45.32303337675883,GS,2.1010657725639703e-05,1.9822343265474274e-05,1.377815738834438e-07,2.2377270866727315e-07,-4.1810065057056075e-07,6.936637983374483e-07,1.7673019373868706e-07,8.0,0.3333333333333333,3
1.4677992676e-05,0.0,-45.32303337675883,MB-fixed,2.1152661323557236e-05,1.4688411006824609e-05,5.406617250554764e-06,3.4368368565487224e-07,4.55285964611673e-06,6.260374854992798e-06,5.406617250554764e-06,6.408923689874861,0.0,3
1.4677992676e-05,0.0,-45.32303337675883,MB-global-opt,2.1293065189868326e-05,1.4677845359356567e-05,5.550566571018341e-06,1.6151238351875425e-07,5.149347568209693e-06,5.951785573826988e-06,5.550566571018341e-06,4.7380473561634675,0.0,3
1.4677992676e-05,0.0,-45.32303337675883,PS,2.1152661324741473e-05,1.4688411006824609e-05,5.40661725167979e-06,3.4368368519766847e-07,4.552859648377513e-06,6.260374854982067e-06,5.40661725167979e-06,6.408923689874858,0.0,3
1.4677992676e-05,0.0,-45.32303337675883,PS+GS,2.1152679072914776e-05,1.4685160047989143e-05,5.409885071279892e-06,3.436841134343943e-07,4.556126404178615e-06,6.26364373838117e-06,5.409885071279892e-06,6.408923689874858,0.0,3
2.15443469e-05,0.0,-43.65636671009113,GS,3.138625131645275e-05,2.8909327008719288e-05,9.076117419108202e-07,1.1939557169670646e-07,6.110166996467168e-07,1.2042067841749236e-06,9.076117419108202e-07,8.0,0.0,3
2.15443469e-05,0.0,-43.65636671009113,MB-fixed,3.132448393709334e-05,2.1559232973533682e-05,8.199026766704993e-06,2.806662120851611e-07,7.501813244858768e-06,8.896240288551217e-06,8.199026766704993e-06,6.408923689874861,0.0,3
2.15443469e-05,0.0,-43.65636671009113,MB-global-opt,3.170932480471104e-05,2.1543993847794596e-05,8.57986471668089e-06,6.253915064233876e-07,7.026306090985456e-06,1.0133423342376323e-05,8.57986471668089e-06,4.7380473561634675,0.0,3
2.15443469e-05,0.0,-43.65636671009113,PS,3.13244839388697e-05,2.1559232973533682e-05,8.199026768392531e-06,2.8066621275616723e-07,7.501813244879435e-06,8.896240291905628e-06,8.199026768392531e-06,6.408923689874858,0.0,3
2.15443469e-05,0.0,-43.65636671009113,PS+GS,3.1324476861567994e-05,2.1554547130930857e-05,8.203705887558735e-06,2.8069603321364286e-07,7.5064182859226425e-06,8.900993489194828e-06,8.203705887558735e-06,6.408923689874858,0.0,3
3.1622776602e-05,0.0,-41.989700043316766,GS,4.591912117687021e-05,4.216015584335153e-05,1.4630092746751649e-06,1.914086347384675e-07,9.875238667725858e-07,1.938494682577744e-06,1.4630092746751649e-06,8.0,0.0,3
3.1622776602e-05,0.0,-41.989700043316766,MB-fixed,4.513106550903719e-05,3.164393731713844e-05,1.1230574916446892e-05,2.1423297237520853e-07,1.0698390710675864e-05,1.176275912221792e-05,1.1230574916446892e-05,6.408923689874861,0.0,3
3.1622776602e-05,0.0,-41.989700043316766,MB-global-opt,4.414871136256456e-05,3.162196432149322e-05,1.0319311472943107e-05,1.1220086002834971e-06,7.5320875961052106e-06,1.3106535349781005e-05,1.0319311472943107e-05,4.7380473561634675,0.0,3
3.1622776602e-05,0.0,-41.989700043316766,PS,4.5131065511405666e-05,3.164393731713844e-05,1.1230574918696943e-05,2.142329719471844e-07,1.0698390713989188e-05,1.1762759123404699e-05,1.1230574918696943e-05,6.408923689874858,0.0,3
