sweep,parameter_value,comparison,first,second,mean_delta_K_raw,ci95_low_delta_K_raw,ci95_high_delta_K_raw,mean_beta_delta_I_AB,mean_negative_delta_chi_BE
aperture,0.2299999999999999,PS-Uniform,PS,Uniform QAM,0.01701809428158704,0.016585669874123188,0.01745051868905089,6.433786257047561e-05,0.016953756419016565
aperture,0.24,PS-Uniform,PS,Uniform QAM,0.018191672132671078,0.017724155750426518,0.018659188514915638,-6.428610833658782e-05,0.018255958241007637
aperture,0.2499999999999999,PS-Uniform,PS,Uniform QAM,0.0188661098589634,0.01831084880635589,0.01942137091157091,7.249621206641854e-05,0.01879361364689692
aperture,0.26,PS-Uniform,PS,Uniform QAM,0.01966158615148902,0.01933488623498387,0.01998828606799417,4.529473096368905e-05,0.019616291420525338
aperture,0.27,PS-Uniform,PS,Uniform QAM,0.020015571689196397,0.01973204496828213,0.020299098410110666,5.289503342912921e-05,0.019962676655767297
aperture,0.2799999999999999,PS-Uniform,PS,Uniform QAM,0.02091096724716836,0.02027452340148444,0.021547411092852284,7.126107127677639e-06,0.0209038411400407
aperture,0.29,PS-Uniform,PS,Uniform QAM,0.021272492724628257,0.02079665893565132,0.021748326513605195,-2.3777444122467792e-05,0.021296270168750762
aperture,0.3,PS-Uniform,PS,Uniform QAM,0.02151155314155808,0.021168216911811054,0.021854889371305107,-3.680052506471798e-05,0.021548353666622784
aperture,0.1,GS-Uniform,GS,Uniform QAM,0.0003755006547820399,0.00034857983368449016,0.00040242147587958967,3.846179956849826e-09,0.00037549680860211946
aperture,0.11,GS-Uniform,GS,Uniform QAM,0.00045895102853437997,0.000444525710542704,0.0004733763465260559,1.9826985563353713e-08,0.0004589312015488213
aperture,0.12,GS-Uniform,GS,Uniform QAM,0.0005220911710039602,0.00048494965259838606,0.0005592326894095342,2.025720907967987e-08,0.0005220709137949003
aperture,0.13,GS-Uniform,GS,Uniform QAM,0.00060651825018894,0.0005919311930305223,0.0006211053073473577,4.191066635565732e-08,0.0006064763395225616
aperture,0.14,GS-Uniform,GS,Uniform QAM,0.0006613763390202601,0.0006411640745707854,0.0006815886034697348,5.074369934236766e-08,0.0006613255953208594
