sweep,parameter_name,parameter_value,repetition,seed,mean_T,std_T_samples,T_eff,eta_atm,eta_geo,sigma2_turb_m2,sigma2_UAV_m2,link_distance_km
aperture,aperture_radius,0.1,0,302026,0.020480666146470906,0.019008013732577808,0.020480666146470906,0.13073883451571086,0.501060104152717,0.030687641978789804,0.010176814052,20.0
aperture,aperture_radius,0.1,1,303026,0.02171455033549175,0.019023621091226392,0.02171455033549175,0.13073883451571086,0.501060104152717,0.030687641978789804,0.010176814052,20.0
aperture,aperture_radius,0.1,2,304026,0.020162170705068254,0.02000809990809598,0.020162170705068254,0.13073883451571086,0.501060104152717,0.030687641978789804,0.010176814052,20.0
aperture,aperture_radius,0.1,3,305026,0.023094481427991424,0.02136553545566535,0.023094481427991427,0.13073883451571086,0.501060104152717,0.030687641978789804,0.010176814052,20.0
aperture,aperture_radius,0.1,4,306026,0.019734268285850877,0.018419107107026145,0.019734268285850877,0.13073883451571086,0.501060104152717,0.030687641978789804,0.010176814052,20.0
aperture,aperture_radius,0.11,0,302026,0.026808783250656804,0.022294000866284622,0.026808783250656807,0.13073883451571086,0.5688401017343623,0.030687641978789804,0.010176871602920001,20.0
aperture,aperture_radius,0.11,1,303026,0.025909922075566208,0.02360799174095346,0.02590992207556621,0.13073883451571086,0.5688401017343623,0.030687641978789804,0.010176871602920001,20.0
aperture,aperture_radius,0.11,2,304026,0.025475891986339507,0.023233157765910725,0.025475891986339507,0.13073883451571086,0.5688401017343623,0.030687641978789804,0.010176871602920001,20.0
aperture,aperture_radius,0.11,3,305026,0.027311200158690895,0.0236517272133086,0.027311200158690895,0.13073883451571086,0.5688401017343623,0.030687641978789804,0.010176871602920001,20.0
aperture,aperture_radius,0.11,4,306026,0.02617925824394733,0.02152743498721823,0.02617925824394733,0.13073883451571086,0.5688401017343623,0.030687641978789804,0.010176871602920001,20.0
aperture,aperture_radius,0.12,0,302026,0.027686942203742064,0.02428672865043163,0.027686942203742064,0.13073883451571086,0.6325574434125286,0.030687641978789804,0.010176934634880001,20.0
aperture,aperture_radius,0.12,1,303026,0.03056695376348055,0.02632310208486658,0.03056695376348055,0.13073883451571086,0.6325574434125286,0.030687641978789804,0.010176934634880001,20.0
aperture,aperture_radius,0.12,2,304026,0.029869032999869264,0.026120961341744867,0.029869032999869264,0.13073883451571086,0.6325574434125286,0.030687641978789804,0.010176934634880001,20.0
aperture,aperture_radius,0.12,3,305026,0.03154457556057773,0.026196316928248444,0.03154457556057773,0.13073883451571086,0.6325574434125286,0.030687641978789804,0.010176934634880001,20.0
aperture,aperture_radius,0.12,4,306026,0.03262479296199088,0.02495521375633234,0.032624792961990876,0.13073883451571086,0.6325574434125286,0.030687641978789804,0.010176934634880001,20.0
aperture,aperture_radius,0.13,0,302026,0.03607023739446873,0.029564718611531128,0.036070237394468734,0.13073883451571086,0.6911827778187968,0.030687641978789804,0.010177003147880002,20.0
aperture,aperture_radius,0.13,1,303026,0.03582413815626615,0.02762396693886151,0.03582413815626616,0.13073883451571086,0.6911827778187968,0.030687641978789804,0.010177003147880002,20.0
aperture,aperture_radius,0.13,2,304026,0.03489071001503477,0.027901932563579125,0.03489071001503477,0.13073883451571086,0.6911827778187968,0.030687641978789804,0.010177003147880002,20.0
aperture,aperture_radius,0.13,3,305026,0.03717914040003054,0.02965272621618721,0.03717914040003054,0.13073883451571086,0.6911827778187968,0.030687641978789804,0.010177003147880002,20.0
aperture,aperture_radius,0.13,4,306026,0.0358904477015472,0.02680708313371593,0.03589044770154721,0.13073883451571086,0.6911827778187968,0.030687641978789804,0.010177003147880002,20.0
aperture,aperture_radius,0.14,0,302026,0.03863979680610168,0.02945172546993801,0.038639796806101676,0.13073883451571086,0.7440385658724912,0.030687641978789804,0.010177077141920001,20.0
aperture,aperture_radius,0.14,1,303026,0.03945112221248745,0.029755263074233852,0.03945112221248744,0.13073883451571086,0.7440385658724912,0.030687641978789804,0.010177077141920001,20.0
aperture,aperture_radius,0.14,2,304026,0.039600859660548854,0.029098818506349315,0.03960085966054885,0.13073883451571086,0.7440385658724912,0.030687641978789804,0.010177077141920001,20.0
aperture,aperture_radius,0.14,3,305026,0.03882287074375701,0.028381113747692917,0.03882287074375701,0.13073883451571086,0.7440385658724912,0.030687641978789804,0.010177077141920001,20.0
aperture,aperture_radius,0.14,4,306026,0.041341280964387134,0.030131802891014293,0.041341280964387134,0.13073883451571086,0.7440385658724912,0.030687641978789804,0.010177077141920001,20.0
aperture,aperture_radius,0.15,0,302026,0.0448767170377057,0.03225512864233071,0.0448767170377057,0.13073883451571086,0.7907774349959997,0.030687641978789804,0.010177156617000001,20.0
aperture,aperture_radius,0.15,1,303026,0.04403159178496717,0.0323526591018835,0.04403159178496716,0.13073883451571086,0.7907774349959997,0.030687641978789804,0.010177156617000001,20.0
aperture,aperture_radius,0.15,2,304026,0.04269722127880764,0.03208384850872806,0.042697221278807644,0.13073883451571086,0.7907774349959997,0.030687641978789804,0.010177156617000001,20.0
aperture,aperture_radius,0.15,3,305026,0.045984039820279904,0.0337437235464034,0.045984039820279904,0.13073883451571086,0.7907774349959997,0.030687641978789804,0.010177156617000001,20.0
aperture,aperture_radius,0.15,4,306026,0.04667072887300813,0.0325510654510863,0.04667072887300813,0.13073883451571086,0.7907774349959997,0.030687641978789804,0.010177156617000001,20.0
aperture,aperture_radius,0.16,0,302026,0.044326841663360435,0.03408913613244149,0.044326841663360435,0.13073883451571086,0.8313433483346679,0.030687641978789804,0.010177241573120001,20.0
aperture,aperture_radius,0.16,1,303026,0.048718781351132154,0.033464925415392366,0.04871878135113215,0.13073883451571086,0.8313433483346679,0.030687641978789804,0.010177241573120001,20.0
aperture,aperture_radius,0.16,2,304026,0.04569201903098763,0.033971655940971415,0.045692019030987636,0.13073883451571086,0.8313433483346679,0.030687641978789804,0.010177241573120001,20.0
aperture,aperture_radius,0.16,3,305026,0.047127506388140825,0.03284543789514842,0.04712750638814083,0.13073883451571086,0.8313433483346679,0.030687641978789804,0.010177241573120001,20.0
aperture,aperture_radius,0.16,4,306026,0.050378944750326025,0.03611333979330184,0.05037894475032603,0.13073883451571086,0.8313433483346679,0.030687641978789804,0.010177241573120001,20.0
aperture,aperture_radius,0.1699999999999999,0,302026,0.05542542829943235,0.034849391390963234,0.05542542829943236,0.13073883451571086,0.8659214234464597,0.030687641978789804,0.010177332010280002,20.0
aperture,aperture_radius,0.1699999999999999,1,303026,0.05496082902176408,0.0367818515475967,0.05496082902176407,0.13073883451571086,0.8659214234464597,0.030687641978789804,0.010177332010280002,20.0
aperture,aperture_radius,0.1699999999999999,2,304026,0.053976215765861715,0.038759709015521074,0.05397621576586172,0.13073883451571086,0.8659214234464597,0.030687641978789804,0.010177332010280002,20.0
aperture,aperture_radius,0.1699999999999999,3,305026,0.05260978895610989,0.034042569566350565,0.05260978895610989,0.13073883451571086,0.8659214234464597,0.030687641978789804,0.010177332010280002,20.0
aperture,aperture_radius,0.1699999999999999,4,306026,0.054566242216635155,0.03603729132520911,0.054566242216635155,0.13073883451571086,0.8659214234464597,0.030687641978789804,0.010177332010280002,20.0
aperture,aperture_radius,0.18,0,302026,0.057528390373801974,0.036783967906746956,0.05752839037380198,0.13073883451571086,0.894882197862426,0.030687641978789804,0.01017742792848,20.0
aperture,aperture_radius,0.18,1,303026,0.061680706036163005,0.03774834017319285,0.06168070603616301,0.13073883451571086,0.894882197862426,0.030687641978789804,0.01017742792848,20.0
aperture,aperture_radius,0.18,2,304026,0.06032918790125433,0.038016229013257526,0.06032918790125432,0.13073883451571086,0.894882197862426,0.030687641978789804,0.01017742792848,20.0
aperture,aperture_radius,0.18,3,305026,0.05771023066761191,0.03585809653626126,0.05771023066761191,0.13073883451571086,0.894882197862426,0.030687641978789804,0.01017742792848,20.0
aperture,aperture_radius,0.18,4,306026,0.05566796294642402,0.036649254148523866,0.055667962946424024,0.13073883451571086,0.894882197862426,0.030687641978789804,0.01017742792848,20.0
aperture,aperture_radius,0.19,0,302026,0.06265872452007931,0.03901397201164712,0.06265872452007931,0.13073883451571086,0.9187255353148294,0.030687641978789804,0.010177529327720002,20.0
aperture,aperture_radius,0.19,1,303026,0.06701776633519696,0.03994550707139417,0.06701776633519697,0.13073883451571086,0.9187255353148294,0.030687641978789804,0.010177529327720002,20.0
aperture,aperture_radius,0.19,2,304026,0.0608838768402106,0.03737428883027954,0.0608838768402106,0.13073883451571086,0.9187255353148294,0.030687641978789804,0.010177529327720002,20.0
aperture,aperture_radius,0.19,3,305026,0.06593391149516628,0.038329129396142164,0.06593391149516627,0.13073883451571086,0.9187255353148294,0.030687641978789804,0.010177529327720002,20.0
aperture,aperture_radius,0.19,4,306026,0.0642221829914131,0.03556025151174344,0.0642221829914131,0.13073883451571086,0.9187255353148294,0.030687641978789804,0.010177529327720002,20.0
aperture,aperture_radius,0.1999999999999999,0,302026,0.0736087994494874,0.037457220237040734,0.0736087994494874,0.13073883451571086,0.9380283687266074,0.030687641978789804,0.010177636208000001,20.0
aperture,aperture_radius,0.1999999999999999,1,303026,0.06662267357024984,0.038280659501931075,0.06662267357024984,0.13073883451571086,0.9380283687266074,0.030687641978789804,0.010177636208000001,20.0
aperture,aperture_radius,0.1999999999999999,2,304026,0.06729191090128038,0.03837602189885074,0.06729191090128037,0.13073883451571086,0.9380283687266074,0.030687641978789804,0.010177636208000001,20.0
aperture,aperture_radius,0.1999999999999999,3,305026,0.06945584406658017,0.03683028363548745,0.06945584406658016,0.13073883451571086,0.9380283687266074,0.030687641978789804,0.010177636208000001,20.0
aperture,aperture_radius,0.1999999999999999,4,306026,0.06629286989682123,0.039831320695115635,0.06629286989682123,0.13073883451571086,0.9380283687266074,0.030687641978789804,0.010177636208000001,20.0
aperture,aperture_radius,0.21,0,302026,0.07094980109917909,0.039377088970063846,0.07094980109917909,0.13073883451571086,0.9533992717844125,0.030687641978789804,0.010177748569320001,20.0
aperture,aperture_radius,0.21,1,303026,0.07742159640753823,0.03692074938350031,0.07742159640753825,0.13073883451571086,0.9533992717844125,0.030687641978789804,0.010177748569320001,20.0
