scheme,entropy_bits,peak_energy,minimum_pairwise_distance,minimum_probability,maximum_probability,maximum_PMF_change_over_probe_T,maximum_geometry_change_over_probe_T,checkpoint_phase,checkpoint_epoch
Uniform QAM,8.0,2.6470588235294104,0.1533929977694731,0.00390625,0.00390625,0.0,0.0,fixed baseline,
Maxwell-Boltzmann QAM,6.408923689874861,11.299365973906344,0.3169208239559887,4.142913770202077e-07,0.03029731144926191,0.0,0.0,fixed baseline,
Binomial QAM,5.999822333738283,14.999999999999961,0.36514837167010766,9.313225746154785e-10,0.03856534603983164,0.0,0.0,fixed baseline,
GS,8.0,2.7032463045988204,0.13468848130451705,0.00390625,0.00390625,0.0,0.0,gs,100.0
PS,6.408923689874863,11.299365973906337,0.31692082395599147,4.142913770202081e-07,0.030297311449261916,0.0,0.0,ps,0.0
PS+GS,6.408923689874863,11.208270851105539,0.30749409629017727,4.142913770202081e-07,0.030297311449261916,0.0,0.0,geometry_warmup,70.0
