sweep,parameter_name,parameter_value,parameter_unit,scheme,mean_I_AB,std_I_AB,mean_chi_BE,std_chi_BE,mean_K_raw,std_K_raw,mean_K_positive,std_K_positive,mean_T,std_repetition_mean_T,mean_eta_atm,mean_eta_geo,mean_sigma2_turb_m2,mean_sigma2_UAV_m2,link_distance_km
aperture,aperture_radius,0.1,m,Uniform QAM,0.02976133814000434,0.0019017050898761005,0.02558169525553374,0.0015933735533691443,0.00269157597747036,0.00021700206959779754,0.00269237755223998,0.00021696352426212783,0.02103722738017464,0.0013660387618996317,0.13073883451571086,0.501060104152717,0.030687641978789804,0.010176814052,20.0
aperture,aperture_radius,0.1,m,Maxwell-Boltzmann QAM,0.0297560127277309,0.001923641394492579,0.02054308548541376,0.0012980045338981075,0.00772512660593056,0.0005301505438240859,0.00772512660593056,0.0005301505438240859,0.02103722738017464,0.0013660387618996317,0.13073883451571086,0.501060104152717,0.030687641978789804,0.010176814052,20.0
aperture,aperture_radius,0.1,m,Binomial QAM,0.029757160895471823,0.001926474306287088,0.02060968170682264,0.0013020287063347598,0.00765962114387556,0.0005288860539390721,0.00765962114387556,0.0005288860539390721,0.02103722738017464,0.0013660387618996317,0.13073883451571086,0.501060104152717,0.030687641978789804,0.010176814052,20.0
aperture,aperture_radius,0.1,m,GS,0.02976134218861482,0.0019017020707977792,0.025206198446931623,0.0015717151751136037,0.0030670766322524,0.00023809362217581587,0.00306726278294788,0.00023809408139902053,0.02103722738017464,0.0013660387618996317,0.13073883451571086,0.501060104152717,0.030687641978789804,0.010176814052,20.0
aperture,aperture_radius,0.1,m,PS,0.02975601272773168,0.0019236413944925877,0.02054308548541552,0.001298004533898194,0.00772512660592954,0.000530150543823979,0.00772512660592954,0.000530150543823979,0.02103722738017464,0.0013660387618996317,0.13073883451571086,0.501060104152717,0.030687641978789804,0.010176814052,20.0
aperture,aperture_radius,0.1,m,PS+GS,0.02975601158841688,0.0019236350511579192,0.02053106536597128,0.001297277095550469,0.00773714564302474,0.0005308699345178696,0.00773714564302474,0.0005308699345178696,0.02103722738017464,0.0013660387618996317,0.13073883451571086,0.501060104152717,0.030687641978789804,0.010176814052,20.0
aperture,aperture_radius,0.11,m,Uniform QAM,0.03716111879198456,0.0010408296234536436,0.03173259275732068,0.0008590241410102686,0.0035704700950646,0.00013406755728151895,0.00357111050933316,0.00013419046660931105,0.02633701114304015,0.0007280848869644946,0.13073883451571086,0.5688401017343623,0.030687641978789804,0.010176871602920001,20.0
aperture,aperture_radius,0.11,m,Maxwell-Boltzmann QAM,0.0371253984197163,0.0010612162537516005,0.025554388693272378,0.0007014077511889335,0.00971473980545804,0.00030756936265163967,0.00971473980545804,0.00030756936265163967,0.02633701114304015,0.0007280848869644946,0.13073883451571086,0.5688401017343623,0.030687641978789804,0.010176871602920001,20.0
aperture,aperture_radius,0.11,m,Binomial QAM,0.03711840405991438,0.0010606638461805487,0.025636550237678562,0.0007035480360801098,0.009625933619240041,0.00030506085155588777,0.009625933619240041,0.00030506085155588777,0.02633701114304015,0.0007280848869644946,0.13073883451571086,0.5688401017343623,0.030687641978789804,0.010176871602920001,20.0
aperture,aperture_radius,0.11,m,GS,0.03716113966249568,0.0010408200212076212,0.03127366155577186,0.0008474416287566857,0.00402942112359898,0.00014500076214952773,0.0040295697491581,0.00014504917721101446,0.02633701114304015,0.0007280848869644946,0.13073883451571086,0.5688401017343623,0.030687641978789804,0.010176871602920001,20.0
