Model,H_X,I_AB_discrete,chi_BE,beta_times_I_AB,raw_SKR,clipped_SKR,w,Z,Tr_C,mean_transmittance,SKR_outage_probability,average_energy,peak_energy,minimum_pairwise_distance,trainable_parameters,training_time_seconds,Delta_I_AB_vs_PS,Delta_chi_BE_vs_PS,Delta_raw_K_vs_PS
Uniform fixed QAM,8.0,0.08492126186930982,0.07121535589426264,0.08067519877584432,0.009459842881581679,0.009459842881581679,0.02654334039792318,0.6865542826425024,1.4019995788729624,0.06035929726968719,0.0,0.9999999999999994,2.6470588235294104,0.1533929977694731,0,0.0,0.0022499493301642026,0.013453799019153667,-0.011316347155497675
MB fixed QAM,6.408923689874861,0.08267131253914384,0.057761556875107756,0.07853774691218664,0.02077619003707889,0.02077619003707889,3.549923587231355e-05,0.6942662774086061,1.4141973737780098,0.06035929726968719,0.0,0.9999999999999978,11.299365973906344,0.3169208239559887,0,0.0,-1.7763568394002505e-15,-1.2212453270876722e-15,-4.649058915617843e-16
Learned PS fixed QAM,6.408923689874863,0.08267131253914561,0.05776155687510898,0.07853774691218833,0.020776190037079353,0.020776190037079353,3.5499235872091275e-05,0.6942662774086057,1.4141973737780085,0.06035929726968719,0.0,0.9999999999999976,11.299365973906337,0.31692082395599147,33536,0.08061219999945024,0.0,0.0,0.0
Learned GS uniform probabilities,8.0,0.08492136150549312,0.07120502770977688,0.08067529343021847,0.009470265720441587,0.009470265720441587,0.026517256583545475,0.6865611362488387,1.40201174770596,0.06035929726968719,0.0,0.9999999999999993,2.6476522332246595,0.15319686655649636,512,0.06990010000299662,0.0022500489663475065,0.013443470834667903,-0.011305924316637767
Learned joint PS+GS,6.408923689874863,0.08267129891639113,0.05776038780444259,0.07853773397057158,0.02077734616612898,0.02077734616612898,3.5107847870471546e-05,0.6942667599966851,1.414197620231338,0.06035929726968719,0.0,0.9999999999999981,11.304423442877036,0.3161651737173471,34048,0.27469339999515796,-1.3622754480024923e-08,-1.1690706663847195e-06,1.156129049627308e-06
