stage,epoch,loss_total,loss_skr,mean_i_ab,mean_chi_be,mean_raw_skr,validation_i_ab,validation_chi_be,validation_raw_skr,geometry_weighted_mean_abs,geometry_weighted_mean_energy,geometry_maximum_symbol_energy,geometry_minimum_pairwise_distance,geometry_maximum_pairwise_distance,geometry_probability_entropy,geometry_minimum_probability,geometry_maximum_probability,loss_separation,loss_peak,loss_drift,loss_entropy,weighted_separation,weighted_peak,weighted_drift,weighted_entropy,lambda_separation,lambda_peak,lambda_drift,lambda_entropy,probability_gradient_norm,geometry_gradient_norm,probability_learning_rate,geometry_learning_rate,invalid_update,raw_skr_logit_gradient_norm,raw_skr_probability_parameter_gradient_norm,raw_skr_geometry_gradient_norm,chi_be_logit_gradient_norm,chi_be_geometry_gradient_norm,separation_geometry_gradient_norm,peak_geometry_gradient_norm,drift_geometry_gradient_norm
ps,0,nan,-0.009757200091185213,0.03781261521021717,0.026164784358521098,0.009757200091185213,0.03781261521021717,0.026164784358521098,0.009757200091185213,1.3877787807814457e-17,0.9999999999999976,11.299365973906337,0.31692082395599147,6.722905911555311,6.408923689874863,4.142913770202081e-07,0.030297311449261916,,,,,,,,,,,,,,,,,,,,,,,,,
ps,1,-0.037611776387361365,-0.037611776387361365,0.1477480263647153,0.10274884865911815,0.037611776387361365,0.03800268186279521,0.026478665480008434,0.009623882289647012,1.3877787807814457e-17,0.9999999999999976,11.299365973906337,0.31692082395599147,6.722905911555311,6.408923689874863,4.142913770202081e-07,0.030297311449261916,0.00017119382356170924,2.646981628846937,1.1365073723347483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20093958393127923,0.0,0.001,0.0,False,0.009534052658133384,0.20093958393127923,0.0,0.00013849174664368267,0.0,0.0,0.0,0.0
gs,0,nan,-0.003013930451332511,0.03746380913051928,0.0325766882226608,0.003013930451332511,0.03746380913051928,0.0325766882226608,0.003013930451332511,5.594315114139762e-17,0.9999999999999994,2.6470588235294104,0.1533929977694731,3.253956867279842,8.0,0.00390625,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,
gs,1,-0.0020441055800446105,-0.0020513281629689142,0.03930477427568624,0.035288207398933014,0.0020513281629689142,0.03746382107902724,0.03257170469266124,0.0030189253324146336,5.594315114139762e-17,0.9999999999999994,2.6470588235294104,0.1533929977694731,3.253956867279842,8.0,0.00390625,0.00390625,0.007222582924303851,0.0,0.0,0.0,7.2225829243038515e-06,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.005498124020896836,0.0,0.0001,False,0.0,0.0,0.005495571855112528,0.0,0.005404010773175524,0.00342505399820756,0.0,0.0
geometry_warmup,0,nan,-0.009757714937444394,0.037812659572793006,0.02616431165670896,0.009757714937444394,0.037812659572793006,0.02616431165670896,0.009757714937444394,7.757919228897728e-18,0.9999999999999978,11.306485965687084,0.3165798261722499,6.7250237072257475,6.408923689874863,4.142913770202081e-07,0.030297311449261916,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_warmup,1,-0.026542205248635535,-0.02749025645547907,0.10111546307656027,0.0685694334672532,0.02749025645547907,0.037812963265329014,0.02616423976161031,0.009758075340452255,7.757919228897728e-18,0.9999999999999978,11.306485965687084,0.3165798261722499,6.7250237072257475,6.408923689874863,4.142913770202081e-07,0.030297311449261916,0.00017070984664375853,2.6546326923494723,1.137401425178012,0.0,4.2677461660939634e-08,0.0006636581730873681,0.000284350356294503,0.0,0.00025,0.00025,0.00025,0.0,0.0,0.006003397098781432,0.0,0.0001,False,0.0,0.0,0.005941531383249315,0.0,0.0017559110243855751,0.0006575742736009167,11.059414946682738,1.533584280580145
joint_finetune,0,nan,-0.009758075340452255,0.037812963265329014,0.02616423976161031,0.009758075340452255,0.037812963265329014,0.02616423976161031,0.009758075340452255,4.220764384040162e-17,0.9999999999999981,11.304423442877036,0.3161651737173471,6.7244102917287965,6.408923689874863,4.142913770202081e-07,0.030297311449261916,,,,,,,,,,,,,,,,,,,,,,,,,
joint_finetune,1,-0.01830518952313276,-0.022095072817249293,0.07872821579234346,0.05269673218547699,0.022095072817249293,0.037734314083115006,0.026653742657198665,0.00919385572176059,4.220764384040162e-17,0.9999999999999981,11.304423442877036,0.3161651737173471,6.7244102917287965,6.408923689874863,4.142913770202081e-07,0.030297311449261916,0.0001707510652105228,2.6524133787212363,1.1372991643300858,0.0,1.707510652105228e-07,0.0026524133787212364,0.0011372991643300858,0.0,0.001,0.001,0.001,0.0,0.11383117342904901,0.012782944192059933,0.001,0.0001,False,0.004136511695343517,0.11419601257856805,0.004901245826348361,7.750889328304128e-05,0.0013625083921253727,0.00065795281466141,11.053480336186045,1.533457264557747
refinement,0,nan,-0.009758075340452255,0.037812963265329014,0.02616423976161031,0.009758075340452255,0.037812963265329014,0.02616423976161031,0.009758075340452255,4.220764384040162e-17,0.9999999999999981,11.304423442877036,0.3161651737173471,6.7244102917287965,6.408923689874863,4.142913770202081e-07,0.030297311449261916,,,,,,,,,,,,,,,,,,,,,,,,,
refinement,1,-0.008451156790654358,-0.01224104008477089,0.046568888645814877,0.03199940412875324,0.01224104008477089,0.037722845275794725,0.026178360045402194,0.009658342966602793,4.220764384040162e-17,0.9999999999999981,11.304423442877036,0.3161651737173471,6.7244102917287965,6.408923689874863,4.142913770202081e-07,0.030297311449261916,0.0001707510652105228,2.6524133787212363,1.1372991643300858,0.0,1.707510652105228e-07,0.0026524133787212364,0.0011372991643300858,0.0,0.001,0.001,0.001,0.0,0.10002978645433311,0.012052341822771514,0.0001,1e-05,False,0.0027222305853833407,0.08803705368200317,0.000973069606982534,5.172096024797074e-05,0.0009445022062843511,0.00065795281466141,11.053480336186045,1.533457264557747
