scheme,sample_index,T,symbol_index,k,l,probability
Learned PS fixed QAM,0,0.06516621137071377,0,0,0,4.142913770202081e-07
Learned PS fixed QAM,0,0.06516621137071377,1,0,1,1.6800343783563802e-06
Learned PS fixed QAM,0,0.06516621137071377,2,0,2,5.5779105703601995e-06
Learned PS fixed QAM,0,0.06516621137071377,3,0,3,1.5162332944179757e-05
Learned PS fixed QAM,0,0.06516621137071377,4,0,4,3.3744392538701706e-05
Learned PS fixed QAM,0,0.06516621137071377,5,0,5,6.148629205252569e-05
Learned PS fixed QAM,0,0.06516621137071377,6,0,6,9.172676905034185e-05
Learned PS fixed QAM,0,0.06516621137071377,7,0,7,0.00011203532871520856
Learned PS fixed QAM,0,0.06516621137071377,8,0,8,0.00011203532871520856
Learned PS fixed QAM,0,0.06516621137071377,9,0,9,9.172676905034185e-05
Learned PS fixed QAM,0,0.06516621137071377,10,0,10,6.148629205252569e-05
Learned PS fixed QAM,0,0.06516621137071377,11,0,11,3.3744392538701706e-05
Learned PS fixed QAM,0,0.06516621137071377,12,0,12,1.5162332944179757e-05
Learned PS fixed QAM,0,0.06516621137071377,13,0,13,5.5779105703601995e-06
Learned PS fixed QAM,0,0.06516621137071377,14,0,14,1.6800343783563802e-06
Learned PS fixed QAM,0,0.06516621137071377,15,0,15,4.142913770202081e-07
Learned PS fixed QAM,0,0.06516621137071377,16,1,0,1.6800343783563802e-06
Learned PS fixed QAM,0,0.06516621137071377,17,1,1,6.812875355408709e-06
Learned PS fixed QAM,0,0.06516621137071377,18,1,2,2.2619542759987207e-05
Learned PS fixed QAM,0,0.06516621137071377,19,1,3,6.148629205252558e-05
Learned PS fixed QAM,0,0.06516621137071377,20,1,4,0.0001368402595041369
Learned PS fixed QAM,0,0.06516621137071377,21,1,5,0.0002493392094928038
Learned PS fixed QAM,0,0.06516621137071377,22,1,6,0.0003719703908117155
Learned PS fixed QAM,0,0.06516621137071377,23,1,7,0.00045432566129134574
Learned PS fixed QAM,0,0.06516621137071377,24,1,8,0.00045432566129134574
Learned PS fixed QAM,0,0.06516621137071377,25,1,9,0.0003719703908117155
Learned PS fixed QAM,0,0.06516621137071377,26,1,10,0.0002493392094928038
Learned PS fixed QAM,0,0.06516621137071377,27,1,11,0.0001368402595041369
Learned PS fixed QAM,0,0.06516621137071377,28,1,12,6.148629205252558e-05
Learned PS fixed QAM,0,0.06516621137071377,29,1,13,2.2619542759987207e-05
Learned PS fixed QAM,0,0.06516621137071377,30,1,14,6.812875355408709e-06
Learned PS fixed QAM,0,0.06516621137071377,31,1,15,1.6800343783563802e-06
Learned PS fixed QAM,0,0.06516621137071377,32,2,0,5.5779105703601995e-06
Learned PS fixed QAM,0,0.06516621137071377,33,2,1,2.2619542759987207e-05
Learned PS fixed QAM,0,0.06516621137071377,34,2,2,7.509952670199656e-05
Learned PS fixed QAM,0,0.06516621137071377,35,2,3,0.0002041416787599121
Learned PS fixed QAM,0,0.06516621137071377,36,2,4,0.00045432566129134574
Learned PS fixed QAM,0,0.06516621137071377,37,2,5,0.0008278353289388113
Learned PS fixed QAM,0,0.06516621137071377,38,2,6,0.001234985189290904
Learned PS fixed QAM,0,0.06516621137071377,39,2,7,0.0015084143164868702
Learned PS fixed QAM,0,0.06516621137071377,40,2,8,0.0015084143164868702
Learned PS fixed QAM,0,0.06516621137071377,41,2,9,0.001234985189290904
Learned PS fixed QAM,0,0.06516621137071377,42,2,10,0.0008278353289388113
Learned PS fixed QAM,0,0.06516621137071377,43,2,11,0.00045432566129134574
Learned PS fixed QAM,0,0.06516621137071377,44,2,12,0.0002041416787599121
Learned PS fixed QAM,0,0.06516621137071377,45,2,13,7.509952670199656e-05
Learned PS fixed QAM,0,0.06516621137071377,46,2,14,2.2619542759987207e-05
Learned PS fixed QAM,0,0.06516621137071377,47,2,15,5.5779105703601995e-06
Learned PS fixed QAM,0,0.06516621137071377,48,3,0,1.5162332944179757e-05
Learned PS fixed QAM,0,0.06516621137071377,49,3,1,6.148629205252558e-05
Learned PS fixed QAM,0,0.06516621137071377,50,3,2,0.0002041416787599121
Learned PS fixed QAM,0,0.06516621137071377,51,3,3,0.0005549146158041928
Learned PS fixed QAM,0,0.06516621137071377,52,3,4,0.001234985189290904
Learned PS fixed QAM,0,0.06516621137071377,53,3,5,0.0022502897316107892
Learned PS fixed QAM,0,0.06516621137071377,54,3,6,0.003357037798465522
Learned PS fixed QAM,0,0.06516621137071377,55,3,7,0.004100295226293731
Learned PS fixed QAM,0,0.06516621137071377,56,3,8,0.004100295226293731
Learned PS fixed QAM,0,0.06516621137071377,57,3,9,0.003357037798465522
Learned PS fixed QAM,0,0.06516621137071377,58,3,10,0.0022502897316107892
Learned PS fixed QAM,0,0.06516621137071377,59,3,11,0.001234985189290904
Learned PS fixed QAM,0,0.06516621137071377,60,3,12,0.0005549146158041928
Learned PS fixed QAM,0,0.06516621137071377,61,3,13,0.0002041416787599121
Learned PS fixed QAM,0,0.06516621137071377,62,3,14,6.148629205252558e-05
Learned PS fixed QAM,0,0.06516621137071377,63,3,15,1.5162332944179757e-05
Learned PS fixed QAM,0,0.06516621137071377,64,4,0,3.3744392538701706e-05
Learned PS fixed QAM,0,0.06516621137071377,65,4,1,0.0001368402595041369
Learned PS fixed QAM,0,0.06516621137071377,66,4,2,0.00045432566129134574
Learned PS fixed QAM,0,0.06516621137071377,67,4,3,0.001234985189290904
Learned PS fixed QAM,0,0.06516621137071377,68,4,4,0.0027485100848489243
Learned PS fixed QAM,0,0.06516621137071377,69,4,5,0.00500811189866614
Learned PS fixed QAM,0,0.06516621137071377,70,4,6,0.007471225018981259
Learned PS fixed QAM,0,0.06516621137071377,71,4,7,0.009125374845018979
Learned PS fixed QAM,0,0.06516621137071377,72,4,8,0.009125374845018979
Learned PS fixed QAM,0,0.06516621137071377,73,4,9,0.007471225018981259
Learned PS fixed QAM,0,0.06516621137071377,74,4,10,0.00500811189866614
Learned PS fixed QAM,0,0.06516621137071377,75,4,11,0.0027485100848489243
Learned PS fixed QAM,0,0.06516621137071377,76,4,12,0.001234985189290904
Learned PS fixed QAM,0,0.06516621137071377,77,4,13,0.00045432566129134574
Learned PS fixed QAM,0,0.06516621137071377,78,4,14,0.0001368402595041369
Learned PS fixed QAM,0,0.06516621137071377,79,4,15,3.3744392538701706e-05
Learned PS fixed QAM,0,0.06516621137071377,80,5,0,6.148629205252569e-05
Learned PS fixed QAM,0,0.06516621137071377,81,5,1,0.0002493392094928038
Learned PS fixed QAM,0,0.06516621137071377,82,5,2,0.0008278353289388113
Learned PS fixed QAM,0,0.06516621137071377,83,5,3,0.0022502897316107892
Learned PS fixed QAM,0,0.06516621137071377,84,5,4,0.00500811189866614
Learned PS fixed QAM,0,0.06516621137071377,85,5,5,0.009125374845018987
Learned PS fixed QAM,0,0.06516621137071377,86,5,6,0.013613459569033697
Learned PS fixed QAM,0,0.06516621137071377,87,5,7,0.016627517065719716
Learned PS fixed QAM,0,0.06516621137071377,88,5,8,0.016627517065719716
Learned PS fixed QAM,0,0.06516621137071377,89,5,9,0.013613459569033697
Learned PS fixed QAM,0,0.06516621137071377,90,5,10,0.009125374845018987
Learned PS fixed QAM,0,0.06516621137071377,91,5,11,0.00500811189866614
Learned PS fixed QAM,0,0.06516621137071377,92,5,12,0.0022502897316107892
Learned PS fixed QAM,0,0.06516621137071377,93,5,13,0.0008278353289388113
Learned PS fixed QAM,0,0.06516621137071377,94,5,14,0.0002493392094928038
Learned PS fixed QAM,0,0.06516621137071377,95,5,15,6.148629205252569e-05
Learned PS fixed QAM,0,0.06516621137071377,96,6,0,9.172676905034185e-05
Learned PS fixed QAM,0,0.06516621137071377,97,6,1,0.0003719703908117155
Learned PS fixed QAM,0,0.06516621137071377,98,6,2,0.001234985189290904
Learned PS fixed QAM,0,0.06516621137071377,99,6,3,0.003357037798465522
Learned PS fixed QAM,0,0.06516621137071377,100,6,4,0.007471225018981259
Learned PS fixed QAM,0,0.06516621137071377,101,6,5,0.013613459569033697
Learned PS fixed QAM,0,0.06516621137071377,102,6,6,0.02030889520542535
Learned PS fixed QAM,0,0.06516621137071377,103,6,7,0.024805340619092377
Learned PS fixed QAM,0,0.06516621137071377,104,6,8,0.024805340619092377
Learned PS fixed QAM,0,0.06516621137071377,105,6,9,0.02030889520542535
Learned PS fixed QAM,0,0.06516621137071377,106,6,10,0.013613459569033697
Learned PS fixed QAM,0,0.06516621137071377,107,6,11,0.007471225018981259
Learned PS fixed QAM,0,0.06516621137071377,108,6,12,0.003357037798465522
Learned PS fixed QAM,0,0.06516621137071377,109,6,13,0.001234985189290904
Learned PS fixed QAM,0,0.06516621137071377,110,6,14,0.0003719703908117155
Learned PS fixed QAM,0,0.06516621137071377,111,6,15,9.172676905034185e-05
Learned PS fixed QAM,0,0.06516621137071377,112,7,0,0.00011203532871520856
Learned PS fixed QAM,0,0.06516621137071377,113,7,1,0.00045432566129134574
Learned PS fixed QAM,0,0.06516621137071377,114,7,2,0.0015084143164868702
Learned PS fixed QAM,0,0.06516621137071377,115,7,3,0.004100295226293731
Learned PS fixed QAM,0,0.06516621137071377,116,7,4,0.009125374845018979
Learned PS fixed QAM,0,0.06516621137071377,117,7,5,0.016627517065719716
Learned PS fixed QAM,0,0.06516621137071377,118,7,6,0.024805340619092377
Learned PS fixed QAM,0,0.06516621137071377,119,7,7,0.030297311449261916
Learned PS fixed QAM,0,0.06516621137071377,120,7,8,0.030297311449261916
Learned PS fixed QAM,0,0.06516621137071377,121,7,9,0.024805340619092377
Learned PS fixed QAM,0,0.06516621137071377,122,7,10,0.016627517065719716
Learned PS fixed QAM,0,0.06516621137071377,123,7,11,0.009125374845018979
Learned PS fixed QAM,0,0.06516621137071377,124,7,12,0.004100295226293731
Learned PS fixed QAM,0,0.06516621137071377,125,7,13,0.0015084143164868702
Learned PS fixed QAM,0,0.06516621137071377,126,7,14,0.00045432566129134574
Learned PS fixed QAM,0,0.06516621137071377,127,7,15,0.00011203532871520856
Learned PS fixed QAM,0,0.06516621137071377,128,8,0,0.00011203532871520856
Learned PS fixed QAM,0,0.06516621137071377,129,8,1,0.00045432566129134574
Learned PS fixed QAM,0,0.06516621137071377,130,8,2,0.0015084143164868702
Learned PS fixed QAM,0,0.06516621137071377,131,8,3,0.004100295226293731
Learned PS fixed QAM,0,0.06516621137071377,132,8,4,0.009125374845018979
Learned PS fixed QAM,0,0.06516621137071377,133,8,5,0.016627517065719716
Learned PS fixed QAM,0,0.06516621137071377,134,8,6,0.024805340619092377
Learned PS fixed QAM,0,0.06516621137071377,135,8,7,0.030297311449261916
Learned PS fixed QAM,0,0.06516621137071377,136,8,8,0.030297311449261916
Learned PS fixed QAM,0,0.06516621137071377,137,8,9,0.024805340619092377
Learned PS fixed QAM,0,0.06516621137071377,138,8,10,0.016627517065719716
Learned PS fixed QAM,0,0.06516621137071377,139,8,11,0.009125374845018979
Learned PS fixed QAM,0,0.06516621137071377,140,8,12,0.004100295226293731
Learned PS fixed QAM,0,0.06516621137071377,141,8,13,0.0015084143164868702
Learned PS fixed QAM,0,0.06516621137071377,142,8,14,0.00045432566129134574
Learned PS fixed QAM,0,0.06516621137071377,143,8,15,0.00011203532871520856
Learned PS fixed QAM,0,0.06516621137071377,144,9,0,9.172676905034185e-05
Learned PS fixed QAM,0,0.06516621137071377,145,9,1,0.0003719703908117155
Learned PS fixed QAM,0,0.06516621137071377,146,9,2,0.001234985189290904
Learned PS fixed QAM,0,0.06516621137071377,147,9,3,0.003357037798465522
Learned PS fixed QAM,0,0.06516621137071377,148,9,4,0.007471225018981259
Learned PS fixed QAM,0,0.06516621137071377,149,9,5,0.013613459569033697
Learned PS fixed QAM,0,0.06516621137071377,150,9,6,0.02030889520542535
Learned PS fixed QAM,0,0.06516621137071377,151,9,7,0.024805340619092377
Learned PS fixed QAM,0,0.06516621137071377,152,9,8,0.024805340619092377
Learned PS fixed QAM,0,0.06516621137071377,153,9,9,0.02030889520542535
Learned PS fixed QAM,0,0.06516621137071377,154,9,10,0.013613459569033697
Learned PS fixed QAM,0,0.06516621137071377,155,9,11,0.007471225018981259
