component,analytical_gradient,finite_difference_gradient,absolute_error,relative_error,passed
probability_logit,9.439465905981794e-05,9.439450332493492e-05,1.557348830243891e-10,1.6498272738683216e-06,True
I_coordinate,0.0005645994102192975,0.0005645994893832551,7.916395761576461e-11,1.4021259158813625e-07,True
Q_coordinate,-0.000344752266734798,-0.0003447520914579005,1.752768975424833e-10,5.084140539598416e-07,True
