parameter_name,parameter_value,parameter_unit,scheme,mean_I_AB,std_I_AB,mean_chi_BE,std_chi_BE,mean_beta_I_AB,std_beta_I_AB,mean_K_raw,std_K_raw,mean_K_positive,std_K_positive,ci95_low,ci95_high,repetitions,ncut
link_distance,20.0,km,Uniform QAM,0.09425904237435972,0.0037499865507584318,0.07828490175316369,0.002984657986289992,0.08954609025564172,0.0035624872232205107,0.011261188502478042,0.0005800566796838881,0.01126131175981549,0.0005800273715267518,0.010541112654617962,0.011981510865013017,5,150
link_distance,20.0,km,Maxwell-Boltzmann QAM,0.09430450535177641,0.003721293720975928,0.06357171725385219,0.0024390053548458052,0.0895892800841876,0.003535229034927129,0.0260175628303354,0.0011038704106036417,0.0260175628303354,0.0011038704106036417,0.024646926682806446,0.02738819897786435,5,150
link_distance,20.0,km,Binomial QAM,0.09431293459642873,0.003719643351550713,0.06377307355159904,0.002446662204522715,0.08959728786660727,0.0035336611839731787,0.02582421431500821,0.0010982582602832294,0.02582421431500821,0.0010982582602832294,0.024460546572484622,0.027187882057531795,5,150
link_distance,20.0,km,GS,0.09425925547034412,0.003749976126162569,0.07720890670738052,0.002945316791649394,0.08954629269682693,0.003562477319854443,0.012337385989446396,0.0006192012558957333,0.012337408705863738,0.0006191935532038474,0.011568578362930652,0.013106239048796825,5,150
link_distance,20.0,km,PS,0.09430450535177773,0.003721293720975914,0.06357171725385899,0.0024390053548461253,0.08958928008418884,0.0035352290349271193,0.02601756283032986,0.00110387041060333,0.02601756283032986,0.00110387041060333,0.024646926682801298,0.027388198977858425,5,150
link_distance,20.0,km,PS+GS,0.09430450414140609,0.0037212795037961537,0.0635353111216143,0.0024376192946049995,0.08958927893433578,0.0035352155286063488,0.026053967812721495,0.0011052317981902482,0.026053967812721495,0.0011052317981902482,0.024681641279238654,0.027426294346204336,5,150
link_distance,24.0,km,Uniform QAM,0.0461389524026556,0.0015243967655191747,0.039254819059953164,0.0012475917742886232,0.04383200478252282,0.0014481769272432143,0.0045771857225696665,0.00020175574966841195,0.004577600168407633,0.00020165074368413827,0.004327217699764022,0.004827982637051243,5,150
link_distance,24.0,km,Maxwell-Boltzmann QAM,0.046130439782748375,0.0015385015774322943,0.03167408192308095,0.00101997361074191,0.043823917793610945,0.001461576498560682,0.012149835870529991,0.00044252496142173944,0.012149835870529991,0.00044252496142173944,0.011600368557626107,0.012699303183433876,5,150
link_distance,24.0,km,Binomial QAM,0.04612368259452176,0.0015382036201357654,0.03177532243436838,0.0010231132624457008,0.04381749846479567,0.0014612934391289784,0.012042176030427287,0.000439016076909767,0.012042176030427287,0.000439016076909767,0.011497065573095773,0.012587286487758802,5,150
link_distance,24.0,km,GS,0.046138979496160075,0.0015243919430727563,0.03869297168471475,0.0012310158337537449,0.04383203052135206,0.0014481723459191188,0.00513905883663731,0.00021820048154623457,0.005139161986328153,0.0002181567260279803,0.004868284633653208,0.005410039339003099,5,150
link_distance,24.0,km,PS,0.04613043978274969,0.0015385015774323065,0.03167408192308438,0.0010199736107419377,0.0438239177936122,0.0014615764985606938,0.012149835870527818,0.0004425249614217205,0.012149835870527818,0.0004425249614217205,0.011600368557623957,0.012699303183431678,5,150
link_distance,24.0,km,PS+GS,0.04613043812865713,0.0015385009257936416,0.03165579922078235,0.0010194057237541067,0.04382391622222428,0.0014615758795039578,0.012168117001441919,0.0004430904895898156,0.012168117001441919,0.0004430904895898156,0.011617947492571765,0.012718286510312073,5,150
link_distance,28.0,km,Uniform QAM,0.022261573603899517,0.0009239131265181655,0.019337438589363525,0.0008066678334451545,0.02114849492370454,0.0008777174701922576,0.0018110563343410138,7.227923714586485e-05,0.0018118936283568969,7.231185143989773e-05,0.0017221066057805166,0.0019016806509332771,5,150
link_distance,28.0,km,Maxwell-Boltzmann QAM,0.022263225233604557,0.000937235922144732,0.01544112091430346,0.0006491165583706153,0.021150063971924326,0.0008903741260374948,0.005708943057620868,0.00024185172097427097,0.005708943057620868,0.00024185172097427097,0.0054086444827834935,0.006009241632458243,5,150
link_distance,28.0,km,Binomial QAM,0.02226254187734576,0.000940614490307814,0.015492050292857218,0.0006512020786580464,0.02114941478347847,0.000893583765792424,0.005657364490621253,0.00024321382220598008,0.005657364490621253,0.00024321382220598008,0.005355374643722556,0.0059593543375199495,5,150
link_distance,28.0,km,GS,0.02226157380781251,0.0009239143889401991,0.019045382850014357,0.0007949336773532079,0.021148495117421888,0.0008777186694931885,0.002103112267407528,8.373358989226147e-05,0.002103323305029574,8.37323867299839e-05,0.001999355814943278,0.0022072907951158696,5,150
link_distance,28.0,km,PS,0.022263225233605924,0.0009372359221448067,0.015441120914305195,0.0006491165583707194,0.021150063971925627,0.0008903741260375657,0.00570894305762043,0.00024185172097423763,0.00570894305762043,0.00024185172097423763,0.005408644482783097,0.0060092416324577635,5,150
link_distance,28.0,km,PS+GS,0.02226322306789606,0.0009372366546750909,0.015431933746060677,0.0006487401039233163,0.021150061914501257,0.0008903748219413363,0.0057181281684405795,0.00024222694653163856,0.0057181281684405795,0.00024222694653163856,0.005417363689537416,0.006018892647343743,5,150
link_distance,32.0,km,Uniform QAM,0.01155968183006165,0.0005795974672190188,0.01020897185011101,0.0004998195038174399,0.010981697738558565,0.0005506175938580677,0.0007727258884475569,5.126638642520065e-05,0.0007741316785187093,5.1238887629749724e-05,0.0007105101964408407,0.0008377531605965778,5,150
link_distance,32.0,km,Maxwell-Boltzmann QAM,0.011560642219559747,0.0005835367865027037,0.008062780540531861,0.000402059604637818,0.01098261010858176,0.0005543599471775687,0.0029198295680499006,0.00015246194868959227,0.0029198295680499006,0.00015246194868959227,0.002730523055266044,0.0031091360808337574,5,150
link_distance,32.0,km,Binomial QAM,0.011561568496824107,0.0005849121054737053,0.008090373824404222,0.0004033482335599298,0.0109834900719829,0.0005556665002000206,0.0028931162475786796,0.0001525024632487812,0.0028931162475786796,0.0001525024632487812,0.002703759429325275,0.003082473065832084,5,150
link_distance,32.0,km,GS,0.011559680847747906,0.0005795976061818292,0.010046739276177264,0.000492523136789163,0.010981696805360508,0.0005506177258727373,0.0009349575291832442,5.847786299343354e-05,0.0009353267687952794,5.847781014498112e-05,0.0008627169772444614,0.0010079365603460975,5,150
link_distance,32.0,km,PS,0.011560642219561115,0.0005835367865027226,0.008062780540532862,0.0004020596046378741,0.01098261010858306,0.0005543599471775863,0.0029198295680501977,0.0001524619486895531,0.0029198295680501977,0.0001524619486895531,0.00273052305526639,0.0031091360808340055,5,150
link_distance,32.0,km,PS+GS,0.011560642812055818,0.0005835378872193595,0.00805780723953004,0.0004018270470407507,0.010982610671453027,0.0005543609928583915,0.0029248034319229862,0.0001526953016794477,0.0029248034319229862,0.0001526953016794477,0.002735207173132753,0.0031143996907132196,5,150
link_distance,36.0,km,Uniform QAM,0.006053750980511769,0.0005136457032433623,0.005433570497123874,0.0004534895341253518,0.00575106343148618,0.00048796341808119407,0.0003174929343623068,3.462974184694669e-05,0.0003192984325064386,3.4488322753844036e-05,0.0002764755237845587,0.00036212134122831847,5,150
link_distance,36.0,km,Maxwell-Boltzmann QAM,0.006054656129356631,0.0005055333043348491,0.004237576977858042,0.0003590663617283847,0.0057519233228888,0.00048025663911810634,0.0015143463450307574,0.00012132246765241372,0.0015143463450307574,0.00012132246765241372,0.0013637046047735143,0.0016649880852880005,5,150
link_distance,36.0,km,Binomial QAM,0.0060555645407697044,0.0005033160028614796,0.00425271915344052,0.00036028270272388333,0.005752786313731219,0.0004781502027184055,0.0015000671602906994,0.00011799407822265213,0.0015000671602906994,0.00011799407822265213,0.0013535581613603933,0.0016465761592210056,5,150
link_distance,36.0,km,GS,0.00605375074040423,0.0005136457234843373,0.005342471353158737,0.0004463587083834849,0.005751063203384019,0.00048796343731012036,0.0004085918502252806,4.172794744178354e-05,0.0004090961994130911,4.168848619513549e-05,0.00035733310696497663,0.00046085929186120555,5,150
link_distance,36.0,km,PS,0.0060546561293580116,0.0005055333043348431,0.004237576977858551,0.0003590663617284462,0.005751923322890111,0.0004802566391181009,0.0015143463450315604,0.00012132246765234888,0.0015143463450315604,0.00012132246765234888,0.0013637046047743977,0.001664988085288723,5,150
link_distance,36.0,km,PS+GS,0.006054656047193271,0.0005055330472388223,0.004234850026016548,0.0003588471105227687,0.005751923244833607,0.00048025639487688095,0.0015170732188170596,0.00012154119895550174,0.0015170732188170596,0.00012154119895550174,0.0013661598877754918,0.0016679865498586274,5,150
link_distance,40.0,km,Uniform QAM,0.0030357922853795926,0.0003970689757559527,0.002764137945689543,0.0003582593432496876,0.0028840026711106125,0.0003772155269681552,0.00011986472542106973,1.908291169153955e-05,0.00012212515240519824,1.8904403667477158e-05,9.86522349637806e-05,0.0001455980698466159,5,150
link_distance,40.0,km,Maxwell-Boltzmann QAM,0.003034870568795211,0.00039977635477102686,0.0021283714436948382,0.0002791997259996303,0.00288312704035545,0.00037978753703247543,0.0007547555966606123,0.000100632902538598,0.0007547555966606123,0.000100632902538598,0.0006298033445436867,0.0008797078487775378,5,150
link_distance,40.0,km,Binomial QAM,0.0030346150081934802,0.0004008781192981455,0.0021363149778781494,0.00028019926955869624,0.002882884257783806,0.00038083421333323826,0.000746569279905657,0.0001006955427444593,0.000746569279905657,0.0001006955427444593,0.0006215392497002734,0.0008715993101110406,5,150
link_distance,40.0,km,GS,0.0030357922541024984,0.0003970691288404791,0.002715399413750599,0.00035223290911450125,0.0028840026413973732,0.0003772156723984552,0.0001686032276467735,2.5065912397564244e-05,0.00016928938370460852,2.50017410573483e-05,0.00013824562194128615,0.00020033314546793088,5,150
link_distance,40.0,km,PS,0.0030348705687965804,0.0003997763547710491,0.0021283714436950937,0.00027919972599965595,0.002883127040356751,0.0003797875370324965,0.000754755596661658,0.00010063290253859427,0.000754755596661658,0.00010063290253859427,0.0006298033445447371,0.0008797078487785789,5,150
link_distance,40.0,km,PS+GS,0.003034870493463491,0.0003997764302714185,0.0021269419077298434,0.0002790197311391276,0.002883126968790316,0.00037978760875784754,0.0007561850610604728,0.00010081291694874006,0.0007561850610604728,0.00010081291694874006,0.000631009291531316,0.0008813608305896296,5,150
link_distance,44.0,km,Uniform QAM,0.0014735570933040606,0.00016798210852055252,0.001361873063586694,0.00015270574447005615,0.0013998792386388573,0.0001595830030945248,3.8006175052163576e-05,6.956709298019862e-06,4.075178863814117e-05,6.8175587568877435e-06,3.228667137407483e-05,4.921690590220751e-05,5,150
link_distance,44.0,km,Maxwell-Boltzmann QAM,0.0014749722384522206,0.00016813238685167698,0.001035054776061254,0.00011785544978097199,0.0014012236265296095,0.00015972576750909317,0.0003661688504683554,4.1891494731746106e-05,0.0003661688504683596,4.189149473174064e-05,0.0003141536896290145,0.00041818401130770466,5,150
link_distance,44.0,km,Binomial QAM,0.001475141431156276,0.00016811188585014566,0.001039089937882953,0.00011829166996344255,0.001401384359598462,0.00015970629155763843,0.0003622944217155092,4.143845133778233e-05,0.00036229442171551335,4.143845133777681e-05,0.00031084178854807716,0.00041374705488294954,5,150
link_distance,44.0,km,GS,0.0014735570888376986,0.00016798208764762929,0.0013366765836329794,0.0001500362823217779,0.0013998792343958137,0.00015958298326524786,6.32026507628342e-05,9.601623586346109e-06,6.404320175908489e-05,9.508913770803931e-06,5.223632586785362e-05,7.585007765031615e-05,5,150
link_distance,44.0,km,PS,0.0014749722384535945,0.00016813238685162095,0.0010350547760614053,0.00011785544978098744,0.0014012236265309144,0.00015972576750903985,0.00036616885046950943,4.189149473167649e-05,0.0003661688504695136,4.189149473167103e-05,0.00031415368963025493,0.00041818401130877227,5,150
link_distance,44.0,km,PS+GS,0.0014749723605022047,0.0001681322926572733,0.0010343290683459282,0.00011777693866676811,0.0014012237424770944,0.00015972567802440956,0.00036689467413116613,4.196989664958507e-05,0.00036689467413117025,4.1969896649579594e-05,0.00031478216445305436,0.00041900718380928615,5,150
link_distance,48.0,km,Uniform QAM,0.0008742392035674486,8.744246970579045e-05,0.0008183359719140873,8.109267466541037e-05,0.0008305272433890761,8.307034622050089e-05,1.219127147498882e-05,2.0699285673885622e-06,1.51449236688581e-05,1.9526974193592254e-06,1.2720329583854347e-05,1.7569517753861852e-05,5,150
