ncut,scheme,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,abs_delta_K_raw_vs_full
20,Uniform QAM,0.16452268878909404,0.13462982737935159,0.15629655434963932,0.021666726970287736,0.021666726970287736,1.7813750474715562e-11
20,Maxwell-Boltzmann QAM,0.1623702511630718,0.10962728744558836,0.1542517386049182,0.044624451159329837,0.044624451159329837,3.576881668787557e-05
20,Binomial QAM,0.1608351100708285,0.10996705424733144,0.15279335456728707,0.04282630031995563,0.04282630031995563,2.7200880205802136e-05
20,GS,0.16454046373691877,0.1328156094759112,0.15631344055007282,0.023497831074161618,0.023497831074161618,2.5872193276654798e-11
20,PS,0.1623702511630727,0.1096272874455968,0.15425173860491906,0.04462445115932226,0.04462445115932226,3.57688166929826e-05
20,PS+GS,0.1623752052377876,0.10956904034116466,0.15425644497589822,0.04468740463473356,0.04468740463473356,4.0500947294130896e-05
24,Uniform QAM,0.16452268878909404,0.13462982736153783,0.15629655434963932,0.021666726988101487,0.021666726988101487,0.0
24,Maxwell-Boltzmann QAM,0.1623702511630718,0.10959151862890049,0.1542517386049182,0.04466021997601771,0.04466021997601771,0.0
24,Binomial QAM,0.1608351100708285,0.10993985336712564,0.15279335456728707,0.04285350120016143,0.04285350120016143,0.0
24,GS,0.16454046373691877,0.132815609450039,0.15631344055007282,0.02349783110003381,0.02349783110003381,0.0
24,PS,0.1623702511630727,0.10959151862890382,0.15425173860491906,0.04466021997601524,0.04466021997601524,0.0
24,PS+GS,0.1623752052377876,0.10952853939387053,0.15425644497589822,0.04472790558202769,0.04472790558202769,0.0
