parameter_name,parameter_value,parameter_unit,repetition,seed,Delta_K_PS_vs_Uniform,Delta_K_GS_vs_Uniform,Delta_K_PS+GS_vs_PS
link_distance,20.0,km,0,302026,0.009964560958583717,0.0012833431038255863,4.352230777995153e-05
link_distance,20.0,km,1,303026,0.014839488229252046,0.0012911914983462641,4.134429973934317e-05
link_distance,100.0,km,0,302026,8.593126210598709e-15,0.0,8.437694987151215e-16
link_distance,100.0,km,1,303026,2.3003860201153953e-07,0.0,1.3110827978835005e-09
