sample_id,distance_km,r_i,eta_point_i,T_i,loss_total_db_i,chi_line_i,chi_tot_i,X_tot_i,I_AB_i,chi_BE_i,SKR_i,SKR_clipped_i
0,60.0000000000,308.0532070107,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
0,60.0000000000,232.9547555590,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
1,60.0000000000,191.4246072428,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
2,60.0000000000,92.3248801597,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
3,60.0000000000,127.6322321525,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
4,60.0000000000,40.6318468600,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
5,60.0000000000,239.6925929336,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
6,60.0000000000,280.7084457118,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
7,60.0000000000,290.7037848793,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
8,60.0000000000,412.6531699357,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
9,60.0000000000,302.5793585163,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
10,60.0000000000,440.9939582089,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
11,60.0000000000,470.2015747995,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
12,60.0000000000,158.7200034955,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
13,60.0000000000,269.6764013648,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
14,60.0000000000,327.2840398200,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
15,60.0000000000,288.6817122371,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
16,60.0000000000,438.7519380378,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
17,60.0000000000,58.1571084942,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
18,60.0000000000,593.9356255693,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
19,60.0000000000,214.5376559294,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
20,60.0000000000,332.3889528059,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
21,60.0000000000,274.3699556723,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
22,60.0000000000,44.3095697085,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
23,60.0000000000,174.9103757318,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
24,60.0000000000,206.5939953242,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
25,60.0000000000,170.7715745708,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
26,60.0000000000,332.8244768659,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
27,60.0000000000,513.8644440602,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
28,60.0000000000,226.1322369776,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
29,60.0000000000,554.1015173015,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
30,60.0000000000,328.8675968869,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
31,60.0000000000,126.8336376285,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
32,60.0000000000,319.6161351711,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
33,60.0000000000,456.2393035558,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
34,60.0000000000,478.1525262820,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
35,60.0000000000,75.7193773088,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
36,60.0000000000,251.8678190907,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
37,60.0000000000,256.4979296975,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
38,60.0000000000,348.9017543238,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
39,60.0000000000,377.7853217267,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
40,60.0000000000,262.9579586127,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
41,60.0000000000,502.7162146202,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
42,60.0000000000,237.0886644162,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
43,60.0000000000,246.5610709694,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
44,60.0000000000,137.1531710731,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
45,60.0000000000,26.6239721091,nan,0.0000000000,900.9630490508,nan,nan,nan,nan,nan,nan,nan
46,60.0000000000,683.2813250790,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
47,60.0000000000,261.0417985307,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
48,60.0000000000,437.7341119529,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
49,60.0000000000,281.9135606971,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
50,60.0000000000,243.3158849287,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
51,60.0000000000,106.8453759959,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
52,60.0000000000,162.7298665424,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
53,60.0000000000,102.5039021008,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
54,60.0000000000,275.0638170778,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
55,60.0000000000,139.4153071982,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
56,60.0000000000,496.2028079203,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
57,60.0000000000,541.9732305172,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
58,60.0000000000,499.8455767068,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
59,60.0000000000,147.8739227207,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
60,60.0000000000,287.4231811817,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
61,60.0000000000,158.5741471983,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
