sample_id,distance_km,r_i,eta_point_i,T_i,loss_total_db_i,chi_line_i,chi_tot_i,X_tot_i,I_AB_i,chi_BE_i,SKR_i,SKR_clipped_i
0,60.0000000000,228.6964780979,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
1,60.0000000000,699.7532748084,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
2,60.0000000000,491.6555659446,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
3,60.0000000000,136.3459750180,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
4,60.0000000000,125.3786279808,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
5,60.0000000000,274.2370587693,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
6,60.0000000000,391.9363125195,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
7,60.0000000000,143.8647802829,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
8,60.0000000000,43.1030098553,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
9,60.0000000000,127.6554334207,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
10,60.0000000000,146.3781644588,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
11,60.0000000000,157.5191504581,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
12,60.0000000000,186.8052554295,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
13,60.0000000000,273.0866451659,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
14,60.0000000000,144.5399845592,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
15,60.0000000000,116.9685734362,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
16,60.0000000000,437.7703458631,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
17,60.0000000000,265.1677901069,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
18,60.0000000000,323.2862273888,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
19,60.0000000000,419.4394399168,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
20,60.0000000000,273.3045166294,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
21,60.0000000000,115.6935501564,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
22,60.0000000000,144.6108848988,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
23,60.0000000000,212.9680310920,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
24,60.0000000000,154.8780816654,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
25,60.0000000000,541.5999684741,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
26,60.0000000000,111.5586036765,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
27,60.0000000000,256.8433903188,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
28,60.0000000000,252.4416394926,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
29,60.0000000000,334.9004697009,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
30,60.0000000000,185.9261941591,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
