run_id,timestamp,distance_km,V_A,beta,I_AB,chi_BE,Delta,epsilon_total,n_block,N_block,SKR,SKR_clipped
20260501_224538,2026-05-01 22:45:38,25.2631578947,2.6000000000,0.9500000000,0.0000002160,0.0000003214,0.0181933236,0.0000000300,100000000,100000000,-0.0000001162,0.0000000000
20260501_224538,2026-05-01 22:45:38,25.2631578947,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224538,2026-05-01 22:45:38,25.2631578947,2.6000000000,0.9500000000,0.0000001151,0.0000001713,0.0181933236,0.0000000300,100000000,100000000,-0.0000000620,0.0000000000
20260501_224538,2026-05-01 22:45:38,25.2631578947,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224538,2026-05-01 22:45:38,28.1578947368,2.6000000000,0.9500000000,0.0000000966,0.0000001438,0.0181933236,0.0000000300,100000000,100000000,-0.0000000520,0.0000000000
20260501_224538,2026-05-01 22:45:38,28.1578947368,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224538,2026-05-01 22:45:38,28.1578947368,2.6000000000,0.9500000000,0.0000001216,0.0000001810,0.0181933236,0.0000000300,100000000,100000000,-0.0000000655,0.0000000000
20260501_224538,2026-05-01 22:45:38,28.1578947368,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224538,2026-05-01 22:45:38,31.0526315789,2.6000000000,0.9500000000,0.0000000555,0.0000000827,0.0181933236,0.0000000300,100000000,100000000,-0.0000000299,0.0000000000
20260501_224538,2026-05-01 22:45:38,31.0526315789,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224538,2026-05-01 22:45:38,31.0526315789,2.6000000000,0.9500000000,0.0000000839,0.0000001249,0.0181933236,0.0000000300,100000000,100000000,-0.0000000452,0.0000000000
20260501_224538,2026-05-01 22:45:38,31.0526315789,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224538,2026-05-01 22:45:38,33.9473684211,2.6000000000,0.9500000000,0.0000000584,0.0000000869,0.0181933236,0.0000000300,100000000,100000000,-0.0000000315,0.0000000000
20260501_224538,2026-05-01 22:45:38,33.9473684211,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224538,2026-05-01 22:45:38,33.9473684211,2.6000000000,0.9500000000,0.0000000459,0.0000000684,0.0181933236,0.0000000300,100000000,100000000,-0.0000000247,0.0000000000
20260501_224538,2026-05-01 22:45:38,33.9473684211,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
20260501_224538,2026-05-01 22:45:38,36.8421052632,2.6000000000,0.9500000000,0.0000000476,0.0000000708,0.0181933236,0.0000000300,100000000,100000000,-0.0000000256,0.0000000000
20260501_224539,2026-05-01 22:45:39,36.8421052632,2.6000000000,0.9500000000,0.0000000000,0.0000000000,0.0181933236,0.0000000300,100000000,100000000,0.0000000000,0.0000000000
