run_id,timestamp,distance_km,T_eff,chi_tot,eta_atm,loss_total_db,SKR,status
20260501_224538,2026-05-01 22:45:38,33.9473684211,0.0000001254,16158180.1740039494,0.0316382961,69.0175303231,-0.0000000315,outage
20260501_224538,2026-05-01 22:45:38,33.9473684211,0.0000000000,2025999999999999.0000000000,0.0316382961,inf,0.0000000000,ok
20260501_224538,2026-05-01 22:45:38,33.9473684211,0.0000000986,20550459.1623926610,0.0316382961,70.0618210993,-0.0000000247,outage
20260501_224538,2026-05-01 22:45:38,33.9473684211,0.0000000000,2025999999999999.0000000000,0.0316382961,inf,0.0000000000,ok
20260501_224538,2026-05-01 22:45:38,36.8421052632,0.0000001022,19833035.7719263956,0.0235680841,69.9074977605,-0.0000000256,outage
20260501_224539,2026-05-01 22:45:39,36.8421052632,0.0000000000,2025999999999999.0000000000,0.0235680841,inf,0.0000000000,ok
20260501_224539,2026-05-01 22:45:39,36.8421052632,0.0000001086,18648638.3362550363,0.0235680841,69.6400770876,-0.0000000273,outage
20260501_224539,2026-05-01 22:45:39,36.8421052632,0.0000000000,2025999999999999.0000000000,0.0235680841,inf,0.0000000000,ok
20260501_224539,2026-05-01 22:45:39,39.7368421053,0.0000000310,65399211.9555177540,0.0175564003,75.0893308082,-0.0000000078,outage
20260501_224539,2026-05-01 22:45:39,39.7368421053,0.0000000000,2025999999999999.0000000000,0.0175564003,inf,0.0000000000,ok
20260501_224539,2026-05-01 22:45:39,39.7368421053,0.0000000536,37810930.6494738460,0.0175564003,72.7097793734,-0.0000000135,outage
20260501_224539,2026-05-01 22:45:39,39.7368421053,0.0000000000,2025999999999999.0000000000,0.0175564003,inf,0.0000000000,ok
20260501_224539,2026-05-01 22:45:39,42.6315789474,0.0000000337,60067909.4216391742,0.0130781606,74.7200308341,-0.0000000085,outage
20260501_224539,2026-05-01 22:45:39,42.6315789474,0.0000000000,2025999999999999.0000000000,0.0130781606,inf,0.0000000000,ok
