stage,epoch,loss_total,loss_skr,loss_separation,loss_peak,loss_drift,loss_entropy,mean_i_ab,mean_chi_be,mean_raw_skr,probability_gradient_norm,geometry_gradient_norm,gumbel_temperature,validation_raw_skr
ps,1,-0.02758656908306153,-0.03137022927806678,0.00017119382356170924,2.646981628846937,1.1365073723347483,0.0,0.10781781563426973,0.07105669557448946,0.03137022927806678,0.1523495903808159,0.0,0.1,0.025700599558495414
gs,1,-0.011097458193464974,-0.011104680776389278,0.007222582924303851,0.0,0.0,0.0,0.1038036045634767,0.08750874355891358,0.011104680776389278,0.0,0.013102605647688276,0.1,0.009765256094611308
joint,1,-0.01580139284005041,-0.01900800052451662,0.00020479341297000345,2.156295903033171,1.050106988020069,0.0,0.09541392724977316,0.07163523036276787,0.01900800052451662,0.158005662366315,0.01623050764975363,0.1,0.02514447072960937
