scheme,H_X,I_AB_discrete,chi_BE,raw_SKR,reported_positive_SKR,w,Z,Tr_C,mean_transmittance,SKR_outage_probability
Uniform fixed QAM,8.0,0.11247008740278701,0.09350773579767784,0.013338847234969817,0.013338847234969817,0.02654334039792318,0.7827358350492416,1.4019995788729627,0.081882152434764,0.0
MB fixed QAM,6.408923689874861,0.11387469464930582,0.07599295722841763,0.032188002688422895,0.032188002688422895,3.549923587231355e-05,0.7915282274583425,1.4141973737780098,0.081882152434764,0.0
Learned PS fixed QAM,6.438716726313775,0.11393687409016036,0.07659450463870769,0.03164552574694465,0.03164552574694465,0.00036080820759352175,0.7912930162129307,1.4140270557996482,0.081882152434764,0.0
Learned GS uniform probabilities,8.0,0.11247010338586498,0.0934943465606511,0.013352251655920617,0.013352251655920617,0.026517653622847154,0.7827436894503731,1.4020118475895915,0.081882152434764,0.0
Learned joint PS+GS,6.495706713607631,0.11234966734237606,0.07700410181551394,0.02972808215974331,0.02972808215974331,0.0006738098630131626,0.791123907035692,1.4138493156007106,0.081882152434764,0.0
