ncut,scheme,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,abs_delta_K_raw_vs_full
20,Uniform QAM,0.1590745426804805,0.13462982737935514,0.15112081554645646,0.016490988167101317,0.016490988167101317,1.7819745679048538e-11
20,Maxwell-Boltzmann QAM,0.1460280069802149,0.10962728744559924,0.13872660663120415,0.029099319185604905,0.029099319185604905,3.576881669786758e-05
20,Binomial QAM,0.14228405928133636,0.10996705424732656,0.13516985631726955,0.025202802069942992,0.025202802069942992,2.7200880204691913e-05
20,GS,0.15907319443843093,0.13281560947591142,0.15111953471650938,0.018303925240597957,0.018303925240597957,2.5867752384556297e-11
20,PS,0.14602800698021579,0.10962728744559924,0.13872660663120498,0.029099319185605738,0.029099319185605738,3.576881669542509e-05
20,PS+GS,0.14603724255715989,0.1095690403411731,0.1387353804293019,0.029166340088128795,0.029166340088128795,4.050094730834175e-05
24,Uniform QAM,0.1590745426804805,0.1346298273615354,0.15112081554645646,0.016490988184921063,0.016490988184921063,0.0
24,Maxwell-Boltzmann QAM,0.1460280069802149,0.10959151862890137,0.13872660663120415,0.029135088002302773,0.029135088002302773,0.0
24,Binomial QAM,0.14228405928133636,0.10993985336712186,0.13516985631726955,0.025230002950147684,0.025230002950147684,0.0
24,GS,0.15907319443843093,0.13281560945004367,0.15111953471650938,0.01830392526646571,0.01830392526646571,0.0
24,PS,0.14602800698021579,0.10959151862890382,0.13872660663120498,0.029135088002301163,0.029135088002301163,0.0
24,PS+GS,0.14603724255715989,0.10952853939386475,0.1387353804293019,0.029206841035437137,0.029206841035437137,0.0
